date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
8.28.목,큰 길에서는 항상 보이는데 찾아 올려고하니 어딘지가 안보여서 조금 헤매고 왔네요. 빌라 단지 사이로 찾아서 와야 하는데 들어와서 보니 컬러감이 있는 예쁜 카페 였다. 사실 엄청 큰 카페인줄 알았는데 생각보다는 작았지만 그래서 더 좋았다. 드립커피로 예가체프를 주문했는데 예쁜 잔과 함께 주셨다. 산미와 약간의 과일향 같은 맛의 커피가 넘 맘에 든다. 같이 온 동료는 별로라고 인상을 썼지만 갠적으로 과일향의 커피를 좋아하는 나에게 딱 맞는 취향. 굿~~
9.2.화,반응 남기기 방문일 9.2.화 2025년 9월 2일 화요일 6번째 방문 인증 수단 영수증
3.12.수,아는사람만 아는 ~~ 커피라빈트 큰길에서 간판은 잘 보이는데 처음가는분은 네비켜고 가시는걸 추천드려요 1층엔 청기와냉면 2층엔 커피 조용히 업무보고 편하게쉬다가기 좋은곳 주차장도 편해여^^
7.9.수,냉면먹고 2층으로~ 아이스커피 한잔하러 자주오는곳이라 사진을 ㅠㅠ
5.7.수,샐러드가 맛있는집 샐러드에 보리쌀이 들어가있어 든든해서 더좋아요
6.27.금,편하게 잘 쉬다 갑니다^^
6.11.수,아이스쑥라떼를 시켰는데 물컵보다 양이 적었어요. 적은것도 그렇지만 시원하지 않고 텁텁해서 갈증이 해소 되지 않았습니다. 시원한 쑥라떼드시고 싶으신분들이라면 비추합니다.😂 참 가격은 6800원 이였네요
3.26.수,여유롭게 음료한잔~^^ 커피를 좋아하지만 오늘은 더워서 에이드~ 진하고 맛있네요^^
6.28.토,반응 남기기 방문일 6.28.토 2025년 6월 28일 토요일 1번째 방문 인증 수단 영수증
3.18.화,오늘조 조용히 혼자 ~ 편히쉬다 가요^^
24.12.11.수,크리스마스 분위기 미쳤어요 ㅠㅠ 밤에 오면 더 이쁠거같아요~~~
3.18.화,포켓이랑 샌드위치는 맛있는데ㅠ 오늘은 밥먹구와서 배불러서 못먹었더니 아쉽ㅠㅠ
24.9.3.화,샐러드메뉴가 있어서 넘 좋은카페  샐러드에 현미밥까지 있어 포만감이 있고 야채도 싱싱맛나요  점심시간에 갔는데 사람들이 꽤 많더라구요 공간이 넓은곳이 아니라 그런지 시끌시끌 인기좋은 카페인듯 해요
6.6.금,반응 남기기 방문일 6.6.금 2025년 6월 6일 금요일 1번째 방문 인증 수단 영수증
24.11.12.화,집 근처인데 이번이 두번째 방문입니다 파니니 이렇게 맛있게 하는 줄 몰랐네요ㅠ 한 입 먹고 충격받아서 먹으면서 리뷰 쓰는중 파니니 진짜 맛있어요 세트메뉴 가성비 좋으니 혼브런치 하기 좋을 것 같아요 통창이라 사진도 잘나오고 카페도 깔끔해요 근데 다 떠나서 그냥 맛이 있습니다.. 파니니 종류도 많던데 나중에 파니니 종류별로 도장깨기나 해야겠어요
24.8.23.금,커피랑 빵은 안찍고 올라가는 길만 찍었네요;; 종종 오는 곳인데 바닐라 라떼도 진하고 맛있어요. 빵도 먹어봤는데 가성비도 좋고 맛있네요. 탄벌초 다니는 아이 기다리면서 지인과 함께 차 마셨어요. 한적한 곳에 있어서 주차도 편리하고 좋아요
24.7.4.목,"이것은 자주 보기 드문 밭뷰? 1층에서 냉면먹고 후식먹으러 왔어요.  과일쥬스랑 빵은 호두파이? 주문했는데, 맛있어요. 오렌지, 자몽쥬스~~ 굿"
1.4.토,반응 남기기 방문일 1.4.토 2025년 1월 4일 토요일 1번째 방문 인증 수단 영수증
