date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
6.7.토,배달로 먹고 반해서 매장으로도 먹으러 갔는데 역시나 맛있어요 간짜장. 완전 맛이 쨍하달까 선명해요. 뚜렷해서 좋아요. 배달보다 1500원 더 싸기도 해요.
3.14.금,이건 동료의 간짜장 그런데 완전 색깔도 연하고 아니었음.짬뽕밥도 ㅜㅜ 주인이 바뀌었어요
4.5.토,사천짬뽕 맛있어요!!! 쟁반짜장 2인 맛있어요!!! 비오는날 배달해주신 사장님 감사합니다!!!
3.20.목,너무 성의없이 음식을 해서 배달한다는 생각이 들정도로 볶음밥을 시켰는데 밥이 오래된거지 뭉쳐있고 다 맛이없었음.
7.12.토,반응 남기기 방문일 7.12.토 2025년 7월 12일 토요일 1번째 방문 인증 수단 영수증
24.12.21.토,배달음식으로 먹었는데 빠르고 양도많고 맛있습니다
1.5.일,재방문~자장면 괜츈해요 8천원인줄 알았는데 6천5백원에 파시네요?
24.12.12.목,음식도 빨리 나오고 맛있습니다.
24.9.21.토,"탕수육이랑 짬뽕 먹었는데 아주 좋았습니다.  가게는 조금 허름해보여도, 음식은 알찬 느낌"
24.8.15.목,반응 남기기 방문일 24.8.15.목 2024년 8월 15일 목요일 4번째 방문 인증 수단 영수증
24.5.15.수,짬뽕에 밥 말아먹어요. 맛있어요
24.10.6.일,반응 남기기 방문일 24.10.6.일 2024년 10월 6일 일요일 9번째 방문 인증 수단 영수증
24.5.22.수,반응 남기기 방문일 24.5.22.수 2024년 5월 22일 수요일 9번째 방문 인증 수단 결제내역
24.7.30.화,올해들어서 처음 콩국수 먹었어요 너무 콩국물 시원하고 맛나게. 먹었습니다
24.8.15.목,반응 남기기 방문일 24.8.15.목 2024년 8월 15일 목요일 4번째 방문 인증 수단 영수증
24.5.5.일,반응 남기기 방문일 24.5.5.일 2024년 5월 5일 일요일 3번째 방문 인증 수단 영수증
24.5.4.토,반응 남기기 방문일 24.5.4.토 2024년 5월 4일 토요일 7번째 방문 인증 수단 영수증
24.1.28.일,가게 직접배달되서 좋아요 배달 한번하면 주소저장되있어서 장소가 바뀌지않으면 기본주소로 배달해줘서 좋구 배달도 빠르고 맛있어요
24.6.25.화,반응 남기기 방문일 24.6.25.화 2024년 6월 25일 화요일 1번째 방문 인증 수단 영수증
24.5.22.수,반응 남기기 방문일 24.5.22.수 2024년 5월 22일 수요일 1번째 방문 인증 수단 영수증
24.5.26.일,반응 남기기 방문일 24.5.26.일 2024년 5월 26일 일요일 10번째 방문 인증 수단 영수증
24.5.5.일,반응 남기기 방문일 24.5.5.일 2024년 5월 5일 일요일 3번째 방문 인증 수단 영수증
24.1.19.금,항상 이 집 짬뽕 좋다.
24.2.2.금,반응 남기기 방문일 24.2.2.금 2024년 2월 2일 금요일 1번째 방문 인증 수단 영수증
24.4.20.토,반응 남기기 방문일 24.4.20.토 2024년 4월 20일 토요일 9번째 방문 인증 수단 영수증
24.1.4.목,반응 남기기 방문일 24.1.4.목 2024년 1월 4일 목요일 4번째 방문 인증 수단 영수증
23.9.15.금,탕수육 고기가 알차고 튀김도 바삭하니 맛있었습니다. 세트로 주문한 짜장면도 무난하게 괜찮았네요.
24.1.30.화,반응 남기기 방문일 24.1.30.화 2024년 1월 30일 화요일 6번째 방문 인증 수단 영수증
24.3.17.일,역시 짬뽕은 동원각입니다 굿!
24.3.31.일,반응 남기기 방문일 24.3.31.일 2024년 3월 31일 일요일 8번째 방문 인증 수단 영수증
24.4.10.수,너무 면이 맛있어요
23.12.23.토,오래간만에 삼선짜장 곱빼기 포장주문을했어요 사장님께서 많이주셔서 너무맛있게 잘먹었습니다 튀김만두도 따끈하니 바삭바삭 잘먹었습니다 사장님 2023년 건강하게 잘보내시기 바랍니다 화이팅 메리 크리스마스 ~~~
24.3.9.토,반응 남기기 방문일 24.3.9.토 2024년 3월 9일 토요일 7번째 방문 인증 수단 영수증
24.3.12.화,반응 남기기 방문일 24.3.12.화 2024년 3월 12일 화요일 1번째 방문 인증 수단 영수증
23.11.2.목,포장해서 먹었는데 양도 많고 동네 숨은 맛집이네요^^
24.4.13.토,배부르게 잘 먹었어요
23.10.30.월,반응 남기기 방문일 23.10.30.월 2023년 10월 30일 월요일 3번째 방문 인증 수단 영수증
23.8.31.목,가성비좋고 친절하고 배달빨라요
23.9.2.토,너무 맛있어요. 양도 푸짐 단골됐어요. 특히 쟁반짜장과 탕슉세트 너무 좋아요
23.7.17.월,"점심으로 차돌짬뽕 시켜 먹었는데 오후에 배가 무지하게 아파서 전화했더니 대응이 최악이네요. 식재료에 문제가 있는지 체크해달라고 말하니깐 다른 손님들은 그런 얘기없었다, 손님이 특이한거다, 자기도 한번씩 그럴때가 있다..이런식으로만 응대하는데 끝까지 미안하다는 말 한마디 없네요. 보상해달라고 할까봐 피하는 말만 하고.. 한번씩 시켜먹었던 곳인데 위생도 서비스마인드도 최악이네요. 병원도 문 닫았는데 난감 😓"
23.8.15.화,항상배달시켜먹어요. 10년단골집. 짬뽕이 좋ㅈ아요
24.1.7.일,반응 남기기 방문일 24.1.7.일 2024년 1월 7일 일요일 5번째 방문 인증 수단 영수증
23.9.9.토,반응 남기기 방문일 23.9.9.토 2023년 9월 9일 토요일 2번째 방문 인증 수단 영수증
23.7.14.금,반응 남기기 방문일 23.7.14.금 2023년 7월 14일 금요일 2번째 방문 인증 수단 영수증
23.9.17.일,반응 남기기 방문일 23.9.17.일 2023년 9월 17일 일요일 6번째 방문 인증 수단 영수증
23.5.14.일,짜장면은 평타 탕수육괜찮긴한데 튀김옷이 좀 딱딱해서 아쉽네요
23.4.1.토,짜장면은 빠른배달이죠 여긴 빨리오고 맛도 있어서 자주 시켜먹어요
23.7.25.화,반응 남기기 방문일 23.7.25.화 2023년 7월 25일 화요일 1번째 방문 인증 수단 결제내역
23.5.31.수,반응 남기기 방문일 23.5.31.수 2023년 5월 31일 수요일 1번째 방문 인증 수단 영수증
23.7.14.금,반응 남기기 방문일 23.7.14.금 2023년 7월 14일 금요일 2번째 방문 인증 수단 영수증
23.6.26.월,반응 남기기 방문일 23.6.26.월 2023년 6월 26일 월요일 1번째 방문 인증 수단 영수증
23.4.10.월,넘 맛있어요 특선요리도 맛있어요
23.2.11.토,깐풍기+짜장2셋트에서 천원씩 추가하면 간짜장과 짬뽕으로 바꾸어서 배달시켰는데..맛있었어요
23.4.6.목,반응 남기기 방문일 23.4.6.목 2023년 4월 6일 목요일 1번째 방문 인증 수단 영수증
23.3.6.월,반응 남기기 방문일 23.3.6.월 2023년 3월 6일 월요일 1번째 방문 인증 수단 영수증
22.12.7.수,탕수육 중 사이즈로 시켜먹었는데 늘 맛있어요.
23.1.4.수,음식배달 빠르고 맛있어요
