date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
9.10.수,반찬도 정갈하게 잘 나오고 음식 자체도 간이 세지 않아서 정망 잘 먹었습니다 주차자리가 좀 불편하긴 하지만 사장님 친절하셔서 정말 기분 좋았어요 🥰
23.4.20.목,점심을 하기위해 포장을 했는데 많이 주셔서 잘먹었지요
23.5.15.월,반응 남기기 방문일 23.5.15.월 2023년 5월 15일 월요일 1번째 방문 인증 수단 영수증
22.3.19.토,맛있고 양도 많아요 사장님 부부가 친절하셔서 더 기분좋게 먹었습니다 😍🥰
22.8.27.토,반응 남기기 방문일 22.8.27.토 2022년 8월 27일 토요일 1번째 방문 인증 수단 영수증
22.12.28.수,반응 남기기 방문일 22.12.28.수 2022년 12월 28일 수요일 1번째 방문 인증 수단 영수증
22.4.19.화,"골목에 위치해서 눈에 잘 띄진 않지만, 맛있어요. 여기도 가격이 오르긴 했지만, 가성비 괜찮은 것 같아요. 냉이 나물 맛있게 먹으니 사장님이 더 챙겨주시네요. 😊"
21.12.13.월,반응 남기기 방문일 21.12.13.월 2021년 12월 13일 월요일 3번째 방문 인증 수단 영수증
21.4.26.월,반응 남기기 방문일 21.4.26.월 2021년 4월 26일 월요일 1번째 방문 인증 수단 영수증
