date,content
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
10.2.목,마카롱이 넘 먹고싶었는 데 집 주변에 유명한 마카롱 집이 있다고 해서 들러봤어요!! 먹어보니깐 왜 유명한지 알겠는 맛 게다가 가격도 저렴하고 포장도 넘 이뻐서 행복해지더라구용  가을맞이 곶감크림치즈도 시켰는 데 아 이거 정말 맛있어요...🥹💕 +우유초코브라우니도 강추 드립니다🫶 사장님도 두분 다 정말 친절하시고 덕분에 기분 좋은 하루됐습니다😋💓
10.17.금,가성비 좋고 사장님 친절한데 마카롱도 맛없어요. 대체 왜 후기가 다 좋은지 모르겠네요.  그리고 마카롱을 좋아해서 서울 간 김에 들린건데 온전한 뚱카롱은 아니고 그렇게 크지 않고 샤인머스캣 요거트 마카롱을 한 입 베어문 순간 꼬끄는 퍼석하고 맛은 특이하고 요거트 맛은 별로 안 나고 두바이 초콜릿 마카롱은 그 안에 든 두바이 초콜릿만 크런키해서 맛있어요. 거기다가 스모어쿠키는 사진으로 봤을 때 커 보였는데 실제 크기는 손바닥 보다 작아요. 굳이 여기까지 가서 사 먹진 않을 것 같아요.
6.26.목,왕십리 마카롱 찐 맛집인 두번째마카롱🥹💕 여기 마카롱은 가격도 하나당 2200원으로 가성비두 좋은데 맛도 다양하고 진짜 하나같이 다 맛있어서 취향저격 그 자체에요👍 달달함이 땡긴다? 무조건 여기 마카롱입니다. 사진은 두바이초콜렛마카롱인데 진짜 존맛이에요. 인기 많은 곳이라 인스타DM이나 휴대폰으로 미리 꼭 예약하고 가세요!
8.23.토,책 읽는데 달다구리한게 땡기던차에 마카롱 생각이 나서 다녀왔어요~ 사장님 친절하시고 마카롱도 맛나고 덕분에 토요일 오후 즐거웠네요! 재방문 의사 있습니다☺️
7.2.수,마카롱이 땡겨서 근처에 찾아보다가 유명하다고 해서 방문했어요! 종류도 다양하고 필링도 듬뿍 들어있어서 너무 맛있어요😋 가격도 가성비 넘쳐서 깜짝 놀랐어요!
8.15.금,"두바이 쿠키, 두바이 마카롱 최고 맛있다!"
9.5.금,마카롱도 쿠키도 너무 맛있어요ㅎㅎ
7.11.금,두바이 마카롱이 너무 맛있다. 두바이 초콜릿만 따로 팔았음 좋겠다.
5.10.토,매번 오픈할 때 가다가 처음으로 저녁에 갔는데 그래도 맛있는 메뉴들 남아있었어요~! 근데 이건 처음 보는 것 같은데.. 쿠크다스를 넣었다니 여긴 진짜 맛잘알이에요😍 암튼 신기해서 사진은 하나만 찍었지만 여태 먹었던 다른 것도 다 맛있었어요ㅎㅎㅎ 무엇보다 저렴해서 너무 좋은 것 같아요!! 갈 때 마다 친절하게 해주셔서 감사합니다아😻❤️
10.15.수,마카롱 가성비 굿 맛있어요 선물하기에도 좋아요
2.20.목,가끔씩 방문하는 곳이에요~ 항상 마카롱이 일찍이 품절되서 오픈하자마자 가시는걸 추천드려요. 작은 가게지만 메뉴구성도 알차고 날마다 나오는 매뉴도 다양해서 원하는 메뉴 픽! 하시면 좋을 거 같아요! 달지도 않고 맛도 완전 맛도리자나~ 디저트 한입크기로 먹기 완쥰 딱👍🏽🍰🧁
6.13.금,서울 역대 뚱카롱 맛집
2.14.금,여기 마카롱 진짜 맛있어요..!! 그래서 발렌타인데이 때 남친한테 선물 했는데 너무 성공적이었네요 ㅎㅎ  가격도 괜찮구 퀄리티 최고! 생딸기 요거트는 진짜 최고에여❤️
1.18.토,간만에 남아있네요 ㅎㅎ 있으면 바로 고
1.11.토,통통하니 도톰해서 하나 먹어도 만족감이 크네요 꼬끄도 쫀득하고 필링도 알차게 맛있습니다 또 방문할게요
1.3.금,동네 뚱마카롱맛집이 있어서 넘 좋아요. 시간있는 날 가서 종류별로 사서 냉동실에 보관해서 간식으로 먹기 넘 좋아요.
24.11.29.금,곶감이 달고 크림치즈가 고소해서 조합이 쵝오❤️
24.12.21.토,가성비좋고 맛도 좋아요~~~~^^
24.8.31.토,"5년 단골입니다😉 달달한거 땡길 때 한두달에 한번씩 여기만 방문해요  매일 달라지는 센스있는 라인업, 친절하신 사장님, 이 가격에 먹어도 되나 싶은 퀄리티, 아늑하고 예쁜 인테리어 등 좋은점이 너무 많아요..💘💘 마카롱 안 좋아했는데 모든 메뉴가 맛있어요! 특히 샤인머스캣 요거트, 뽀또치즈, 생딸기 요거트 등이 제 취향인데 저랑 입맛 비슷하신 분들께 메뉴 추천드립니당💛"
1.23.목,반응 남기기 방문일 1.23.목 2025년 1월 23일 목요일 3번째 방문 인증 수단 결제내역
24.11.27.수,반응 남기기 방문일 24.11.27.수 2024년 11월 27일 수요일 1번째 방문 인증 수단 영수증
24.6.5.수,마카롱 선물하려 또 들렀습니다 비쥬얼도 예쁘고 맛도 좋아서 선물하기 정말 좋은거같아요! 게다가 6구 상자가 가격도 괜찮아서 너무 좋아요👍🏻👍🏻
24.3.6.수,두번째마카롱은 마카롱 좋아하는 사람들의 숨겨진 성지 같은 곳이에요. 얼마나 뚱뚱하고 맛도 좋고 이쁜지 몰라요. 친한 친구의 딸이 이번에 취직을 했다고 해서 힘든 사회생활 잘 하라고 마카롱 선물을 했답니다. 달달한 거 먹고 기운내라구요. 너무 이뻐서 받으면 엄청 기분 좋아했다네요 ㅋㅋ
24.9.6.금,근본 마카롱 맛집
2.7.금,반응 남기기 방문일 2.7.금 2025년 2월 7일 금요일 5번째 방문 인증 수단 영수증
24.8.26.월,마카롱 맛있고 가성비 최고에요
24.3.22.금,"금요일 오후 5시,  달달구리가 생각나서 방문했어요 모든맛 너무 맛있구요 가성비 좋습니다(개당2,200원)  오레오화이트쿠앤크 메로나 우유쿠크다스  모두 맛나요😊"
24.7.18.목,가격 너무 혜잔거 같습니다😊 짧게 머무는 서울에서 한 번 밖에 못 가서 너무 아쉽네요 사장님도 너무 친절하셔요
24.5.17.금,마카롱이 생각나면 갑니다 오늘은 마카롱하고 스모어쿠키까지 구매했어요 최애 딸기요커트 꼬끄가 청량해서 더 맘에 들었고요 가성비 좋은 집이고 지하철역하고도 가까워서 찾기도 편해요
24.5.16.목,달달한 필링에 고소한 꼬끄가 너무 잘 어울려요🤍
24.6.6.목,가성비좋아요 집근처 핫플이예요
24.6.28.금,반응 남기기 방문일 24.6.28.금 2024년 6월 28일 금요일 2번째 방문 인증 수단 영수증
24.3.23.토,저번에 먹어보고 너무 맛있어서 두번째 방문했어요!!가격도 저렴한데 맛도 하나하나 확실하고 필링은 두꺼운데 안 느끼하고 맛있어요 꼬끄도 적당히 부드럽고 쫀득해서 취향저격이예요!! 사장님도 친절하시고 다 너무 좋아서 앞으로 마카롱은 여기서만 먹으려고용☺️☺️
24.6.7.금,반응 남기기 방문일 24.6.7.금 2024년 6월 7일 금요일 1번째 방문 인증 수단 영수증
24.2.16.금,마카롱집 남바완!!! 라인업 보고 예약 미리 하고 가야 좋아요
24.3.22.금,너무 달지않고 질감도 쫀득 맛있어요 생딸기 요거트 제 앞에서 마지막 팔려서 아쉬워요 다음에도 올게요
24.3.28.목,친구가 너무 조아했어요🙃
24.2.17.토,우연히 지나간 왕십리 길목에서 보물처럼 찾은 마카롱맛집. 인생 마카롱입니다. 왕십리 오시거든 꼭 한 번 들리세요. 😍
24.5.1.수,반응 남기기 방문일 24.5.1.수 2024년 5월 1일 수요일 2번째 방문 인증 수단 결제내역
24.2.9.금,반응 남기기 방문일 24.2.9.금 2024년 2월 9일 금요일 1번째 방문 인증 수단 영수증
24.3.7.목,마카롱 찐 맛집
23.12.15.금,마카롱 최고 맛집! 가격도 착하고 사장님도 친절하심ㅎㅎ
24.8.15.목,반응 남기기 방문일 24.8.15.목 2024년 8월 15일 목요일 3번째 방문 인증 수단 영수증
23.12.8.금,"갈 때마다 친절하게 반겨주시고, 구성이 늘 달라져서 고르는 재미가 있습니다"
23.12.27.수,맛있습니다 선물하기 좋아요
23.9.13.수,여긴진짜 주기적으로 먹어줘야해요🫠🫠 마카롱 메뉴가 매번 바뀌기도하고 과일도 신선하고 마카롱도 두꺼워서 아주 최고입니다! 특히나 과일들어간 요거트 마카롱은 필수😛 그 외에도 다 맛있으니 입맛에 맞게 고르시면 좋을 것 같고 꼬끄 후레이크 꼬옥 드세요! 마카롱의 바삭함과 달달함을 같이 느낄수있고 과자처럼 먹을 수 있다보니 손이 계속가서 무조건 삽니다 진짜 여기 저만 알고싶지만 ㅠㅠ 맛있으니 꼭 드세요🥹
24.1.18.목,가성비 좋은 뚱카롱 너무 맛있어요 그리고 친절하세요
23.11.29.수,반응 남기기 방문일 23.11.29.수 2023년 11월 29일 수요일 17번째 방문 인증 수단 영수증
24.3.22.금,마카롱 가성비 갑이에요 너무 맛있어요
23.11.30.목,책임지세요! 제 다이어트ㅜㅜㅜㅜ 최애 마카롱집입니다~~ 오늘은 선물용 포장했는데 받는분이 넘 좋아하셨어요
23.11.1.수,👏🏻가성비 최고! 너무 맛있게 잘먹었어요
23.11.3.금,최애 마카롱 맛집!
24.1.20.토,마카롱 맛있어요 친절해요
23.11.8.수,좋아요 좋아~ 가격도 맛도 최고에요^^
23.7.13.목,"마카롱 개당 2,200원 / 꼬끄후레이크 2,500원 마카롱은 무조건 여기서만~ 필링도 너무 달지 않고 꼬끄도 쫀득해요"
23.8.16.수,계절마다 바뀌는 과일마카롱~ 상큼하고 많이 달지않아 너무 맛있어요^^
24.1.17.수,뚱카롱 맛있어요 가성비 좋아요
23.6.1.목,아이들 간식으로 구매  서울초코우유와 돼지바였던거 같아요 우리 아이는 서울초코우유가 더 맛있었데요  가까운 곳에 마카롱 맛집이 있어 행복합니다
23.10.7.토,늘 지나다닐때마다 문을 안 열어서 검색해봤더니 영업일이 조금 특이하네요.! 이번엔 맞추어서 가보았더니 쉽게 구매했어요. 적당한 뚱카롱에 필링도 맛있고 꼬끄도 좋아서 생각날때마다 찾게 될 것 같아요^^
23.12.29.금,반응 남기기 방문일 23.12.29.금 2023년 12월 29일 금요일 1번째 방문 인증 수단 영수증
24.1.18.목,맛나요 가성비좋고 종류도 다양
23.7.20.목,선물용으로 구매하는데 쇼핑백도 없고 포장박스도 다 떨어졌다고보냉백에만 둘둘 말아서 주네요 맛보니 맛은 있네요 내가 사먹기는 괜찮은데 선물용으로는 아쉬워요
23.6.23.금,"마카롱 다른곳은 2500원 이상 넘어갔을때부터 여기는 2000원하다가 물가상승으로 인하여 2200원으로 인상한 곳인데 맛도 있고 넘 친절하고 좋아요 금,토 마다 스모어쿠키도 나오는데 디저트 맛집이에요👍 인기가 많다보니 꼭 예약하셔야 됩니다 아니면 오픈런 해야돼요 늘 맛있게 잘 먹고 있어요 감사합니다🫶"
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 4번째 방문 인증 수단 영수증
23.5.11.목,스승의날을 맞아 마카롱 구매~ 마카롱 최애 맛집! 고급스럽고 달기만하지 않아서 정말 좋다~ 10구 박스 가득 맛있어보인다ㅎㅎ
23.6.3.토,"마카롱 진짜 강추!!!! 단거 안좋아 하는데 여기 마카롱은 완벽해요 가격도 혜자스럽고 계절따라 마카롱 종류도 딸기에서 산딸기, 샤인머스켓등"
23.6.7.수,선물 할 일이 있으면 마카롱 세트를 선물! 맛보면 다들 감탄하는 두마롱! 사장님도 친절하시고 가격도 저렴!
23.5.5.금,오늘 꿀밤고구마 카스테라 정말 맛있네요^^ㅎㅎ 원래 커피와 쵸코 종류를 주로 구입했는데 고구마 필링이 대박 맛있어요~
23.6.15.목,꿀고구마케이크! 오늘은 정말 달다고 하셨는데... 진짜 무지 달다ㅎㅎ
23.5.12.금,고급스런 마카롱 맛집! 남자 사장님 친절하심~
23.5.12.금,5월은 선물 할 일이 많아 두번째마카롱 선물은 받으시는 분들이 참 좋아라하심.. 남자 사장님 엄청 친절하시고 좋으세요^^
23.5.19.금,피곤한 금요일 달달한 마카롱으로 당충전! 꿀밤고구마케이크 짱 맛
23.5.26.금,가성비 좋은데 맛도 최고에요!! 한번 먹고 예약해서 픽업했어요 ㅎㄹ
23.7.1.토,마카롱이 먹고싶다!하면 두번째마카롱 무조건 가야해요
23.5.19.금,왜 이제서야 알게 되었는지… 가격도 좋은데 엄청 맛있어요ㅠㅠ
23.5.19.금,마카롱와 스모어쿠키가 먹고 싶을때마다 가는 곳인데 다른 가게에 비해 싸고 쉬시는 날 여기저기 가서 좋은 재료 선별해오셔서 진짜 맛있어요🥹 마카롱이 금방 품절되니 꼭 예약하시는거 추천드려요
23.3.10.금,"스모어쿠키 때문에 오픈런했는데.. 마카롱 색깔도 넘 이쁘고, 동네지만 이렇게 가득찬 마카롱은 오랫만이네요. 간식으로 한보따리 쟁여왔더니 뿌듯하네요.. 가성비갑 마카롱 맛있어요~"
23.3.18.토,마카롱 제일 맛집! 가격도 혜자!
23.2.1.수,뚱카롱을 이 가격에 먹을 수 있다니... 안에 잼 들어 있는 것도 있고 너무 맛있어요... 메뉴도 다양해서 그날 그날 골라먹는 재미도 있어요 근데 솔직히 체인점도 아닌데 친절하다는 느낌 못 받았어요
23.3.3.금,마카롱 가성비 좋고 맛도 쵝오!
23.2.22.수,서울 원탑 마카롱 지존맛집
23.3.3.금,마카롱 맛집! 최고 맛집!
22.12.15.목,동네에 이런 마카롱 가게가 있을줄이야~ 뚱카롱 크기인데 가격도 착하더라구요😊 처음 방문해서 추천해달고 부탁드렸는데 마카롱 하나하나 친절하게 설명해주셔서 감사드렸어요~ 그리고 서비스로 하나 더 넣어주셔서 감동받았어요 🥹 선물했는데 다들 너무 달지않고 맛있다고 했어요~ 마카롱 맛집👍👍👍
23.9.6.수,반응 남기기 방문일 23.9.6.수 2023년 9월 6일 수요일 1번째 방문 인증 수단 영수증
22.12.30.금,"마카롱이 완전 뚱카롱이고 이가격에 이맛은 정말 여기뿐인것같아요! 맛도 신선하고 적당히 달아서 한번에 3,4개씩 그냥 먹을수 있어서 너무 좋아요!😃"
23.3.8.수,우리동네 명불허전 마카롱 맛집
23.1.25.수,"동네 마카롱 맛집인뎅... 도통 구입하기 쉽지 않더군요.. 오전 치과 들렸다 생각나서 들렸는데, 오픈시간이라 운 좋게 종류별로 잘 샀네요~ 많이 달지 않고 가격도 가성비 최고인듯 싶어요~~^^"
23.2.24.금,맨날품절 ㅡ.ㅡ 선물주려고 삼
23.3.1.수,"지나다 혹시나해서 들렸는데... 남아있어서 넘 반가웠네요. 가성비좋고, 맛도 있고, 친절도하고... 먹고 싶었던 마카롱.. 담엔 좀 더 일찍 도전해야겠네요."
23.1.14.토,맛있는데 가격도 착해요
23.1.14.토,마카롱 싸고 맛있어요👍🏻
22.12.1.목,제일 좋아라하는 두제품.. 모카자바칩과 생딸기 쵸코! 넘 맛있어요ㅅ
23.2.17.금,마카롱 종류가 많고 맛있어요~
23.4.8.토,반응 남기기 방문일 23.4.8.토 2023년 4월 8일 토요일 1번째 방문 인증 수단 결제내역
23.3.9.목,반응 남기기 방문일 23.3.9.목 2023년 3월 9일 목요일 1번째 방문 인증 수단 결제내역
22.12.17.토,주차는 안됩니다 가게앞 cctv있어요 너무 소문이 많이 나서 첨 방문했는데 다양한 종류와 맛이 소문만큼 맛있어요
23.2.24.금,반응 남기기 방문일 23.2.24.금 2023년 2월 24일 금요일 1번째 방문 인증 수단 영수증
23.1.21.토,마카롱 다양하고 저렴해요
23.1.20.금,줄서서 샀어요. 인기있네요. 내일 선물용으로 또 구매하러 갑니다
22.12.16.금,반응 남기기 방문일 22.12.16.금 2022년 12월 16일 금요일 7번째 방문 인증 수단 영수증
23.1.12.목,마카롱 가격도 합리적이고 너무 맛있습니다!
23.3.2.목,반응 남기기 방문일 23.3.2.목 2023년 3월 2일 목요일 1번째 방문 인증 수단 영수증
23.5.22.월,반응 남기기 방문일 23.5.22.월 2023년 5월 22일 월요일 1번째 방문 인증 수단 영수증
22.11.23.수,반응 남기기 방문일 22.11.23.수 2022년 11월 23일 수요일 2번째 방문 인증 수단 영수증
23.1.12.목,반응 남기기 방문일 23.1.12.목 2023년 1월 12일 목요일 1번째 방문 인증 수단 결제내역
22.11.5.토,반응 남기기 방문일 22.11.5.토 2022년 11월 5일 토요일 1번째 방문 인증 수단 영수증
22.12.31.토,반응 남기기 방문일 22.12.31.토 2022년 12월 31일 토요일 3번째 방문 인증 수단 영수증
22.12.8.목,반응 남기기 방문일 22.12.8.목 2022년 12월 8일 목요일 6번째 방문 인증 수단 영수증
23.4.7.금,반응 남기기 방문일 23.4.7.금 2023년 4월 7일 금요일 7번째 방문 인증 수단 영수증
22.10.27.목,뚱카롱♡ 많이 달지도 않고~ 진짜 맛있고~ 가격도 착하고!!! 너무 애정하는 곳이에요♡
22.8.5.금,"일 하면서, 요청으로 여러가지 사본 마카롱."
22.9.24.토,인스타로 예약해서 찾아가는 방식이라 더 좋은 것 같다.
23.5.18.목,반응 남기기 방문일 23.5.18.목 2023년 5월 18일 목요일 1번째 방문 인증 수단 영수증
22.10.15.토,맛있는 마카롱! 종류별로 다 먹고시고싶어요
22.11.16.수,반응 남기기 방문일 22.11.16.수 2022년 11월 16일 수요일 7번째 방문 인증 수단 영수증
22.12.3.토,반응 남기기 방문일 22.12.3.토 2022년 12월 3일 토요일 2번째 방문 인증 수단 영수증
22.9.8.목,다른 곳 마카롱은 못 먹어요. 꼬끄가 달지도 딱딱하지도 않아서 너무 좋아요
22.12.31.토,반응 남기기 방문일 22.12.31.토 2022년 12월 31일 토요일 1번째 방문 인증 수단 영수증
22.9.2.금,맛있어요 ! 가격도 괜찮구요
23.5.1.월,반응 남기기 방문일 23.5.1.월 2023년 5월 1일 월요일 7번째 방문 인증 수단 영수증
22.11.19.토,반응 남기기 방문일 22.11.19.토 2022년 11월 19일 토요일 1번째 방문 인증 수단 결제내역
22.10.21.금,반응 남기기 방문일 22.10.21.금 2022년 10월 21일 금요일 2번째 방문 인증 수단 영수증
23.4.7.금,반응 남기기 방문일 23.4.7.금 2023년 4월 7일 금요일 6번째 방문 인증 수단 영수증
22.7.28.목,"내 기준, 나오면 무조건 사먹는 라인업 크렘 브륄레, 얼그레이 무화과, 누텔라 크림치즈, 레드벨벳, 얼그레이, 카라멜 크림치즈"
22.10.21.금,반응 남기기 방문일 22.10.21.금 2022년 10월 21일 금요일 2번째 방문 인증 수단 영수증
22.7.6.수,인기 많은 곳이라 그런지.. 직원이라 그런지.. 친절하지 않아요.  예약 주문하고 생각했던 제품이 아니라 두개 교환 가능한지 물어보니 너무 사무적으로 안된다해서 기분이 좋지 않음요
23.3.18.토,반응 남기기 방문일 23.3.18.토 2023년 3월 18일 토요일 5번째 방문 인증 수단 영수증
22.9.16.금,반응 남기기 방문일 22.9.16.금 2022년 9월 16일 금요일 1번째 방문 인증 수단 영수증
22.10.28.금,존맛존맛존맛 녹차화이트진주랑 꿀고구마케이크매일 만들어쥬우우우세에에에에여🥰
22.4.21.목,종류가 다양하고 하나하나 다 특색있고 맛있어요~ 골목에 있어서 접근성은 좋지 않지만 일부러 찾아갈만큼 디저트가 맛있고 친절해요.
22.7.21.목,맛있었어요 그런데 누텔라크림치즈마카롱에서 짤주머니 잘린부분이 나왔어요ㅠㅠ 주의해주셔야 할것같아요ㅠ
22.5.12.목,인스타그램 예약이 끝나서 오픈 30분 전부터 기다려서 샀어요!! 생화꽃이 올라간 솔트 캬라멜은 정말 너무 예쁘고 맛있었어요!!
22.7.21.목,반응 남기기 방문일 22.7.21.목 2022년 7월 21일 목요일 2번째 방문 인증 수단 영수증
22.10.21.금,좋아요 : )
23.2.15.수,반응 남기기 방문일 23.2.15.수 2023년 2월 15일 수요일 4번째 방문 인증 수단 영수증
22.12.24.토,반응 남기기 방문일 22.12.24.토 2022년 12월 24일 토요일 1번째 방문 인증 수단 영수증
23.2.1.수,반응 남기기 방문일 23.2.1.수 2023년 2월 1일 수요일 3번째 방문 인증 수단 영수증
22.5.19.목,뚱카롱 안좋아했는데 여기서 먹고나서 좋아지기 시작했어요 근데 너무 빨리 매진되고 여는 날도 많지 않아요..
22.6.3.금,최고의 마카롱 맛집
22.8.31.수,반응 남기기 방문일 22.8.31.수 2022년 8월 31일 수요일 1번째 방문 인증 수단 영수증
22.6.3.금,반응 남기기 방문일 22.6.3.금 2022년 6월 3일 금요일 4번째 방문 인증 수단 영수증
22.11.5.토,반응 남기기 방문일 22.11.5.토 2022년 11월 5일 토요일 2번째 방문 인증 수단 영수증
22.1.12.수,오늘 마카롱 엄청 많이 샀어요! 두번째마카롱이 제가 사는 동네에 있다는게 행운이죠!! ^_^ 항상 새로운 메뉴도 만들어 주시고 기존에 맛있던 마카롱도 요청하면 해주시고!! 특히 저는 스모어 쿠키가 너무너무 좋아요!! 오늘은 못사왔지만 스모어쿠키 자주 먹고싶어요! 항상 다양한 메뉴로 마카롱 제공하시는 사장님 ㅠㅠ 여긴 가성비 1급을 자랑하는 곳이라 생각합니다!!! 무조건 재방문 할겁니다! 사장님 계속 마카롱 만들어주세요!!
22.4.21.목,여기... 너무합니다... 맛있어서 너무합니다~🥰
22.7.13.수,반응 남기기 방문일 22.7.13.수 2022년 7월 13일 수요일 3번째 방문 인증 수단 영수증
22.5.4.수,"마카롱 유목민이었다가 이제 여기만 다니는데요, 뽀또치즈맛이랑 요거트맛 정말 완전 추천입니다."
22.7.7.목,반응 남기기 방문일 22.7.7.목 2022년 7월 7일 목요일 1번째 방문 인증 수단 영수증
22.7.7.목,반응 남기기 방문일 22.7.7.목 2022년 7월 7일 목요일 1번째 방문 인증 수단 영수증
22.4.15.금,버스를 갈아타고 이 마카롱을 사러옵니다. 두번째 방문인데 올때마다5만원이상결제를 하게되는 마성의마카롱입니다. 오래유지해주세요! .^^
22.4.29.금,반응 남기기 방문일 22.4.29.금 2022년 4월 29일 금요일 3번째 방문 인증 수단 영수증
22.4.23.토,반응 남기기 방문일 22.4.23.토 2022년 4월 23일 토요일 2번째 방문 인증 수단 영수증
22.2.19.토,다양한 ....종류가.... 있어 ....맛이가 있읍니다.......
22.3.26.토,줄서서 사먹는 집
22.4.7.목,맛있긴한데 요거트마카롱 필링에서 요거트맛이 안나서 약간 아쉬웠어요
21.9.24.금,"이제는 보냉백 꼭 추가해서 가져오는 두마롱 마카롱! 가성비 좋고 맛도 좋고 친절하셔서 벌써 여러 번 방문했는데요, 이번에는 샤인머스켓요거트 마카롱이 나왔더라고요! 당장 가서 샀죠ㅎㅎ 한 번 갈 때 여러개 사서 과일류 말고 나머지는 냉동실에 얼렸다 하나씩 꺼내 먹으면 넘나 맛있게 오래 먹을 수 있어요~ 점점 인기가 많아지는 두마롱! 넘나 소즁한 마카롱 가게입니다. 오래오래 만들어주세요오~ 마카롱 다 먹으면 또 갈게요! :) (두번째 방문 아니고 네 번째 방문입니닼ㅋㅋㅋ)"
22.2.26.토,마카롱전문인데 너무 맛있었어요~!
