date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
5.18.일,맛있는데 조리 시간 좀 많이 걸려요.
2.2.일,처음 먹어보는데 밋있어요. 양은 조금 작은듯....
24.9.24.화,역시 실망시키지 않는 맛의 두찜이에요! 너무 맛있게 잘 먹었어요.
24.5.8.수,납작당면 꼭 추가해드세연 ^_^ 두찜 로제찜닭 한마리 순살로 시켰는데 양도 많고 대존맛 🫶🫶 푸짐해요!
24.5.9.목,로제찜닭 먹어봤는데 맛있었어요! 치즈찜닭도 치즈 엄청 들어있네요!
24.2.14.수,회사점심시간에 오려면 30분전에 전화해서 미리 주문해야 제시간에 먹을수있어요 (조리시간20-30분) 다섯명이서 두마리시키고 맛 세개 골랐는데 로제는 취향에따라 좀 다를거같고.. (나는 느끼해서 별룽..) 간장은 기본먹을만했어요 묵은지는 꼭드세요.. 지이이인짜 맛있었어요!!!! 양 엄청많아서 좀 남겼어요 ㅋㅋ
24.7.8.월,반응 남기기 방문일 24.7.8.월 2024년 7월 8일 월요일 1번째 방문 인증 수단 영수증
24.6.3.월,좋아요 좋아요 좋아요 ㅎㅎ
24.7.2.화,반응 남기기 방문일 24.7.2.화 2024년 7월 2일 화요일 1번째 방문 인증 수단 영수증
24.1.27.토,"주문하면 음식이 빨리 나오고, 맛있어요! 매장도 깔끔하고 너무 좋아요 :) 가지튀김이 진짜 미쳤어요👍👍👍"
24.4.9.화,좋아요 좋아요 좋아요 ㅎㅎ
24.3.25.월,좋아요 좋아요 좋아요 ㅎㅎ
24.1.25.목,반응 남기기 방문일 24.1.25.목 2024년 1월 25일 목요일 1번째 방문 인증 수단 결제내역
23.12.9.토,반응 남기기 방문일 23.12.9.토 2023년 12월 9일 토요일 1번째 방문 인증 수단 영수증
