date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
9.26.금,반응 남기기 방문일 9.26.금 2025년 9월 26일 금요일 1번째 방문 인증 수단 결제내역
4.29.화,묵은지찜닭은 제스탈이 아니네요.. ㅠㅠ 양이 무척 많았습니다:)
24.6.18.화,반응 남기기 방문일 24.6.18.화 2024년 6월 18일 화요일 1번째 방문 인증 수단 영수증
24.8.29.목,반응 남기기 방문일 24.8.29.목 2024년 8월 29일 목요일 1번째 방문 인증 수단 결제내역
24.6.23.일,진짜 넘 친절하시고 음식도 맛있어요
24.2.15.목,굳굳 마라로제 맛있어요 ㅎ 묵은지는 김치가 좀 간간해요 ㅎ 김치 반포기정도 들어가는데 약간 간이 짠맛이 강하니 참고하세요 ㅎ
24.3.14.목,너무 너무 맛있어요!! 근데 감자가 조금 덜 익어서 아쉬웠어용ㅠㅠ 그래도 맛있게 먹었습니다!!
24.1.8.월,마라로제찜닭 강추 ㅎ 공기밥 추가에 어묵튀김 추가해 드세요 ㅎ
24.1.18.목,"시래기찜닭 맵게, 우동사리 꿀맛입니다!!"
24.4.13.토,반응 남기기 방문일 24.4.13.토 2024년 4월 13일 토요일 4번째 방문 인증 수단 영수증
23.10.31.화,사장님이 친절하시고 음식도 항상 맜있어요
24.3.7.목,반응 남기기 방문일 24.3.7.목 2024년 3월 7일 목요일 1번째 방문 인증 수단 결제내역
23.12.11.월,시래기찜닭 매콤하게 하니까 맛있어요. 네 끼 나눠서 먹었는데 고기도 많고 느끼하지 않아서 좋네요
24.2.9.금,반응 남기기 방문일 24.2.9.금 2024년 2월 9일 금요일 1번째 방문 인증 수단 영수증
23.10.4.수,마라로제찜닭 🐓🐓 맛나요 ㅎ 매운맛으로 😋😋
23.9.15.금,너무 맛있네요 ^^ 또 올게요
23.11.25.토,반응 남기기 방문일 23.11.25.토 2023년 11월 25일 토요일 2번째 방문 인증 수단 영수증
23.9.29.금,로제찜닭 넘 맛있어요
23.12.21.목,반응 남기기 방문일 23.12.21.목 2023년 12월 21일 목요일 1번째 방문 인증 수단 영수증
24.3.29.금,알바생 사장님 모두 착하시고!! 무엇보다맛있어요
23.9.22.금,여기 지점 맛있어요~~~~
23.11.7.화,반응 남기기 방문일 23.11.7.화 2023년 11월 7일 화요일 1번째 방문 인증 수단 영수증
23.6.1.목,"사진은 별로지만, 맛은 진짜 있습니당!! 양 많고(특히 푸주 양 많아요) 중국당면 변경 추천!! 마라맛꾸덕? 로제맛은 약해요~"
23.5.26.금,로제라서 비싸지만 맛있어요
23.6.11.일,매장에서도 먹을 수 있고 너무 친절한 시장님이 계신 두찜!! 두근두근 두찜!!
23.10.19.목,반응 남기기 방문일 23.10.19.목 2023년 10월 19일 목요일 1번째 방문 인증 수단 영수증
23.8.21.월,반응 남기기 방문일 23.8.21.월 2023년 8월 21일 월요일 1번째 방문 인증 수단 영수증
23.4.23.일,굳굳 로제찜닭에 중국당면으로 변경해서 공기밥이랑 같이먹으면 딱임 ㅎ !! 😋😋👍👍 근데 주문하고 25분걸리는건 좀 아쉽지만 미리전화로 주문해서 먹으면 빨리 먹을수 있음 ㅎ
23.7.13.목,반응 남기기 방문일 23.7.13.목 2023년 7월 13일 목요일 1번째 방문 인증 수단 영수증
23.8.28.월,반응 남기기 방문일 23.8.28.월 2023년 8월 28일 월요일 1번째 방문 인증 수단 영수증
23.6.4.일,로제찜닭 유행해서 시켜먹었는데 맛있게 잘 먹었습니다~
23.7.8.토,반응 남기기 방문일 23.7.8.토 2023년 7월 8일 토요일 2번째 방문 인증 수단 영수증
24.1.1.월,반응 남기기 방문일 24.1.1.월 2024년 1월 1일 월요일 1번째 방문 인증 수단 영수증
23.7.1.토,반응 남기기 방문일 23.7.1.토 2023년 7월 1일 토요일 1번째 방문 인증 수단 영수증
23.2.2.목,사장님 전화응대도 너무 친절하시고 음식도 너무 맛있었어요. 납작만두 서비스도 좋았습니다^^
23.6.5.월,반응 남기기 방문일 23.6.5.월 2023년 6월 5일 월요일 1번째 방문 인증 수단 영수증
23.8.31.목,반응 남기기 방문일 23.8.31.목 2023년 8월 31일 목요일 1번째 방문 인증 수단 영수증
23.1.19.목,오랜만에 먹었더니 소스가 더 맛이 좋아진것 같아요 ㅎ 로제찜닭 보통맛인데 약간 뒷맛이 매콤하고 좋았어요 ㅎ 😋😋👍👍
23.3.2.목,반응 남기기 방문일 23.3.2.목 2023년 3월 2일 목요일 1번째 방문 인증 수단 영수증
23.3.9.목,항상 맛있어서 자주 가여!
22.11.1.화,리뷰가 별로 없어서 고민 했는데 너무 맛있었어요🤤🤤 저희 집 주변 지점보다도 훨씬 먹있는거 같아요! 가서 먹으니까 양도 푸짐하고 이제 자주 가겠습니다~!
22.12.30.금,반응 남기기 방문일 22.12.30.금 2022년 12월 30일 금요일 1번째 방문 인증 수단 영수증
23.2.28.화,반응 남기기 방문일 23.2.28.화 2023년 2월 28일 화요일 1번째 방문 인증 수단 영수증
22.12.27.화,양이많고 가성비 좋고 친절해서 좋아요
23.1.8.일,아주 친철하고 좋습니다
23.3.7.화,반응 남기기 방문일 23.3.7.화 2023년 3월 7일 화요일 1번째 방문 인증 수단 영수증
23.7.9.일,반응 남기기 방문일 23.7.9.일 2023년 7월 9일 일요일 1번째 방문 인증 수단 영수증
22.12.25.일,좋아요 배달 빠르고 맛도 괜찮아요...
22.12.2.금,묵은지 찜닭 맛있어요
22.12.31.토,반응 남기기 방문일 22.12.31.토 2022년 12월 31일 토요일 1번째 방문 인증 수단 영수증
23.5.12.금,반응 남기기 방문일 23.5.12.금 2023년 5월 12일 금요일 1번째 방문 인증 수단 영수증
23.5.12.금,반응 남기기 방문일 23.5.12.금 2023년 5월 12일 금요일 1번째 방문 인증 수단 영수증
22.6.15.수,마라로제찜닭 먹어봐야지 먹어봐야지 하다가 드디어 먹어봤는데 매운맛을 시켰더니 엽떡정도 매운맛이라고 하셔서 시켰는데 마라샹궈랑 다르게 순살치킨이 들어있어서 함께먹기 좋은 것 같아요 ㅎ 중국당면변경햇더니 면도 있고 두부도 잘익혀져 나와서 좋았어요 ㅎ 공기밥 🍚 김말이 🍙추가해서 함께 먹으니 굳😋😋👍👍
22.10.3.월,로제찜닭 시켯는데 맵기만하고 느끼하네요 ㅠ 지난번은 맛잇엇는데...
23.1.7.토,반응 남기기 방문일 23.1.7.토 2023년 1월 7일 토요일 1번째 방문 인증 수단 영수증
22.11.11.금,반응 남기기 방문일 22.11.11.금 2022년 11월 11일 금요일 1번째 방문 인증 수단 영수증
23.3.23.목,반응 남기기 방문일 23.3.23.목 2023년 3월 23일 목요일 1번째 방문 인증 수단 영수증
22.7.19.화,주문 후 바로 조리가 들어가서 시간이 많이 걸리지만 그래도 마라로제는 못참지 ㅎ 😅😅😋😋👍👍🥘🥘순살치킨 굳굳 오뎅튀김까지 같이 먹으면 굳 ㅎ 😋😋
23.2.15.수,반응 남기기 방문일 23.2.15.수 2023년 2월 15일 수요일 1번째 방문 인증 수단 영수증
22.11.6.일,반응 남기기 방문일 22.11.6.일 2022년 11월 6일 일요일 1번째 방문 인증 수단 영수증
23.1.24.화,반응 남기기 방문일 23.1.24.화 2023년 1월 24일 화요일 2번째 방문 인증 수단 영수증
22.10.30.일,반응 남기기 방문일 22.10.30.일 2022년 10월 30일 일요일 1번째 방문 인증 수단 영수증
22.10.30.일,반응 남기기 방문일 22.10.30.일 2022년 10월 30일 일요일 1번째 방문 인증 수단 영수증
22.8.3.수,양도 푸짐하고 맛있네요 주문도 친절하게 받아주시고 배달도 친절하게 해주시고ᆢ잘먹었습니다
22.11.9.수,반응 남기기 방문일 22.11.9.수 2022년 11월 9일 수요일 1번째 방문 인증 수단 영수증
22.9.23.금,반응 남기기 방문일 22.9.23.금 2022년 9월 23일 금요일 1번째 방문 인증 수단 영수증
22.9.21.수,반응 남기기 방문일 22.9.21.수 2022년 9월 21일 수요일 1번째 방문 인증 수단 영수증
22.10.19.수,반응 남기기 방문일 22.10.19.수 2022년 10월 19일 수요일 1번째 방문 인증 수단 영수증
22.8.16.화,반응 남기기 방문일 22.8.16.화 2022년 8월 16일 화요일 1번째 방문 인증 수단 영수증
22.7.9.토,반응 남기기 방문일 22.7.9.토 2022년 7월 9일 토요일 1번째 방문 인증 수단 영수증
22.8.24.수,반응 남기기 방문일 22.8.24.수 2022년 8월 24일 수요일 1번째 방문 인증 수단 영수증
22.9.13.화,반응 남기기 방문일 22.9.13.화 2022년 9월 13일 화요일 1번째 방문 인증 수단 영수증
22.8.2.화,반응 남기기 방문일 22.8.2.화 2022년 8월 2일 화요일 1번째 방문 인증 수단 영수증
22.5.9.월,사장님들도 친절하시고 맛있어요~
22.4.12.화,양도 많고 맛있게 먹었어요 :)
22.7.20.수,반응 남기기 방문일 22.7.20.수 2022년 7월 20일 수요일 1번째 방문 인증 수단 영수증
22.5.14.토,반응 남기기 방문일 22.5.14.토 2022년 5월 14일 토요일 1번째 방문 인증 수단 영수증
22.5.13.금,반응 남기기 방문일 22.5.13.금 2022년 5월 13일 금요일 1번째 방문 인증 수단 영수증
22.5.15.일,반응 남기기 방문일 22.5.15.일 2022년 5월 15일 일요일 1번째 방문 인증 수단 영수증
22.3.6.일,반응 남기기 방문일 22.3.6.일 2022년 3월 6일 일요일 1번째 방문 인증 수단 영수증
22.6.1.수,반응 남기기 방문일 22.6.1.수 2022년 6월 1일 수요일 1번째 방문 인증 수단 영수증
22.5.22.일,반응 남기기 방문일 22.5.22.일 2022년 5월 22일 일요일 1번째 방문 인증 수단 영수증
22.4.18.월,반응 남기기 방문일 22.4.18.월 2022년 4월 18일 월요일 1번째 방문 인증 수단 영수증
22.5.17.화,반응 남기기 방문일 22.5.17.화 2022년 5월 17일 화요일 1번째 방문 인증 수단 영수증
22.6.9.목,반응 남기기 방문일 22.6.9.목 2022년 6월 9일 목요일 1번째 방문 인증 수단 영수증
22.11.5.토,반응 남기기 방문일 22.11.5.토 2022년 11월 5일 토요일 1번째 방문 인증 수단 영수증
