date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
4.23.수,"특별한 날 망고 케익 예약 주문했는데요, 진짜 맛있고 신선한 망고를 듬뿍 듬뿍 넣어주셨어요! 그리고 너무 예쁘게 만들어 주셔서 감동했어요ㅠㅠ 와.. 정말 이런 베이커리 있어서 넘 감사하고 좋네요! 또 올게요, 사장님~~"
6.25.수,사진보다도 실물이 훨씬 근사하고 이뻐요 예약 다음날 받았어요 빵이랑 크림보다 망고가 훨씬 많고 달면서도 느끼하지 않아요^^
3.5.수,말차초코롤이랑 초코과일타르트 먹었습니다. 디저트 원래 별로 안좋아해서 하나 다 못먹는데 여기만오면 두개는 그냥 먹네요 롤 시트가 너무 촉촉하고 크림도 느끼하지않고 입맛에 딱입니다 너무 맛있어요 사장님이 친절하시고 직접 과일 관리 하시는 모습 보니 더 신뢰가 가네요 ㅋㅋㅋㅋㅋㅋ 다음에 또 올게용ㅋ
5.24.토,초코가 진하지만 짭조름 합니다.
24.12.22.일,크리스마스 파티용 케이크 주문했었어요!! 진짜 맛있는 커스타드 크림이랑 양이 어마어마한 딸기까지ㅠㅠ 진짜 크리스마스 파티의 분위기를 완성해주는 예쁘고 맛있는 케이크였습니다🤍 서비스로 주신 진저맨 쿠키도 진짜진짜 맛있었어요!!! 행복한 크리스마스 파티의 일부를 완성해주셔서 감사합니다🎂☺️
24.12.8.일,쿠키클래쓰반 아이가 정말 너무 좋아했어요 쿠키 만들고 꾸미고정성으로 집중해서 하는 활동이 재밌었고 선생님 두분이서 세심하게 알려주셔서 아이가 대만족했습니다 집에서 쉽게할수없는활동도 해보고 즐거운 시간보내면서 소중한 추억하나 만들었어요  쿠키도 정말 너무 감사해요 큼직한 쿠기가 상자빼곡히 들어갑니다 완전 핵이득!!  친구들 준다고 아이가 들떠있어요 정말 최고예요♡
