date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
"""샐러드바가 잘 되어있어요""","""샐러드바가 잘 되어있어요"""
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""환기가 잘 돼요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
8.18.월,등촌샤브 너무 맛있어요~~ 사장님도 직원들도 친절하시고 야채양도 많고 맛도 최고예요~~♡ 시원한국물에 맛있고 고소한 볶음밥~~ 든든한 한끼였어요~~
8.30.토,반응 남기기 방문일 8.30.토 2025년 8월 30일 토요일 2번째 방문 인증 수단 영수증
7.14.월,볶음밥 쵝오 😍😍😍😍😍 버섯이랑 미나리도 쵝오 😵‍💫😵‍💫😵‍💫😵‍💫 어디든 등촌 좋아해요 💗
6.29.일,맛있게 잘 먹었어요 ~ 매장이 시원해서 뜨거워도 좋아요
10.3.금,반응 남기기 방문일 10.3.금 2025년 10월 3일 금요일 1번째 방문 인증 수단 영수증
6.6.금,등촌칼국수를 너무 좋아해 일부러 찾아간집 사람많은 성수에 있음에도 불구하고 들어가니 2테이블 식사중 심지어 점심시간이었음 그때 그냥 나왔어야 했는데ㅡㅡ  일단 손님이 와도 직원분들는 모름 다른일을 하는건지 아니면 신경 안쓰시는 건지 직접 주방쪽으로 가서 주문을했음  정말 더운 날씨였음에도 손님이 없어 그런지 에어컨을 한개만 가동중 더우니 틀어달라고 하니 자리를 옮기라 하심 ㅡㅡ 겉절이늘 쉬었고 고기양은 다른 지점 보다 적음 버섯보다 숙주가 더 많이 들어가 있고 간도 안맞음 등촌 칼국수가 지점 마다 맛이 다를수 있구나 몇 년만에 성수지점 덕에 알게됨 다먹고 나갈때도 계산대에 직원이 없어 직접 불러 계산했음 맛도 서비스도 최악 지점 다신 가고 싶지 않음
6.8.일,❌여기는 오지 마세요 ❌ 저는 일산 사람이고 등촌 매니아입니다 많은 지점의 등촌 칼국수를 방문하였지만 성수 지점만은 다르다른것을 많이 느껴 이렇게 리뷰를 씁니다.  1. 기존 등촌에 없던 숙주가 다른 야채들보다 많아 그냥 숙주칼국수임. 2. 기존 등촌만의 향이 아닌 라면 스프 향 지배 3. 버섯 양이 적어 야채 추가했더니 버섯만 추가되었으며 (맥이는건가? 기분나빴음)기존에 제공된 버섯 크기와 다른 정상적인 버섯이 추가됨 4. 고기 양이 다른 지점보다 현저히 적음 5. 등촌칼국수와 백촌김치찌개 상호를 동시에 사용하고 있음 이 모든 것에 대한 궁금증을 계산할 때 문의하였으나 피하기 바쁘고 이상한 사람 취급하였으며 본사의 처치가 필요하다고 판단됩니다.  정말 좋아하는 브랜드이기 때문에 이 정도의 리뷰를 남깁니다.
5.23.금,아주 맛있어유 볶음밥이 별미! 성수라비싸긴함
6.17.화,"김치찌개가 먹고 싶어서 방문했는데. 메뉴판에 1인분에 5,000원이라고 되있어서 너무 감사한 마음에 2인분 주문했고 공기밥은 따로 시켜야 된데서 저렴하니까 그렇구나 하고 밥을 따로 시켰습니다. 다 먹고 계산을 하려하니 1인분에 10,000원 으로 계산이 되어 있어서 왜그런지 여쭤보니 그건 6/26일 행사 메뉴판(참고로 저희가 간날은 6/17 입니다)이라며 계산된 가격이 맞다고 하녀요. 그때가서 다시 벽에 메뉴판을 살펴보니 기본 메뉴판을 가리고 행사 메뉴판을 붙혀 놨더라고요. 잘 찾아보니 원 메뉴판이 옆면에 붙어있긴 했습니다. 전면에 크게 행사 메뉴판을 붙여놓고 원 메뉴판은 옆벽에. 돈보다 속았다는 생각에 너무 기분이 나쁘네요. 혹시나 하고 알아보니 다른 체인점은 구천원에 공기밥포항 포함이더라구요"
6.6.금,제발 등촌칼국수 하나만 하나세요 칼국수도 맛없는데 뭐한다고 백채김치찌개까지 하는지 도대체 이해가 안가네요 볶음밥 먹다가 무슨 생밥 먹는줄 전부다 양도 작고 그리고 왜 다른 지점에 비해 금액도 다를까요 그리고 다른지점 가보세요 생김치 다주는데 이집만 익은 김치줍니다 그김치 정말 맛없어요 그냥 제 개인적인 생각은 전체적으로 최악이라고 생각합니다 그냥 등촌이든 백채 김치찌개 하나만 다른지점 가서 공부좀 하세여 후회하기 싫으면 다른데 가는걸 추천합니다 진짜 맛과 양에 충격드실분은 가셔도 됩니다
8.31.일,반응 남기기 방문일 8.31.일 2025년 8월 31일 일요일 1번째 방문 인증 수단 영수증
5.23.금,동네에 있어서 종종 갑니다 샤브샤브는 등촌성수👍
7.2.수,반응 남기기 방문일 7.2.수 2025년 7월 2일 수요일 1번째 방문 인증 수단 영수증
3.5.수,양도 푸짐하고 볶음밥도 맛있어요~ 고기가 조금 적을 수 있으니 많이먹고싶으면 인원수대로..!!
6.7.토,반응 남기기 방문일 6.7.토 2025년 6월 7일 토요일 1번째 방문 인증 수단 영수증
2.26.수,성수동 평일 점심시간.. 백채를 찾아갔는데 가게 이름은 등촌샤브칼국수 집이다. 한참을 헤맸다. 백채도 맞는데. 이곳은 2개의 식당이 한곳에 있는 식당이다. 대부분의 손님은 등촌샤브칼국수를 먹는다. 이유는 가격차이가 얼마 차이가 나지 않다보니 칼국수에 반찬 몇가지 곁드려 배부르게먹을수 있어서? 물론 우린 김치찌개가 먹고 싶어서 왔으니. 김치지깨를 먹었다. 우리동네. 은평구 가격과 성수동 가격에는 차이가 있다. 반찬도 안준다; 야박하다;; 배부르게 먹었으나 체인이면서 다른지점과 차이점을 두는것. 그리고 등촌 샤브칼국수 간판에 백채김치 찌개 작은 간판으로 손님을 헷가리게 하는.; 이상한 식당이였다.
5.11.일,얼큰으로 시켜서 먹었는데 넘 맛있게 먹었네요~ 처음 방문했는데 식당 내부도 깔끔하고 좋았어요!
3.9.일,기본 반찬이 하나도 안나와서 당황했어요….
4.17.목,반응 남기기 방문일 4.17.목 2025년 4월 17일 목요일 1번째 방문 인증 수단 영수증
4.29.화,반응 남기기 방문일 4.29.화 2025년 4월 29일 화요일 3번째 방문 인증 수단 영수증
