date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""주차하기 편해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
10.11.토,부대떡볶이 포장해서가는데 기본떡볶이줘서 다시돌아갔습니다 본인 실수임에도 사과한마디없이 취소해드렸다고만 말하더라구요 전부터 친절함은 못느꼈지만 오늘은 더하네요 손님이와도 인사도없고 말투도 퉁명스럽고... 숏컷머리 여자분 그렇게 일하실거면 그냥 집에서 쉬세요
5.23.금,"가격인상으로 3인분에 9,900원이 아니라 11,900인 게 조금 아쉬웠지만😭 사장님 친절하시고 포장도 완전 깔끔하고 빨랐습니다!!👍"
9.13.토,반응 남기기 방문일 9.13.토 2025년 9월 13일 토요일 3번째 방문 인증 수단 영수증
3.11.화,반응 남기기 방문일 3.11.화 2025년 3월 11일 화요일 1번째 방문 인증 수단 영수증
24.11.24.일,가성비 좋은 부대찌개!!
24.10.23.수,저렴하고 너무 맛있습니다!!
24.12.28.토,반응 남기기 방문일 24.12.28.토 2024년 12월 28일 토요일 2번째 방문 인증 수단 영수증
24.9.19.목,반찬하기 싫을때 가끔 사먹는데 가격도 저렴하고 맛있어요 아이도 잘 먹어요
24.8.31.토,반응 남기기 방문일 24.8.31.토 2024년 8월 31일 토요일 7번째 방문 인증 수단 영수증
24.5.25.토,부대찌개는 역시 땅스에요. 양도 넉넉하고 너무 맛있어요!!
24.6.2.일,반응 남기기 방문일 24.6.2.일 2024년 6월 2일 일요일 2번째 방문 인증 수단 영수증
24.7.7.일,반응 남기기 방문일 24.7.7.일 2024년 7월 7일 일요일 6번째 방문 인증 수단 영수증
24.8.4.일,반응 남기기 방문일 24.8.4.일 2024년 8월 4일 일요일 2번째 방문 인증 수단 영수증
24.6.30.일,반응 남기기 방문일 24.6.30.일 2024년 6월 30일 일요일 17번째 방문 인증 수단 영수증
24.5.1.수,반응 남기기 방문일 24.5.1.수 2024년 5월 1일 수요일 5번째 방문 인증 수단 영수증
24.2.29.목,반응 남기기 방문일 24.2.29.목 2024년 2월 29일 목요일 3번째 방문 인증 수단 영수증
24.4.19.금,반응 남기기 방문일 24.4.19.금 2024년 4월 19일 금요일 9번째 방문 인증 수단 영수증
24.5.8.수,반응 남기기 방문일 24.5.8.수 2024년 5월 8일 수요일 1번째 방문 인증 수단 영수증
24.5.6.월,말한듯 무엇하리요. 가성비 넘 좋아요.굿!
24.1.10.수,땅스부대찌개 가성비 너무 좋아요
24.3.3.일,반응 남기기 방문일 24.3.3.일 2024년 3월 3일 일요일 4번째 방문 인증 수단 영수증
23.12.2.토,종종이용 빠르게 포장 해서 집에서 즐겨요
24.3.1.금,반응 남기기 방문일 24.3.1.금 2024년 3월 1일 금요일 16번째 방문 인증 수단 영수증
24.2.11.일,반응 남기기 방문일 24.2.11.일 2024년 2월 11일 일요일 3번째 방문 인증 수단 영수증
23.11.8.수,햄이 듬뿍 들어서 좋았어요.
24.1.12.금,반응 남기기 방문일 24.1.12.금 2024년 1월 12일 금요일 3번째 방문 인증 수단 영수증
23.11.3.금,땅스부대찌개 너무 맛있어요
24.4.24.수,반응 남기기 방문일 24.4.24.수 2024년 4월 24일 수요일 1번째 방문 인증 수단 영수증
23.12.31.일,반응 남기기 방문일 23.12.31.일 2023년 12월 31일 일요일 15번째 방문 인증 수단 영수증
23.12.14.목,반응 남기기 방문일 23.12.14.목 2023년 12월 14일 목요일 6번째 방문 인증 수단 영수증
23.11.26.일,반응 남기기 방문일 23.11.26.일 2023년 11월 26일 일요일 14번째 방문 인증 수단 영수증
23.8.12.토,가격이 싼데 양도 맛도 👍 부대찌개 먹고플때 요기가요
