date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
10.18.토,왕십리 들를 때 자주 오는 떡볶이집이에요! 떡볶이는 기본 맛으로 시켰고 약간 달달하면서 살짝의 매콤한 맛이에요! 소스가 너무 취향이라 자주와요! 특히 오징어튀김 정말 맛있어요! 순대튀김도 꼭 드셔주세요!! 자주 오도록 할게요👍🏻🤤
9.16.화,오징어튀김김밥 아이디어상품이네요 ㅎㅎ 고소함이 극대화된 김밥이에요 신메뉴출시되고 첨 왔는데 와보길잘한듯 ㅎㅎㅎ 그리고 라뽂이 7천원인데 양도 푸짐하고 계란하나 다 들어가있는거 감동 ㅋㅋㅋ 요즘 반으로 잘라있거나 그래서 섭섭한곳 많았는데 여러모로 잘먹고 갑니다~ 점심 혼밥 추천
10.10.금,여기 김밥도 너무 맛있어요… 매번 메뉴 구성도 고민하시는 것 같고 나날이 인기가 많아지는 게 실감돼요! 저만 알고싶은 맛집이지만… 번창하셔서 메뉴가 더더욱 맛있어지면 좋겠어요! (제 지인들 동네 오면 여기 꼭 먹여요 ㅎ)
10.1.수,진짜 여기 고기튀김은 맛있어요!! 고기도 신선하고 튀김도 맛있고 잡내도안나고 한번먹으면 또먹고싶을거에요!👍🏻👍🏻 라뽂이도 맛있고 기본반찬이 국물도 맛있고 튀김가루도 셀프바에있는데 같이 넣어먹으니까 더 맛있어요!!
10.3.금,놀러갔다 배고픈채로 갑작스럽게 식당찾아왔는데 요즘처럼 사진만 화려하고 실제로는 빈약한음식이아니라 사진이랑똑같은채로 양도 많고 싸고....그냥 최곱니다 집에서 굉장히 멀지만 근처올때마다 찾을것같네요
9.21.일,"진짜 맛 미쳐써여 ... 튀김도 완전 바삭하구 떡볶이에 그냥 모든 메뉴가 다 댕맛도리🩷 진짜 ,, 또 올게요 직원분도 완전 친절하시구 재방문 의사 100000% 입니댜"
9.24.수,근처 축구교실있어 떡복이집 찾다보니 맛집이라고 소문나서 아이와함께 먹었는데 너무너무 맛있고 맛집이네요 자주이용할거같아요^^맵기정도도 선탣항수있어너무좋습니다.
8.27.수,"왕십리 올 일이 있어 맛집 검색하다가 맛있어보여 찾아왔는데 역시 소문대로 맛있어요! 라볶이도 맛있고, 고구마 튀김이 바삭하고 크기도 크고 정말 튀김 맛집 맞네요. 이벤트 오징어튀김 김밥은 재료가 꽉 차 있어 진짜 알차요👍 다음에 지인 데리고 또 와야겠어요!"
10.20.월,친구추천으로 왔는데 김밥진짜 맛있네요~ 라볶이도 튀김도 넘맛나요 담엔 시켜먹을께요~~ㅎㅎ
9.27.토,"재방문이에요! 지난번에도 맛있어서 다시 방문했어요, 음식이 맛있고 사장님도 친절하세요. 튀김이 엄청 맛있어요, 중국집인줄 홀에서만 두 번 째 먹는건데 배달이 엄청 들어오네요!! 잘 먹고 가요!"
7.29.화,이렇게 자주 먹으러 오게 될 줄은 몰랐는데 혼밥이나 드물게 일행과 밥을 먹을 일이 생긴 경우까지해서 7월에만 7번은 먹으러 온 것 같아요. 조만간 메뉴 도장깨기 할지 모르겠습니다. 맛있게 잘 먹었습니다. 매번.
10.18.토,근처 왔다가 저녁먹으러왔는데 너어무 맛있습니다. 사장님도 친절하시고 떡볶이집에 찐 김밥있어서 너무 좋아요 그리고 고기튀김!!! 킥입니다. 집 근처에 있으면 떡볶이집은 여기만 시킬듯...
10.10.금,가래떡 떡볶이 먹고 싶어서 일부러 방문했는데 넘 맛있어서 만족했어요~~ 오징어 튀김 김밥이 진짜 별미에요!! 강추합니다👍
9.27.토,상왕십리살때 애정했던 떡볶이집인데 이사가서도 또 먹으러 여기까지왔어요 ㅎㅎ 여긴 떡볶이맛집이기도하지만 튀김이랑 김밥맛집이기도해요!! 그래서 떡볶이말고도 꼭 튀김이랑김밥주문은 필수임!!❤
10.1.수,"여기 고기튀김이 진짜 퀄리티 좋고 맛있어서 단골인데, 전체적으로 음식이 다 훌륭합니다! 우동 먹고 싶어서 주문 했는데 이것도 맛있네요. 오징어튀김 김밥도 미쳤으요 🥹"
8.13.수,오래만에 와서 맛있게 먹었어요. 회사 그만두고 올 일이 없는데 여기 튀김 너무 그리워했어요! 메뉴도 업그레이드하고 더 맛있어졌어요!
8.8.금,로제 떡볶이 너무 맛있고 부드러워요... 양도 푸짐하고요... 먹기 전 사진 촬영을 잊은 게 너무 아쉽네요. 한참을 먹고 배가 불러오니 이제야 사진 생각이 났어요. 매장도 깔끔하고 친절한 응대가 인상적이어서 재방문의사 100%입니다.
10.17.금,맛있어요 다 맛있어요 또 올께요
9.24.수,오랜만에 순대 튀김 너무 맛있어요 떡볶이도 김밥도 순대도 맛있게 잘 먹었어요.
8.20.수,튀김이 엄청 바삭하고 김밥이 꽉 차서 정말 맛있어요 김볶밥 매니아로 여기서도 먹어봤는데 참치 진짜 많이들고 소세지에 후라이까지.. 합격! 전체적으로 간이 쎄고 맛있습니다
10.20.월,왕십리에서 떡볶이 맛집을 찾아헤매던 직장인인데 드디어 맛집 발견한 것 같아요 떡볶이 진짜 맛있고 고기튀김도 푸짐하고 너무 맛있어요 앞으로 떡볶이 먹고싶을 때는 무조건 떡세스!
7.25.금,"떡볶이가 먹고 싶었는데 생소한 위치의 떡볶이집이 있었습니다. 공부를 마치고 연인과 함께 방문했습니다. 고기튀김과 국물떡볶이, 계란튀김 등을 시켰고요. 떡볶이가 푸짐하게 담겨 나왔습니다. 맵기는 1단계였는데 적당히 매콤하고 좋았습니다. 납작당면도 들어있었고요. 튀김은 튀김옷이 정말 맛있더군요. 갓튀겨져 나와 뜨겁지만 맛있어서 혼났습니다. 다음에는 다른 메뉴도 꼭 먹고싶네요."
9.12.금,떡볶이 1단계 매콤매콤 오 당면도 들어가있어서 개꿀>.< 고기 튀김 바삭바삭 간장소스 찍어 먹으면 맛있어요!! 리뷰로 먹는 오징어튀김김밥 뭐에요!!?? 너무 맛있쟈나 튀김 바삭하고 입안에 꽉차서 진짜 너무 맛있어요!!!! 집근처면 자주먹고싶네요 ㅠㅠ ♡
9.22.월,떡볶이랑 김밪 맛있어요!! 특히 오징어 김밥 특이하고 너무 맛있어서 추천해요ㅎㅎ
10.3.금,음식 하나하나가 너무 맛있어요 자주 올꺼같아요^^
9.5.금,매번 기본떡볶이만 먹다가 로제먹어봤는데 로제도 정말 맛있네용ㅎㅎㅎ 라볶이라 라면양이 엄청나요 ㄷㄷㄷ 소시지도 대왕소시지라 혼자먹기에 양이 엄청 많아요! 그래서 좋아요ㅎㅎ 직원분들도 엄청친절하셔요 지금도 재방문인거지만 집주변에 떡볶이 튀김 김밥맛집이 잇어 행복한주민입니다ㅎㅎㅎ
9.14.일,"오징어튀김김밥 진짜 미쳤어요!! 짱맛,, 튀김도 갓튀겨서 따끈따끈 짱 맛있어요. 두명이 먹었는데 양 너무 많았어요ㅎㅎ"
9.14.일,순대튀김 있어서 좋네요! 튀김이 바삭하고 맛있어요. 가성비 좋고 마음에 들어서 또 방문하고싶어요!
8.30.토,김밥 고소하니 넘 맛있고 튀김도 하나하나 다 바삭 그자체 매장도 깔끔함 그리고 무엇보다 항상 친절하심 ♥️
10.17.금,"떡세스에서만 먹을 수 있는 로제라볶이,, 너무 맛있습니다 ㅜㅜ 올려주신 바게트 두조각은 킥,, 허겁지겁 먹다 사진찍었네요! 맛있게 잘 먹고갑니다! 조만간 또 올거에요!"
