date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
9.3.수,점심시간 뷔페 굿
7.20.일,반응 남기기 방문일 7.20.일 2025년 7월 20일 일요일 1번째 방문 인증 수단 결제내역
24.11.1.금,잘 먹었습니다. 맛있게 잘 튀긴 치킨이었어요
24.3.31.일,갈릭반핫양념반 첨 먹어봤는데 넘 맛있었어요~
23.10.26.목,성수 이사오고 치킨을 먹으면 또래오래만 먹게되었네요 다른 곳들보다 기름이 깔끔한게 느껴지고 정말 맛있어요! 그리고 사장님도 친절하시고 너무너무 좋아요! 정말 감사합니다!
23.9.28.목,치킨과떡뽁이 맛집이네요 사장님 부부도 너무 친절하세요 번창하세요~~
23.7.23.일,쿠팡배달로 왔다가 알게된 또래오래 웨이팅 하는 동안 사장님과 짧게 대화를 나누면서 나중에 아내와 함께 오겠다고 했는데 오늘 아내와 함께 방문해서 순살엔젤에 생맥주 500cc 마셨다  순살엔젤의 맛은 별이 다섯개 사장님 내외의 고객응대와 친절도 별이 다섯개 떡볶이는 일전에 쿠팡배달로 알게되었고 오늘 아내와 같이 온거라고 했는데 이말에 서비스로 주신것 같음ㅎ 암튼 이녀석도 은근 맛이 좋았음  아내는 두어 모금 마신 뒤로 얼굴이 이쁘게 붉은 빛으로 물들여져서 푸쉘이 대신 잔을 비워줌 ㅎㅎㅎ  치킨은 삼분에 일 정도 남아 포장해왔음  아내와의 좋은 추억을 만든 이곳 또래오래 성수점이 많은 이들에게 알려지고 사랑 받기를 기원해본다
24.2.24.토,또래오래 성수점 24.3.12.화 안녕하세요 맛있게 드시고 리뷰주셔서 감사합니다 항상 행복 건강 하세요
23.10.7.토,치킨도 맛있고 치즈볼도 맛있어요!!
23.10.16.월,한잔 하기 딱 좋은곳
23.7.23.일,치킨 맛있어요 사장님 내외분도 엄청 친절하시네요 강츄~~
23.5.24.수,치킨도 떡볶이도 맛있어요 😋
23.7.2.일,반응 남기기 방문일 23.7.2.일 2023년 7월 2일 일요일 1번째 방문 인증 수단 영수증
23.5.12.금,떡볶이 찐맛집 🥰
23.6.30.금,반응 남기기 방문일 23.6.30.금 2023년 6월 30일 금요일 1번째 방문 인증 수단 영수증
23.2.9.목,또래오래 너무 오랜만인데 간 보람이 있네요ㅎㅎ
22.12.12.월,근래 먹어본 치킨중에 제일 맛있었음. 순살... 전부 다 닭다리살인 마냥 부드러웠고 걍 진짜 존맛
23.5.30.화,반응 남기기 방문일 23.5.30.화 2023년 5월 30일 화요일 1번째 방문 인증 수단 영수증
22.12.17.토,"오곡이라 튀김옷이 고소합니다~맛있게 매운데, 소스가 msg맛이 많이 남아 아쉽 ㅜ"
22.11.23.수,10분안에 클리어~^^바싹함과 정신없이 맛있는맛~ㅋ
23.3.10.금,치킨은 맛있고 좋았는데 포장과 다르게 매장에서 먹을 때 떡볶이는 가격을 두배로 받는 거 같네용🥲 다른매장보다도 쫌 비싼 편인 거 같아요
23.4.19.수,반응 남기기 방문일 23.4.19.수 2023년 4월 19일 수요일 5번째 방문 인증 수단 영수증
23.3.14.화,반응 남기기 방문일 23.3.14.화 2023년 3월 14일 화요일 1번째 방문 인증 수단 영수증
23.1.17.화,반응 남기기 방문일 23.1.17.화 2023년 1월 17일 화요일 4번째 방문 인증 수단 영수증
22.11.9.수,맛나구 친절하시구~~떡볶이 서비스 감솨합니다~^^
22.11.24.목,치킨 맛있게 잘먹었습니다 다음에 또 포장하러 가야겠어요
22.10.9.일,떡볶이도 맛있고 치킨 양도 많아서 좋아요!!사장님 잘먹었습니다-신당동에서-
22.11.11.금,"후라이드, 먹태 맛잇어요"
22.12.11.일,반응 남기기 방문일 22.12.11.일 2022년 12월 11일 일요일 4번째 방문 인증 수단 영수증
22.10.25.화,반응 남기기 방문일 22.10.25.화 2022년 10월 25일 화요일 3번째 방문 인증 수단 영수증
22.11.20.일,또래오래 성수점 22.11.21.월 탱9154님 안녕하세요 저희 매장을 찾아주셔서 너무 감사드립니다 항상 친절과 정직한 맛으로 노력 하는 또래오래가 되겠습니다 접기
22.11.20.일,반응 남기기 방문일 22.11.20.일 2022년 11월 20일 일요일 1번째 방문 인증 수단 영수증
22.9.21.수,반응 남기기 방문일 22.9.21.수 2022년 9월 21일 수요일 2번째 방문 인증 수단 영수증
22.9.6.화,반응 남기기 방문일 22.9.6.화 2022년 9월 6일 화요일 1번째 방문 인증 수단 영수증
