date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""파티하기 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
10.4.토,기본안주로 나오는 마시멜로부터 인상적이었는데 인테리어도 잘되어 있어 여행온 기분을 내기 딱 좋았어요! 거기에 고기까지 조리되어 나와 냄새 안배고 먹기 편했는데 불쑈까지 퍼포먼스로 보여주셔서 인상적인 곳이라 또 방문해보고 싶은 곳이에요. 더 유명해지기 전에 얼른 방문해보세요!
8.29.금,"왕십리 도심에서 즐기는 캠핑!  분위기 너무 좋고 예약도 가능해서 친구들이랑 모임 하기 너무 좋아요💗  안주도 하나같이 맛도리•• 사장님 고기굽기 마스터 인정합니다 진짜루.  화장실도 안에있고, 주류 이벤트 10초 맞추기 이벤트 이런게 다양해서 너무 재밌는 것 같아오! 😀"
10.11.토,음식도 맛있고 컨셉도 너무 좋아요 ㅋㅋㅋㅋㅋ 놀러온 것 같은 느낌이라 좋네요! 안주도 너무너무 맛있어요ㅜㅜ
