date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
7.25.금,헤어숏컷사장님 엄청 불친절하시고 사람불편하게하는 재주가있어요 메뉴고를때부터 서비스마인드가 제로 ! 주문을하면 토를달고 먹는순서방법도 참견하시고 참  손님을 무안을자꾸주셔서 부모님같이와서 간신히 참았습니다 주문을하면 대짜를 유도하고 손님이왕이 아니라 사장이 왕 사장인지 직원인줄모르겠으나 폭염속 매장안은 많이덥고덥고 양도 적은데 비싸기는 사철탕이라 그런지 개 비싸다고 맛도없고포장도기5분기다려 계산도5분기다려 포장지는 투명이고 알바를하나쓰세요 기분도망치고 돈도아깝게 잘못먹고갑니다 다신안갑니다 18만원어치 먹었는데 18000원짜리 보다못함 머리털나고 처음 리뷰남깁니다
24.6.20.목,가끔 저희가 찾는 맛집입니다
24.6.7.금,반응 남기기 1 명 방문일 24.6.7.금 2024년 6월 7일 금요일 3번째 방문 인증 수단 영수증
24.4.26.금,반응 남기기 방문일 24.4.26.금 2024년 4월 26일 금요일 3번째 방문 인증 수단 영수증
24.3.22.금,반응 남기기 방문일 24.3.22.금 2024년 3월 22일 금요일 2번째 방문 인증 수단 영수증
23.6.22.목,몸보신 제대로 하고 갑니다^^;
23.8.11.금,최악의 보신탕집을 갔네요 복날인데도 손님이 왜이리없나 했더니 이유가 있네요 불친절하고 고기에서 냄새는 풀풀나고 거기에 바가지 절대 가지마세요
23.7.24.월,언제나 친절하게 대해주시는 홀이모님덕에 기분좋은 식사를 하는 곳입니다
23.6.12.월,반응 남기기 방문일 23.6.12.월 2023년 6월 12일 월요일 1번째 방문 인증 수단 영수증
23.4.3.월,반응 남기기 방문일 23.4.3.월 2023년 4월 3일 월요일 1번째 방문 인증 수단 영수증
23.3.18.토,맛있어요 주인도 친절하시고 반찬도 다 먹음알아서 가져다주세요
22.12.29.목,반응 남기기 방문일 22.12.29.목 2022년 12월 29일 목요일 1번째 방문 인증 수단 영수증
23.8.14.월,반응 남기기 방문일 23.8.14.월 2023년 8월 14일 월요일 4번째 방문 인증 수단 영수증
23.1.12.목,반응 남기기 방문일 23.1.12.목 2023년 1월 12일 목요일 1번째 방문 인증 수단 영수증
22.9.8.목,몸보신하기 좋은 동네 보양집!
22.12.20.화,반응 남기기 방문일 22.12.20.화 2022년 12월 20일 화요일 2번째 방문 인증 수단 영수증
22.11.11.금,반응 남기기 방문일 22.11.11.금 2022년 11월 11일 금요일 1번째 방문 인증 수단 영수증
22.7.23.토,반응 남기기 방문일 22.7.23.토 2022년 7월 23일 토요일 4번째 방문 인증 수단 영수증
22.8.2.화,반응 남기기 방문일 22.8.2.화 2022년 8월 2일 화요일 1번째 방문 인증 수단 영수증
22.7.27.수,반응 남기기 방문일 22.7.27.수 2022년 7월 27일 수요일 2번째 방문 인증 수단 영수증
22.7.16.토,반응 남기기 방문일 22.7.16.토 2022년 7월 16일 토요일 1번째 방문 인증 수단 영수증
22.6.25.토,반응 남기기 방문일 22.6.25.토 2022년 6월 25일 토요일 1번째 방문 인증 수단 영수증
22.5.7.토,반응 남기기 방문일 22.5.7.토 2022년 5월 7일 토요일 2번째 방문 인증 수단 영수증
22.5.11.수,반응 남기기 방문일 22.5.11.수 2022년 5월 11일 수요일 1번째 방문 인증 수단 영수증
21.12.14.화,반응 남기기 방문일 21.12.14.화 2021년 12월 14일 화요일 1번째 방문 인증 수단 영수증
22.3.29.화,반응 남기기 방문일 22.3.29.화 2022년 3월 29일 화요일 1번째 방문 인증 수단 영수증
21.3.19.금,"와.... 맛집 발견 진심 존맛탱 깨끗하고 음식 정갈하고 양도 푸짐하고 사장님 혼자하시는 것 같은데 대단하시단 생각도 들고 ㅎㅎㅎ 밥도 볶아먹었는데.. 국물을 진짜 몇 숟가락 만큼만 냄겨놨더니 사장님 놀래시고>,< 볶음밥도 진짜 꼬숩고 수육고기랑 파랑 깻잎과 들깨가루의 조화란 고기의 부드러움과 파의 몰캉한 식감 깻잎의 향긋함 들깨가루의 고소함과 알이 터지는 식감....!! 완전.... 싹싹 다 긁어먹고 나옴 자주는 못먹는 음식이지만 한달에 한번식 갈것같은 예감이 드는 진짜 맛집....!!!"
21.6.6.일,반응 남기기 방문일 21.6.6.일 2021년 6월 6일 일요일 1번째 방문 인증 수단 영수증
19.12.10.화,부모님이랑 식사하러 몇번가봤는데 가격착하고 맛도괜찮아요 삼계탕 맛있습니다
20.6.19.금,반응 남기기 방문일 20.6.19.금 2020년 6월 19일 금요일 1번째 방문 인증 수단 영수증
