date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
10.6.월,"나대 근처에서 방문할 일이 있어서 알아보다가 오픈한지 얼마 안된 것 같았는데, 분위기가 좋아서 방문했어요!  방문해서 수육에 사리추가, 짜계치랑 감자채전이랑 계란말이 시켜서 먹어봤어요! 수육은 고기도 잡내없이 부드럽고 맛있었고, 라면사라 추가하니까 돈코츠 라멘처럼 녹진하게 먹어서 맛있었어요:)  그리고 짜계치도 면도 적당하게 딱 익어서나와서 맛있었고, 감자채전도 엄청 바삭해서 비오는 날에 딱이었어요🥰  계란말이도..아주 든든해서 탄단지 잘 챙겨서 먹고왔어요ㅎㅎ다음에도 재방문 의사 있어요!!!👍🏻👍🏻👍🏻"
10.8.수,내돈내산 단골포차 두번째 방문💛 사실 청주사람인데 단골포차만의 감성과 분위기가 또 생각나서 친구들 데리고 또 방문했어요 ㅎㅎ 청주 사는 친구들도 야장감성이랑 음식이 넘 맛있어서 또 올것같다구 해서 뿌듯 뿌듯☺️  요즘같은 날씨에 단골에서 시원한 바람 맞으면서 좋은 노래듣고 술먹으면 넘 행복해요💛 단골포차가 가까이 있는 천안 사람들 부럽네용 ㅠㅠ 이번 방문에는 닭볶음탕 먹었는데 소스가 넘 맛있어서 마지막에 메뉴에 없는 볶음밥까지 만들어 먹었어요 제육은 저번보다 더 맛있어지고 어딜가서든 제육만 꼭 시켜먹는 친구랑 함께 갔었는데 한입먹자마자 감탄하면서 밥 시키네요ㅋㅋㅋ 다음에 또 다른 친구들 데리고 방문할게용💛
10.3.금,감성적인 분위기의 쌍용동 신규오픈 술집 “단골”입니다.  직원분들 친절하시고 음식도 정말 맛있어요. 야외 테이블도 있어서 반려견 동반도 가능한게 좋았습니다.  저는 차를 가져와서 술을 못마셨는데 다음에 차 놓고와서 막걸리에 닭볶음탕 먹어보고 싶네요~
10.1.수,"쌍용동 단골 방문했어요! 입구부터 분위기 제대로..❤️ 일단 분위기만해도 술맛 좋구요 서빙하시는분 넘 이쁘시고 친절🫣❤️ㅎㅎㅎ간단하게 술한잔하려고 닭볶음탕시켰는데 세상 맛도리… 국물 녹진하고 큼직한 닭다리 4개 들어있는데 잡내 1도안나고 토실토실 맛있어용❤️닭볶음탕만 먹을라고했는데 맛있어서 제육볶음, 토스트, 계란말이 더 시켜먹었어욬ㅋㅋㅋ너무 맛있는거 아닌가요 ㅠㅠㅠㅠ❤️ 또 갈께요!!"
10.18.토,인스타 보고 찾아와봤는데 분위기도 넘 좋구 직원분들도 넘 친절하시네용!! 수육이랑 쏘야 시키고 리뷰작성해서 토스트 서비스로 받았는데 음식이 전부 너무 맛있어요!! 특히 저 장아찌 진짜 맛있어용!! 먹고 싶은메뉴가 넘 많은데.... 시키고 남기면 넘 아까우니까 다음에 또 올게여 ㅎㅎㄹㄹ 사장님 번창하세용!!!
10.8.수,안주 미쳤습니다.. 특히 제육볶음!! 불맛 장난아니구요 술이 술술들어가는 맛이에요! 야외포차감성 제대로 느끼다 갑니다~~ 분위기 너무 좋고 야외에서 먹으니 취하는지도 모르게 먹었습니다.. 다음에는 닭볶음탕 먹으러 갈게요! 번창하세요:)
10.19.일,바로 집앞에 술집 생겨서 왔는뎅 너무 좋아용 일단 분위기가 진짜 술이 술술 들어갑니다😱 부추전이랑 감자채전 꼭 먹어보세요 단골 될거 같네요🫶🏻
10.11.토,1차를 하고와서ㅓ 간단한 메뉴들만 시켰지만 내가 한 맛은 아닌 맛있는 맛…….!!!!!!!!! 내가 하먄 안나오는 맛 맛있게 잘 먹고가여~~~ 분위기존좋
10.19.일,안주가 다 맛있어요!! 닭볶음탕 국물이 맛있어서 라면넣구 볶음밥까지 직접 만들어서 싹싹 잘먹었어요ㅠㅠ 나머지 안주들도 다 맛있어요! 꼭 먹어보세용
9.27.토,"저희는 이북식 찜닭 작은 사이즈를 주문했는데요, 찜기 위에 닭다리와 부추가 올라가 있어서 비주얼부터 합격! 👏🏻  닭은 잡내도 전혀 없고 부드러워서 남녀노소 누구나 좋아할 맛이에요 함께 나오는 고추장아찌와 매운 다대기랑 같이 먹으니까 궁합이 딱이더라구요 🔥🐓  사이드로 시킨 계란말이는 두툼하면서도 촉촉하고, 케찹 + 머스타드 + 마요네즈 소스 조합이 신의 한 수! 맥주가 술술 들어가는 맛이었어요  거기에 부추전, 국물닭발, 제육볶음, 라면까지 ㅋㅋ 거의 메뉴를 싹 다 먹어봤는데 하나같이 다 만족스러웠습니다  요즘같이 선선한 날씨에 야장이 특히 생각났는데, 집 앞에 이런 분위기 좋은 술집이 생겨서 너무 행복해요 사장님, 대박 나세요! 🙌🏻"
10.5.일,똥손이라 사진을 잘 못찍긴했지만 너무 맛있는 음식들이였어요! 인테리어랑 분위기도 너무 이쁘고 위치도 골목안에있어 딱 있어 우리만 있는거 같은 그런 분위기였어요!! 담에 또 올거 같아요ㅎㅎ
10.11.토,원래 리뷰 잘 안쓰는데 사장님들도 너무 친절하시고 골목의 숨겨진 아지트 술집같은 느낌이라 너무 좋아요! 야들야들한 수육과 소맥이 너무 잘 어울리는 야장술집🍻
10.16.목,오픈한지 얼마 안됐지만 이미 N회차 방문입니다. 동네에 이런 맛집이 생겨서 너무너무 좋아요. 직원들 모두 친절하시고 너무 맛있어요. 저만 알고 싶은 곳이기도 하지만 단골이 더 번창해서 동네 상권이 다같이 활성화 되면 좋겠어요.
10.18.토,남친 추천으로 다녀왔는데 요즘 핫플이네요~ 야장이 너무 좋은데 이미 만석..ㅠ 야장 원하시면 일찍 오세요~ 직원분들도 너무 친절하시고 분위기 갑!! 여기 진짜 단골될것같아요~~♡♡
9.27.토,인스타 보고 집 앞에 새로 생겨 와 봤어요! 젊은 청년들이 하는 포차인데 아쉬운 점이 너무 많아 안타까운 마음에 개선점 몇 가지 말씀해 드려요 개선점 - 이복식 찜닭이 너무 비싸며 야채가 너무 없음 - 국물 닭발은 맛은 안나며 맵기만 함 - 오뎅탕은 맹물에 후추만 넣은 맛 (간이 안 맞음) - 기본 안주로 새우깡 말고 당근과 오이를 주어도 좋을 것 같음 - 단가에 비해 퀄리티와 양이 너무 적음 - 오픈한지 정말 얼마 안되서 그런지 홀서빙도 어러버리 하시고 체계적이지 못한 느낌이 듦  집 앞에 생긴 작은 포차라 정말 단골할 생각으로 갔는데 너무 아쉽더라구요..개선이 되어 집 앞에 자주 갈 수 있는 그런 곳이 되었으면 좋겠습니다:)
10.16.목,아늑하게 먹을수 있어서 좋아요~ 간단하게 ~ 담번에는.딸하고 같이 오구 싶어요
