date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""차가 맛있어요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
10.2.목,"넘나 맛있는 디저트를 파는 옹뜌!! 사장님의 디저트맛을 잊을 수 없어서 재방문입니다!! 영업시간이 제 일과랑 잘 안 맞아서 자주는 못 오지만,, 앞으로도 또또또 올거예요🩵🩵🩵 오래오래 장사해주세요 사장님"
9.24.수,호텔에서만 먹을 수 있을 것 같은 디저트의 비주얼과 맛🤍 씨트홍을 먹는 순간부터! 나의 입은 .. 한 없이 고급스러워졌구나를 느낄 수 있었어요 레몬타르트의 고급의 끝!이라고 느꼈답니다 녹차라떼도 초코라떼도 너무 맛있었어서 비오는날 너무 행복하게 힐링하고 왔어요🤍 소중한 지인에게 선물을 주고 싶을때 방문을 하게 될 것 같아요!
9.27.토,사장님이 친절해요 디저트가 귀여운크기지만 신기해요 여기에서만 먹을수 있는! 초코 휘낭시에인데 맛있어요!! 쫀득하니 느무 맛잇네요!! 루프탑도 있어서 선선한날에 루프탑에 앉아있으먄 좋을것 같아요
9.7.일,젤리 너무귀여우ㅏ요...💚 파블로바베는 상큼이 좋아하시는 분들에게 추천입니다✨️ 라임+애플민트+머랭= 여름 🍋 젤리는 아래 케이크랑 같이먹어야 맛있다고 설명해주셨어요! 꽤나 상큼해서 한입에 와앙했다가는 눈을 뜨지 못할수도👀
