date,content
"""초보자에게도 적합해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""설명이 자세해요""",이 키워드를 선택한 인원
"""맞춤 수업을 잘해줘요""",이 키워드를 선택한 인원
"""수업 시간이 충분해요""",이 키워드를 선택한 인원
"""원데이 클래스가 알차요""","""원데이 클래스가 알차요"""
"""시설이 깔끔해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""가격이 합리적이에요""",이 키워드를 선택한 인원
"""수업이 다양해요""",이 키워드를 선택한 인원
"""재료가 충분해요""",이 키워드를 선택한 인원
"""단체로 가기 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""프라이빗해요""",이 키워드를 선택한 인원
"""품질이 좋아요""",이 키워드를 선택한 인원
"""디자인이 멋져요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""수업이 체계적이에요""",이 키워드를 선택한 인원
10.6.월,처음 해보는건데 잘 알려주시고 재밌게 잘 만들고 왔습니다! 다음엔 다른 베이킹으로 재방문 하고싶어요☺️👍
10.2.목,"라쿵베이커리에서 마카롱 원데이 클래스를 다녀왔는데 정말 즐거운 시간이었어요! 💛 처음이라 걱정했는데 선생님이 차근차근 알려주셔서 생각보다 쉽게 따라 할 수 있었어요. 내가 직접 만든 마카롱이 예쁘게 나와서 뿌듯했고, 맛도 달콤하니 최고였어요 😋💕 친구들이랑 또 오고 싶을 만큼 추천합니다!"
9.25.목,"급하게 단체 예약(10명)했는데 굉장히 친절하시고 만족스러웠습니다! 사전에 소통이 원활하고 클래스 진행도 매끄러워 편안하게 참여했습니다. 또한 진행하는 공간도 넓고, 앉아서 수업을 들을 수 있어서 좋았습니다.  다음에도 좋은 베이킹수업 많이 열어주세요~! 또 참여하고 싶습니다🥺~~!"
9.17.수,사장님이 넘 친절하시고 다른 종류의 제과들과 비교하며 재밌게 설명해 주셔서 재미있게 만들 수 있었어요. 중간에 포장 박스를 꾸밀 수 있는 시간이 클래스를 도 특별하게 만들어 준 것 같아용!
9.10.수,회사 팀원들과 워크샵으로 방문했습니다! 남녀노소 누구나 쉽게 즐길 수 있는 클래스였습니다 :) 선생님이 너무 친절하게 알려주셔서 진짜 쉽고 예쁘게 만들 수 있었던 것 같아요! 아이가 있으신 분들은 아이와 함께 방문하셔서 체험하셔도 좋은 추억이 될 것 같습니다~ 강추합니다!!
9.6.토,티그레 해보고싶었는데 연락을주셔서 하러가게 되었어요~~비가 갑자기 많이와서 가기힘들었는데 그래도 가길잘했네요ㅎ 친절하시고 설명도잘해주시고 잘만들고온거같아요!! 다른클래스 하러또갈게요^^
9.1.월,수업 중간중간 퀴즈도 풀고 재밌게 만들고 갑니다
8.27.수,너무 재밌고 즐거운 시간이였어요! 남자친구 생일이라 베이킹 하러 같이 간건데 남자친구도 너무 좋아했구 너무 맛있어서 며칠 만에 다 먹어버렸네요 ㅎㅎ 특히 친절하시고 저희가 하는 거 보며 쉽게 알려주셔서 좋았습니당!!
8.25.월,"사소한 질문에도 너무 친절하게 대답해주시고 알려주셔서 감사해요~ 수업 끝나고 바로 식당 간다고 하니까 대박 큰 아이스팩도 하나씩 챙겨주셨어용👍 베이킹 지식을 배운다기보단 재미 위주의 수업이었고 조물조물 모양내고 꾸미는게 거의 전부이긴 했지만, 내 취향 담아 나만의 쿠기를 만들고 연인의 쿠키 모양도 구경하고 미감대결을 하는 과정이 굉장히 즐거웠습니다~ 감사합니다💗 약간 아쉬운 점은 쿠키가 덜 식은채로 포장햇더니 초코렛데코가 다 뭉개졌어요 ㅠㅠ 시간이 걸리더라도 특히 지금같은 여름엔 충분히 굳힌 뒤 포장하는 걸 추천…"
8.16.토,친구들과 재미있게 만들 수 있었고 즐거운 추억을 남길 수 있었습니당. 🫡🤍
8.3.일,아이들과 오기 아주 좋은거같아요 강남역에 유명한 요리학원에서두 원데이 받은적있는데 애들말이 여기가 친철하고 재밌대요 담에 또 재방문예정이요
7.26.토,요런 베이킹 클래스는 처음 와보는데 너무 친절하게 설명해주시고 알려주셔서 만드는 내내 너무 재밌게 만들었어요 !!! 콘치즈 타르트도 진짜 세상 너모 마싯게 완성 💓 다음에 또또 올꺼에요 😊
7.26.토,시원하구~ 준비 잘 해주셔서 재밌게했어용👍👍👍
7.19.토,너무너무 맛있고 귀여워요💙 재밌게 즐기고 갑니다 감사합니다
7.19.토,까눌레?? 만들었는데 생각이상으로 맛있고 즐거웠어요 쿠키 맛있어보이던데 만들어 가야할거같아요
7.16.수,친구와 함께 베이킹 수업을 들으려고 신청했어요. 초 고학년도 참여할수 있을정도의 난이도였어요 (물론 누나가 도와주긴했지만요^^) 선생님도 정말 친절하셨고 베이킹 도구들도 깨끗해서 좋았습니다. 갓 구운 스콘을 먹으니 정말 맛있었어요. 끝나고 성수동 구경하기에도 너무 좋은 코스네요~
7.12.토,"좋은 점부터 말해보자면 1. 매장이 예쁘다 2. 미리 정량을 전부 해주셔서 섞고 반죽하고 모양만 잡으면 끝이라 시간이 널널하다 3. 쿠키가 맛있다! 그렇지만 별로인 점도 있었어요 1. 6팀정도 함께한거같은데 메인으로 진행해주시는 선생님 한 분 계셨는데요, 가끔 다른 선생님이 도와주셨긴 하지만 대체적으로 모든 팀을 신경써주지 못하시는게 보였어요 2. 저는 제 손으로 하는걸 좋아하는 편이라 너무 모든게 미리 되어있고 섞기만 하는게 좀 지루했어요 완성품이 좀 달기도 하구요 이건 사바사인듯! 2. 앞 이유로 가격에 비하면 아쉽다는 생각이 들었어요 단체로 가기에는 좋겠는데 저는 재방문은 안할거같아요~"
7.4.금,거북이가 엄청 귀엽고 초보자라 오래 걸릴 줄 알았는데 딱 1시간 걸리더라구요! 나중에 또 베이킹 한다면 다시 올 것 같습니다~
