date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""차가 맛있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
9.22.월,#협찬 독특한 메뉴도 많구 인테리어도 예뻐서 남자친구랑 수다떨러 오기 너무 좋은 카페였어요❤️ 특히 밤마들렌 안에 통밤이 크게 들어서 별미였어요 추천! 에뻬라떼도 시그니쳐답게 위에 올라간 크림 쫀쫀하고 피스타치오 견과류올려져있는 부분 은근 피스타치오 원물맛 진하게 나서 맛있어요.
9.13.토,"#협찬 유럽풍 인테리어와 맛있는 디저트가 있는 서울숲 카페 라플랑에 다녀왔어요! 일단 인테리어가 너무 취향저격…❤️ 마치 프랑스에 여행 간 듯한 느낌을 주더라구요!! 저희는 라플랑 시그니처 메뉴 위주로 주문해봤어요 ㅎㅎ 💛에뻬라떼: 고소한 라떼에 쫀득한 크림과 피스타치오가 올라간 음료입니다. 피스타치오가 고소함을 더해줘서 더 맛있더라구요! 💛 카라멜 밀크: 버터 스카치 캔디를 음료로 만든듯한 맛이에요! 스카치 캔디 좋아하시는 분들께 강추드립니다 ㅎㅎ 🩷 이스파한 까눌레: 이스파한을 까눌레로 재해석한 디저트입니다. 상큼한 리치와 라즈베리, 은은한 장미향이 느껴져 유니크했어요 ㅎㅎ 🩷 유자 마들렌: 유자의 상큼함과 특유의 달달함을 함께 느낄 수 있는 마들렌입니다. 유자 과육도 씹햐서 맛있더라구요!"
9.7.일,유럽풍 느낌의 카페인데 인테리어도 이쁘고 분위기도 너무 좋더라그요! 잔 에삐라떼? 먹었는데 와!! 이거 피스타치오 들어가서 고소하고 은은하게 달달하니 진짜 맛있었어요 스콘도 맛있고 오렌지얼그레이 파운드도 짱맛!! 🙌🏻
8.13.수,"서울숲역 근처 유럽 감성 디저트 카페 라풀랑(Lapullang). 클래식한 외관과 고급스러운 인테리어가 인상적이며, 당일 제작 디저트와 시그니처 커피 ‘에뻬라떼’가 유명해요. 평일 오후 방문했지만 디저트가 대부분 품절일 만큼 인기가 많았고, 에뻬라떼는 고소한 크림과 커피 조합이 정말 독특하고 맛있었어요. 조용하고 차분한 분위기라 데이트나 여유로운 티타임 장소로 추천! 주차는 인근 유료주차장을 이용해야 해요."
8.23.토,"성수의 작은 카페 라플랑은 공간은 아담하지만 분위기가 참 예쁘고 따뜻했어요. 디저트는 정성스럽고 맛있어서 한입 한입이 즐거웠고, 직원분들도 친절해 기분 좋게 머물 수 있었습니다. 카페를 나와 바로 이어지는 서울숲 산책까지 하루가 특별하게 완성된 느낌이라 가족 나들이나 데이트 코스로 꼭 추천하고 싶은 곳이에요."
9.6.토,"#협찬 주문은 까또 쇼콜라, 레몬에이드, 에삐 라떼 했어요. 유럽 감성 가득하고 내부도 깔끔해서 사진 찍기 좋았어요. 까또 쇼콜라는 촉촉하고 맛있음!! 에삐 라떼는 비주얼도 예쁘고 고소하면서 달콤했어요.선물용 까눌레랑 단지곶감 포장도 가능해서 선물하기 좋을거같아요! 친구랑 비오는날 다 젖으면서 힘들게 찾아왔는데 예쁘고 맛있어서 힐링하다 갑니다!"
8.7.목,피스타치오 까눌레 존맛💚 피스타치오 크림도 들어있구 피스타치오 가루 듬뿍 입은 까눌레는 꼭 드셔보세요! 레몬 마들렌도 상큼 촉촉하니 맛있어서 다른 까눌레랑 마들렌도 궁금해여.. 성수카페 찾다가 들어갔는데 시원한 매장에서 맛있는 음료와 디저트먹으면서 힐링했어용 🤍🤍
9.21.일,"#협찬  1.메뉴가 다양하고 이 카페 만의 특별한 메뉴가 있어서 좋았습니다. 특히 밤 마들렌과 쑥 인절미 피낭시에를 주문했는데, 매우 만족스러웠습니다. 커피와 차 종류 모두맛있어요. 다음에는 에피 라떼를 도전해 보고 싶어요.  2.유럽풍의 인테리어가 예뻐서 머무는 시간이 힐링 타임이었어요😆사진을 여기저기서 찍어도 다 예쁘게 나오더라구요. 화장실도 깨끗하게 잘 관리 되어 있어 좋았습니다.  3.직원 분들도 친절하게 응대 해줘서 머무는 시간이 편안했습니다. 조용하고 아늑한 분위기에 듣기 편안한 노래들이 나와 더욱 좋았습니다."
8.17.일,"성수동 유럽 감성 카페 찾다가 우연치 않게 발견해서 들어가보았는데, 유럽 감정답게 카페가 예뻐서사진 찍기 너무 좋았고 디저트들이 맛있어서 행복한 데이트 시간 보냈습니다❤️ 시그니처 커피 꼭 드셔보세요~"
8.17.일,서울숲&성수 근처에 있는 유럽느낌 가득한 카페 “라플랑” 까눌레 좋아해서 피스타치오랑 이스파한 주문했는데 맛있네요. 커피도 맛있고 분위기도 좋아요. 매일 만드는 수제 디저트가 예쁘고 맛있어서 친구들에게 선물하고 싶네요.
8.15.금,#협찬 직원도 친절하고 디저트와 음료 메뉴가 다양해서 고르는 폭이 넓어서 좋았습니다! 구름과자가 맛있다고 유명한 곳이라 그런지 까눌레가 겉바속쫀 느낌이더라고요! 피스타치오 분태까지 올라가 있어서 피스타치오의 고소함이 가득 입 안에 퍼져요! 아포카토도 위에 올라간 수제아몬드크런치가 킥! 방문하시면 위의 두 메뉴 추천드려요❤️
8.15.금,디저트 존맛탱 내부도 넘 예쁘고 분위기도 좋은데 디저트 다 예쁘고 존맛탱이에용 크론치 너츠 아포가토 진짜 찐찐 맛있으니 완전 추천해요 오렌지얼그레이 파운드는 약간 상큼한 향에 얼그레이향까지 더해져서 더더 맛있어용 잘먹었습니당~
8.8.금,"라플랑 성수는 단순히 디저트 카페가 아니라, 성수동의 숨은 디저트 명소라고 해도 과언이 아니었어요. 매일 당일 만든 디저트만 제공한다는 점에서 신뢰감이 있었고, 고급스럽고 분위기 있는 공간 덕분에 데이트 장소, 또는 특별한 날 가기 좋은 카페였어요 . 제가 먹었던 까눌레와 콘파냐는 지금도 다시 생각날 정도로 맛있었고, 썸머 로즈에이드까지 조합이 완벽했어요. 분위기 좋은 카페에서 고급진 디저트를 즐기고 싶으시다면 라플랑 성수를 꼭 추천드리고 싶어요. ✨"
9.16.화,매장에 들어가니 인테리어거 예뻐서 기분이 좋더라규요ㅎㅎ 구움과자 종류도 많아 고르는 재미도 있었어요☺️ 카라멜밀크 강추입니다👍
9.14.일,"성수 데이트하고 들린 곳, 라플랑 분위기 너무 좋았고, 까눌레 / 파운드 너무 맛있었어요."
7.17.목,"라플랑은 감각적인 소품 하나하나가 어우러져 있어 아늑한 분위기는 혼자만의 시간을 보내기에도 좋고, 연인과 함께 달콤한 대화를 나누기에도 더할 나위 없이 완벽합니다. 이런 분위기 덕분에 성수카페를 찾는 많은 분들이 라플랑을 선택하는 이유이기도 합니다.  당일 직접 만드는, 신선하고 특별한 수제 디저트 라플랑의 가장 큰 매력은 바로 매일 아침 직접 만드는 신선한 수제 디저트입니다. 쇼케이스를 가득 채운 영롱한 디저트들은 하나하나 예술 작품 같아서 눈으로 먼저 즐거움을 선사합니다."
7.3.목,민트 컬러 외관 정말 너무 예뻐서 한적한 골목길에 시선 집중 되네요. 입구 앞에서 무조건 사진 찍으세요. 요기 까눌레 맛집이에요. 특히 피스타치오까눌레 꼭 드세요. 피스타치오 토핑에 특유의 식감과 고소한 향이 가득~ 게다가 반죽에도 피스타치오가 들어가서 예쁜 초록빛에 그 알싸고소한 향이 넘넘 맛있어요. 무조건 드세요~
9.7.일,커피는 말할 것도 없고 디저트가 진짜 찐이에요...메뉴 하나하나 다 먹어보고 싶을정도로 맛있어보이고 인테리어도 완전 유럽 재질👍🏻👍🏻
8.9.토,"여기 인생샷 건질수 있는 너무 예쁜 카페에요! 디저트도 하나하나 너무 예쁘고 맛나요. 전 아포카토, 라떼, 레몬마들렌,, 아스파한 까눌레 먹었는데 까눌레 진짜 꼭 드세요! 바삭바삭 쫀득쫀득!!"
8.2.토,에삐라떼 넘 달달구리 맛있었어여!! 말차딸기라떼도 새로운 조합이구요 ㅎㅎ 맛있는 디저트(까눌레)도 있어요 ㅎㅎ 프랑스에 온 거 같아요><
8.14.목,#협찬 성수에서 카페를 찾고 있다면 추천해요! 카페 외부부터 아기자기하고 쇼윈도 장식을 보고 사진을 안찍을 수가 없었어요❤️ 에뻬콘파냐와 수제 디저트를 먹어봤는데 까눌레는 겉바속촉하고 마들렌은 부드러웠답니다 ☺️ 콘파냐 안에 초콜렛 크런치가 있어서 색달랐어요 분위기도 조용하고 아기자기한 카페였어요🍃
7.19.토,"#협찬 에뻬 꼰빠냐 : 파스타치오 크림 올라간 에스프레소 크런치 너츠 아포가또 : 아이스크림과 에스프레소 수제 크런치, 엄청 달지만 크런치 씹히는 맛과 커피와 섞여서 조화롭고 한 번은 드셔 보세요! 오렌지크림 마들렌, 발로나 초코 휘낭시에 : 맛있어요 마들렌 안에 오렌지필이 많아 상콤하고 휘낭시에는 고소 달콤합니다. 구움과자 맛있고 커피 원두 에스프레소 자체가 맛있었어요"
7.6.일,"성수 서울숲 근처에 있는 라플랑(La pleine), 디저트 하나하나에 정성이 느껴지는 공간이었어요. 특히 에뻬 라떼는 위에 올려진 폼과 피스타치오가 독특하면서도 부드럽게 어우러져 인상 깊었고, 피스타치오 까눌레는 고소하면서도 식감이 진짜 좋아요! 겉에 살짝 시럽이 발라져있어서 커피와 정말 잘 어울렸어요.  매장 분위기는 앤틱하면서도 조용해서, 친구와 대화하거나 혼자 책 읽기에도 딱 좋았어요. 예쁜 디저트를 선물하거나 특별한 시간을 보내고 싶을 때 다시 찾고 싶은 곳이에요 :)"
7.6.일,"유럽풍 감성이 너무 예쁜 고급진 카페예요,,🤍 구움과자 맛집이라 디저트도 최고ㅠㅠ 특히 피스타치오 까눌레 겉바속촉 대박이라 꼭 드셔주세요 🥹 아포가토도 너츠가 오독오독 씹혀서 식감 미쳐씀다,,, 서울숲카페 찾으시면 라플랑 강추드려요!!!!"
8.10.일,에삐라떼 넘 맛있구 코코넛 스콘 파운드 등등 전부다 맛도리네여😊💚☕️ 유럽감성 풍겨서 여행온듯하고 고급스러운 카페입니둥🤩🌟
6.15.일,골목에 이렇게 예쁜 유럽감성의 카페가 있는줄 몰랐어요! 구움과자도 하나같이 다 맛있고 커피메뉴도 엄청 맛있더라구요!! 제가 커피맛에 예민한데 남친이랑 둘다 만족하면서 먹었습니다! 답례품사기에도 좋을거같아요❤️
8.10.일,유럽감성낭낭한 곳에서 제가 좋아하는 까눌레 너무 잘 먹고 왔어요..  흔히 볼 수 없는 맛들의 까눌레가 있어서 더 좋았고 커피나 음료 맛도 좋았어요 말차랑 딸기 조합 미쳤네요 ㅎㅎ굿굿
6.29.일,성수에서 조용하고 커피 맛있는데 웨이팅 없는 카페 찾는분들에게 적극추천해요 특히 에빼 콘파냐!!! 진짜 한입먹고 너무 놀랐어요 짭짤하면서 부드러운 크림과 커피조합이 그저 말모 🫢 디저트로 이것만 먹어도 돼요 넘나 존맛 입니다. 고급진 피스타치오 크림도 존존맛 쵝오에요ㅜㅠ 넘넘 맛있습니다.
9.13.토,"#협찬 독특하고 맛있는 디저트, 유럽풍의 인테리어, 차분한 매장의 분위기 모두 라플랑이라는 공간을 즐기기에 너무 만족스러웠습니다. 서울숲과도 가까워 위치도 매우 좋은 곳에 있는 카페였습니다."
6.15.일,분위기도 좋고 맛도 좋은 카페라 왔을때 너무 기분이 좋아요🥰 커피도 너무 맛있고 베이커리 종류가 고퀄로 많아요! 일단 무엇보다도 이런 분위기 카페중에 사진으로는 그럴싸한데 갔을때 청결이 별로거나 맛이 별로인경우가 많잖아요!! 근데 여기는 깔끔하고 청결한데다가 커피도 맛있고 베이커리도 맛있어서 자주올것같아요 ㅎㅎ 특히 선물세트도 파는것같은데 너무 이쁘고 포장도 잘해주셔서 다음에 선물해야할때 생각날것같네용❣️
