date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
9.2.화,낙지볶음시키기전에 오튀새튀시켰는데 웬만한 일식집보다 더맛있고 혜자예요~^^낚시볶음은 말모말모 ❤️ 알계밥이랑 같이 비벼먹으니 식사도되고 안주도되고 공개하고싶지않은 뚝도시장 맛집이랍니다 강추 강추드려요~^^
10.8.수,튀김맛집이라 튀김먹으러 왔다가 낙지볶음까지 먹었는데 맵기조절도 가능하고 맛또한 추천드려요 세트에나오는 바지락탕까지 국물시원하고 뚝도시장맛집으로 추천드려요
8.16.토,숨겨진 맛집을 찾은 듯~ 매콤한 낙지볶음 감칠맛이 일품 이예요~ 굿 👍 탱글탱글한 낙지볶음과 알밥의 조합 환상의 짝궁! 바삭한 튀김🍤도 완전 강추!. 양도 푸짐하고 사장님도 친절하셔서 기분 좋은 시간 보내고 왔어요.
8.12.화,어머 여기 왠일~맛있어요~ 해물전 대박~ 주문한 음식들이 다 맛있어요 음식맛이 끝장납니다.
3.18.화,튀김보다는 볶음을~ 낙지볶음 꽤 맛납니다. 남은 양념엔 소면 혹은 밥을~ 배달 시켜서 맥주랑 크으
23.10.9.월,낙지집 저도 한번 가봤는데.. 음식이 너무 맛있어서 기분좋고 정갈해서 기분좋고 친절해서 기분좋았어요. 이집 낙지 맛 강추입니다!! 해물낙지전도 예술입니다.
23.10.7.토,반응 남기기 방문일 23.10.7.토 2023년 10월 7일 토요일 2번째 방문 인증 수단 결제내역
23.6.17.토,맛있다... 진짜... 포장도해서간다...
23.6.5.월,반응 남기기 방문일 23.6.5.월 2023년 6월 5일 월요일 1번째 방문 인증 수단 영수증
22.6.17.금,이런 맛집이 숨어있다니 시장 안쪽이라 찾아갔는데 낙지볶음에 알계밥의 조합 탄수화물 잘 안먹는데 식감이 좋아서 계속 먹게 된다 알과 낙지의 조합 ㅋ 낙지해물전은 바삭바삭 사이드메뉴가 아니라 메인으로 가야할듯 담에 또 가고 싶은 곳 ㅋ 참고로 배달 주문도 엄청 들어오는듯
22.7.2.토,낙지볶음과 알밥조합 식감도 좋고 맛도 좋고 해물전은 완전바삭바삭 집에서 가까우면 자주 배달시켜먹을텐데 아쉬워요.ㅠ
22.6.29.수,맛있고 양도 많고 사장님도 친절하시고 좋아요~~
22.8.27.토,낙지볶음에 알밥 꼭 추가해서 드세용 해물전도 맛있어용
22.4.29.금,오징어튀김 낙지2인분 시켰는데 오징어 튀김은 몽둥이가 왔고 낙지도 양이 많네요 사진은 반반노놔서 찍었어요 한꺼번에 찍고 먹기엔 양이 너무 많아서 좋네요 맛도 좋아요!
22.10.16.일,장소가 좁지만 맛은 좋네요
21.10.28.목,지인이 맛있다고 추천하길래 도봉구에서 일부러 성수동으로 포장하러 갔어요. 뚝도시장 안에 위치해 있는데 젊은남자사장님 친절해서 멀리서 찾아간 보람이ㅋ 낙지볶음2인분 포장해 와서 저녁식사로 먹었는데 맛있더라구요 낙지도 푸짐했고 서비스로 주신 푸룬과 막대사탕2개가 정이 느껴지네요 강원도에 있는 낙지전문점에서 비법 배우셨다는데 역시 맛있었어요 가까운 곳이면 자주 이용할텐데..아쉽 대박나세요~
22.1.12.수,맛있어요~~해물전도 맛나고 다 맛있어요^^
21.12.10.금,반응 남기기 방문일 21.12.10.금 2021년 12월 10일 금요일 1번째 방문 인증 수단 영수증
21.5.10.월,낙지 많이 들어있어요ㅋ 맵기조절 가능해서 너무 좋습니당ㅋ 음식도 깔끔하고 밑반찬도 직접 다 하시는 거 같아요ㅋ 서비스로 나오는 바지락탕도 굿굿~~ 맛있어요맛있어ㅋ
21.7.30.금,깔끔하고 맛있음 👍
21.5.28.금,반응 남기기 방문일 21.5.28.금 2021년 5월 28일 금요일 1번째 방문 인증 수단 영수증
21.1.20.수,매콤한 낙지볶음과 큼직막하게 볶은 야채 까 지 제입맛에 딱이네요. 낙지가 몇마리인고? 사장님께서 후하게 낙지를 많이 넣어주셨 어요.
21.1.15.금,낙지 보통맛으로 시킴. 넘 맛나요. 낙지에 알밥 투척해서 다.비벼먹고 ㅋ 김치전에 계란찜까지 흡입했어요! 담에 또 방문각!!!
21.1.25.월,와. 정신없어서 사진도 못 찍었네요. 낙지볶음 진짜 맛있어요. 인공적인 매운맛이 아니라 너무 좋아요 ㅠ (개인적으로 캡사이신 거부감이 있어서ㅜㅠ) 소주 안먹으려고 했는데 ㅜ 술을 부르는 안주입니다요 ㅎㅎ 매콤한게 땡길때 딱이네요 ㅎ
20.12.12.토,매우 만족 합니다~ !^^!
20.9.12.토,낚지볶음 최고맛집이네요 계란찜도 대박 맛나요
20.10.28.수,반응 남기기 방문일 20.10.28.수 2020년 10월 28일 수요일 1번째 방문 인증 수단 영수증
20.7.6.월,매콤한 낙지덮밥&알밥 환상적인 조합 지치고 더운날씨 입맛없을때 짱 에너지 충전 & 엔돌핀 매콤함이 갑 ^^
