date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""읽을만한 책이 많아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
5.20.화,책 읽기 좋아요 커피도 맛있었어요 대화나누기도 좋고 천장이 높아 시원한 느낌들고 좋아요!
24.11.23.토,연구회 모임장소로 예약 후 이용했는데 아늑하고 사장님이 친절하세요! 음료를 종류별로 다양하게 주문했고 모두 기대 이상이었습니다 점심 약속이 있어 샌드위치는 못 먹어봤는데 맛있어보여서 다음에 이용할 때 먹어볼거에요!! 추천입니다!
2.5.수,반응 남기기 방문일 2.5.수 2025년 2월 5일 수요일 1번째 방문 인증 수단 영수증
24.8.30.금,"부서 동료들과 소모임 가졌습니다.카페 공간이 너무 예뻤고, 커피와 베이글 샌드위치도 맛있었습니다. 자주 올 것 같습니다 ~^^"
24.6.30.일,주택가에 고즈넉하게 자리한 카페에서 필요한 일을 필요한 만큼 할 수있는 공간  사장님의 따뜻한 배려와 독특한 시그니쳐메뉴가 눈길을 끕니다  -화려함보다 우아한 느낌이 드는 멋진 카페 -한소절의 시를 읽듯 잠시 쉬어 가기 좋은 곳
24.7.14.일,"혼자서 차분하게 책 읽고, 음료/간식 편안하게 먹기 너무 좋네요. 도서관 가는거 보다는 여기서 시원하게 고급지게 책 읽는게 좋아요~^^"
24.8.4.일,두번째 방문 지난번에 못보던 책과 무더운 여름에 대비한 선풍기도 보입니다  여전히 분위기는 차분하고 집중하기 좋습니다
24.4.22.월,퇴근후 커피 한잔하며 책 읽고 가려고 들렸어요. 조용하고 편안한 분위기에 인테리어도 너무 아기자기합니다. 커피 월구독이 있네요. 한달 동안 7만원!!! 사장님… 뭐가 남을까 싶은 가격입니다. >.< 대박 나세요~~~🙏🙏🙏
24.4.22.월,조용하게 커피한잔 하고 싶다면 여기 카페 추천하고 싶네요 주변이 조용하고 주차하기 편해서 재방문 의사 있습니다. 애플망고스무디에 망고 과육이 들어가 있어서 씹는맛도 있어요ㅋㅋㅋ. 자몽에이드는 단맛없는 순수 진짜 자몽의 맛.. !! 강추 조용하게 잘쉬다가 갑니다^^
