date,content
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
7.20.일,동네 길가에 위치한 테이크전용 귀여운 카페 🙈
3.9.일,코코넛커피스무디~~ 빨리 녹아서 좀 아쉬웠어요 키오스크에도 당도 조절 있었으면 좋겠습니당 🤣
4.3.목,2000원이라는 저렴한 가격이지만 커피 사이즈는 빅입니다~ 커피 맛도 나쁘지 않아요~ 종종 이 근처 지나가는데 가끔 애용할거 같아요~
24.8.19.월,길가다가 우연히본곳이에요..컵빙수지만 빨대로 먹을수있어 편했어요..더위도 식히고..친절해요~
24.6.28.금,여기 코코넛커피스무디 너무 조아합니다 😆🤎🤎
24.8.1.목,헤이즐넛이 단맛이 있네요
24.5.23.목,버블티가 맛있음. 디저트도 많던데 한번 먹어봐야지
24.4.19.금,에그샌드위치가 딸기쨈이 들어가서 달지만 맛있어요!
23.10.17.화,주인분 친절하시고 커피맛도 괜찮아요
23.10.6.금,작아서 잘찾아야해요! ㅎㅎ
23.7.17.월,친절하시구 맛있네요! 음료수 사이즈도 크고 좋아요~~ 또 갈게용
23.7.11.화,초코가 진~하니 좋네요 잘먹었어요요~ 쏘쏘한 집이에요~~
23.5.19.금,친절하시고 음료도 맛있어요!
22.10.30.일,반응 남기기 방문일 22.10.30.일 2022년 10월 30일 일요일 2번째 방문 인증 수단 영수증
22.9.20.화,반응 남기기 방문일 22.9.20.화 2022년 9월 20일 화요일 1번째 방문 인증 수단 영수증
22.2.24.목,좀 더 친절하면 좋겠네요. 가게 너무 번잡해요.  좁은데다가 물건이 엄청 많아요.
21.11.9.화,반응 남기기 방문일 21.11.9.화 2021년 11월 9일 화요일 1번째 방문 인증 수단 영수증
21.1.24.일,반응 남기기 방문일 21.1.24.일 2021년 1월 24일 일요일 1번째 방문 인증 수단 영수증
21.2.28.일,반응 남기기 방문일 21.2.28.일 2021년 2월 28일 일요일 1번째 방문 인증 수단 영수증
21.3.13.토,반응 남기기 방문일 21.3.13.토 2021년 3월 13일 토요일 1번째 방문 인증 수단 영수증
21.1.13.수,반응 남기기 방문일 21.1.13.수 2021년 1월 13일 수요일 1번째 방문 인증 수단 영수증
20.5.20.수,반응 남기기 방문일 20.5.20.수 2020년 5월 20일 수요일 4번째 방문 인증 수단 영수증
20.6.14.일,반응 남기기 방문일 20.6.14.일 2020년 6월 14일 일요일 5번째 방문 인증 수단 영수증
20.6.11.목,반응 남기기 방문일 20.6.11.목 2020년 6월 11일 목요일 1번째 방문 인증 수단 영수증
20.4.26.일,반응 남기기 방문일 20.4.26.일 2020년 4월 26일 일요일 2번째 방문 인증 수단 영수증
20.4.25.토,반응 남기기 방문일 20.4.25.토 2020년 4월 25일 토요일 1번째 방문 인증 수단 영수증
