date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
5.12.월,"행당동의 터줏대감 레드컵스 우리 와이프가 아주 좋아하던 닭강정집입니다.  이곳에 처음 온 것은 2010년의 가을날. 와이프는 제 손을 잡고 중랑천을 거닐다가 함께 가고 싶은 곳이 있다며 배시시 웃어보였습니다. 그렇게 와이프를 따라 방문한 곳이 바로 이곳 레드컵스입니다.  화려하고 고급스러운 맛이라고는 할 수 없지만 묘하게 중독성 있는 맛입니다. 사장님 부부께서 담아주시는 맛감자, 가래떡, 닭강정의 조화가 절묘하고 마지막에 뿌려주시는 머스타드는 감초역할을 톡톡히 해냅니다.  닭강정 점보사이즈 하나를 사서 캔맥주 두 잔과 함께 밤새도록 이야기꽃을 피우던 시절. 이곳 닭강정을 먹으면 와이프와의 그리운 옛 시절이 아른거립니다. 지방에서 불철주야로 근무 중인 그녀를 위해 조만간 레드컵을 하나 포장해 가렵니다."
7.2.수,배고파서 간단한 먹거리 찾다가 먹고 갑니다. 맛있고 양도 많아요. 가성비 좋아요 한양대 올때 또 먹으러 올게요
5.15.목,잘먹고갑니다 사장님 담에도 방문할께요
8.8.금,반응 남기기 방문일 8.8.금 2025년 8월 8일 금요일 21번째 방문 인증 수단 영수증
24.11.6.수,반응 남기기 방문일 24.11.6.수 2024년 11월 6일 수요일 10번째 방문 인증 수단 영수증
2.26.수,반응 남기기 방문일 2.26.수 2025년 2월 26일 수요일 20번째 방문 인증 수단 영수증
2.19.수,반응 남기기 방문일 2.19.수 2025년 2월 19일 수요일 19번째 방문 인증 수단 영수증
2.11.화,반응 남기기 방문일 2.11.화 2025년 2월 11일 화요일 18번째 방문 인증 수단 영수증
24.8.6.화,"여기 직원인지 사장님인지 모르겠는데 30,40대로 보이는 남자분 되게 불친절하세요 꼬치도 어딨는지 몰라서 여쭤보니 손가락으로 가리키면서 비웃음이나 치고 포장도 들고 가면서 먹으려고 호일은 안 덮어 주셔도 된다 말하니까 앞으론 그렇게 시키지 말라네요 처음 방문해 주문하는 거여서 좀 어설플 수도 있지 되게 이상한 사람으로 생각하시는 모습 잘 봤습니다 맛이라도 있으면 뭐라 안하겠는데 순 감자랑 떡사리만 가득하고 닭강정도 눅눅해서 뭘 먹으라는건지.. 암튼 살면서 이런 대접 처음 받아보네요 좋은 경험 시켜주셔서 감사드려요~ㅋㅋ"
24.4.25.목,한강러닝하고 무조건 마무리는 갓. 레드컵스 닭강정 🩷🩵🤍
24.6.21.금,반응 남기기 방문일 24.6.21.금 2024년 6월 21일 금요일 2번째 방문 인증 수단 영수증
24.6.11.화,반응 남기기 방문일 24.6.11.화 2024년 6월 11일 화요일 1번째 방문 인증 수단 결제내역
24.4.13.토,생각보다 양이 많아서 좋았습니다😋
24.10.17.목,반응 남기기 방문일 24.10.17.목 2024년 10월 17일 목요일 17번째 방문 인증 수단 영수증
24.4.20.토,줄 많이 서있길래 기대했는데 닭에서 냄새난다.
24.4.26.금,닭강정이 양이 많고 맛있어요~~
24.9.28.토,반응 남기기 방문일 24.9.28.토 2024년 9월 28일 토요일 16번째 방문 인증 수단 영수증
24.9.19.목,반응 남기기 방문일 24.9.19.목 2024년 9월 19일 목요일 15번째 방문 인증 수단 영수증
24.2.6.화,이 동네 오면 참새가 방앗간 마냥 꼭 들려요 ☺️☺️☺️☺️☺️☺️ 한양대 레드컵스 메모메모 닭강정 근본.
24.9.21.토,반응 남기기 방문일 24.9.21.토 2024년 9월 21일 토요일 1번째 방문 인증 수단 영수증
