date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
10.17.금,우연히 들어갔다가 깜짝놀람 성수동은 그냥 아무데나 들어가도 되는건가? 진짜 맛있다. 잘되었으면 좋겠네 ~
10.12.일,음료도 맛있고 스콘도 맛있어요. 스콘이랑 클로티드크림 같이 주셨는데 잘 어울리고 맛있었어요. 서울숲 근처에 아늑한 카페 찾으시면 추천입니다.
9.25.목,"친구랑 서울숲 놀러와서 커피랑 디저트 사고 들어가려는데 마침 딱 서울숲 입구 앞에 있어서 편하게 이용했습니당! 커피가 드립이라 산뜻하고 고소합니당, 그리고 스콘이 미친맛 ㅜㅠ 사장님이 홍보를 넘 못하시는듯ㅜㅜ 같이 주는 크림도 수제고(이게 찐) 진짜 너무 맛있어서 계속 생각나는.. 스콘 원래 안좋아하는데 여기 스콘 진짜 제발 한번만 먹어줘"
9.27.토,장소도 쾌적하고 원두종류도 많아서 좋아요 ◡̈
10.8.수,청귤에이드랑 디저트 시켰는데 너무 맛있고 사장님 친절하세요!!! 나만 아는 아지트 같은 분위기라 다시 오고 싶어요옹
10.4.토,필터커피 전문점이라서 커피향부터 가득해서 좋음. 분위기도 좋은데 테이블이 낮은 테이블인게 좀 아쉬움
8.2.토,서울숲 갔다가 발견한 보물같은 커피숍 길 끝이고 지하라 숨은 맛집이지만 잘 찾아서 가셔요.(저만 이제 발견했으려나😅) 사장님 친절하시고 취향 맞춰 내려주신 커피와 더운날 완전 시원 땡모반 모두 너무 맛있습니다. 테이크아웃은 10% 할인도 됨👍
10.1.수,"스콘 맛집이라고 알고 있었는데 진짜! 진짜 맛있어요😲😲😲 근데 커피도 너무 맛있어요..... 원두도 직접 볶으시고 스콘도 다 구우신다고 해요!!!!!! 단골각,,"
10.6.월,스콘이랑 커피도 맛있고 사장님도 친절하세요😊
