date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
8.10.일,"리브릭 라떼 너무 고소하고 맛있어요♥ 두번째 방문인데 올 때마다 분위기 아늑하고 좋네요 그리고 너무 친절하세요,,♥"
7.27.일,사장님 너무 친절하시고 라떼도 진해서 맛있고 카페도 예쁘고 조용하고 얘기하기도 좋았어요 또가고싶어요
7.25.금,항상 친절하시고 맛있고 치즈케이크만 먹다가 다른 케익먹어봤는데 다른것도 새콤하고 맛있어요~ 커피는 여기가 성수동에서 제일 맛있어요!!
6.14.토,성수 길을 걸어가다 우연히 들어간 카페 카페 안이 좀 어둡고 차분하니 좋아요 리브릭커피 맛있네용 땅콩맛의 크림 고소해요
7.25.금,내 최애 카페 단골 카페에요 분위기도 너무 좋고 사장님도 예쁘신데 친절하시구 매일 가고 싶은 카페 아른 아른 거려요 ㄹㅇ..  치즈케이크 포장 못참지 !!!!! 내가 먹어본 치즈 케이크 중에 제일 맛있어요..
7.4.금,성수동에서 이 가격에 이 정도면 ㄹㅇ 합리적임 디저트도 맛있었다.
8.14.목,커피도 맛있고 디저트류도 다 맛있어요.. ㅠㅠ 가져가는거면 커피 사이즈업도 가능해서 너무 행복합니다!! 리브릭 최고..🍀
10.9.목,반응 남기기 방문일 10.9.목 2025년 10월 9일 목요일 1번째 방문 인증 수단 영수증
3.21.금,사장님도 친절하시고 ~ 맛있어요~ 의자도 편하게 바꾸신거같아요~
4.26.토,맛있어요~ 분위기도 얘기하기 좋아요 !
3.23.일,조용히 커피 마시러 가끔와요 좋아하는 곳!
24.12.1.일,"시그니처 커피 두 잔 아이스로 마셨고, 디저트는 치즈케이크 먹었습니다. 커피와 케이크 둘 다 맛있었고, 위 조합으로 드시는거 추천드려요. 무엇보다 공간이 너무 멋있었습니다. 그리고 사장님도 친절하셔서 덕분에 기분 좋게 머물다 왔네요ㅎㅎ카페에서 제대로 기분 환기 시키고 올 수 있어서 좋았어요!"
1.20.월,커피도 아이스치즈케이크도 넘 맛있어요
1.16.목,추운 겨울저녁 걷다가 발견한 곳. 아늑하고 감각적인 음악이 공간을 더욱 운치있게하고 커피와 치즈 케익은 녹진하다. 북적이는 성수에서 아지트를 발견한 느낌
1.8.수,시그니처 메뉴 마셨어요 조용한 카페를 찾아서 간 거 였는데 정말 조용해서 좋았습니다 단지 자리가 다 불편해요..
