date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
9.6.토,걸어다닐수 없을만큼 붐비는 성수. 에인스트릿에서. 조금 지나. 맞은편 구두거리쪽에. 위치한. 에스프레소 전문바~~ 사장님도 친절하시고 커피도. 4잔 홀딱 같이 곁들인. 디져트 쿠키도. 커피와. 찰떡이네요! 👍
7.27.일,여긴 항상 최고! 리사르가 성수동에 있어 넘 행복!직원분 항상 친절하세요. 지식산업센터라 주차엄청 편하고 주말에 오면 1시간에 주차비가 600원이라고 합니다. 평일은 1시간에 6000원이지만 10분의 1가격이라 너무 싸서 충격이었어요. 커피가격이 어마어마하게 저렴합니다. 보물같은 곳입니다.
10.6.월,사장님 넘 친절하시고 커피는 항상 완벽
8.31.일,항상 완벽한 에스프레소바!!!!!
7.14.월,"세상 젤 맛있는 에스프레소~ 일단, ""쓰다""는 선입견은 버리시고, ""커피는 마시고나면 텁텁해""도 리사르를 만나시면 사라집니다.  오늘은 더운 여름날에 맞춰 에스프레소 슬러시와 무가당크림이 만난 [카페 그라니따] 레몬슬러시와 위의 카페 그라니따가 만난 [카페 프루또] 오렌지슬러시와 위의 카페 그라니까 만난 [카페 리에토]를 즐겨봅니다. 커피와 레몬, 오렌지가 정말 맞지 않을 것 같지만 훌륭한 블랜딩이 정말 일품입니다. 살짝 슬러시를 맛보고 한입에 털어(?) 넣습니다. 시원함에 이어 슬러시 맛과 끝의 부드러운 커피맛이 함께 밀려옵니다.  역시나 오늘도 커피의 텁텁함 없이 시원함으로 마무리하고 돌아갑니다.  둘이와서 여섯잔은......ㅜㅜ"
6.18.수,"잠시 멈췄던 에스프레소샵 투어를 다시 시작하게 만든 곳, 바로 이스트폴 카페 '리사르커피'. 에스프레소 그라니따와 프루또, 디저트까지 섬세하게 구성된 메뉴에 감탄했다. 특히 카페 프루또의 상큼한 레몬 슬러시와 에스프레소 조합은 여름에 딱! 까놀리는 크림치즈 같은 크림과 바삭한 식감이 어우러져 의외의 만족. 공간은 아담하지만 통창 덕분에 개방감 있고, 테이블차지 없이 자유롭게 즐길 수 있어 마음이 편했다. 다음엔 꼭 리에토도 마셔보리라 다짐하며, 다시 에스프레소 투어에 불을 지폈던 하루."
6.17.화,하나같이 다 맛있었던 리사르커피.. 서울역에 생겨서 너무 행복해요🥹♥️ 점심 피크타임엔 사람들이 북적거리지만 그 외 오전이나 늦은 오후시간대에는 널널해서 여유있게 마실 수 있습니다 디저트도 다 먹어보고 싶어요!!
10.18.토,리사르의 피에노는 사랑~♡ 오늘도 2잔 연속 클리어~ㅎㅎㅎ
5.29.목,너무너무너무 맛있는 에스프레소를 즐길 수 있는 곳 에스프레소는 무조건 쓰다~라는 편견을 확~ 날려 버릴 수 있는곳  아무 말과 액션없이 그저 와서 에스프레소 원샷하고 가버려도 좋을 듯한 카페  친절한 직원덕분에 더욱 커피를 맛있게 즐길 수 있음  반드시 두잔이상!  커피를 마시고나서도 뒷맛의 씁쓸함이 없고 개운함이 있는 신기한 커피.  이것이 리사르커피를 즐긴 저의 생각입니다. 지금이라도 당장...달려가서 한잔 마시고 싶군요.
8.7.목,"에스프레소 전문 카페에요. 메뉴 이름이 생소해도, 옆에 사진메뉴와 간략설명이 있어서 진입장벽이 낮아요. 에스프레소도 맛있고, 쿠키류도 있어서 곁들여서 먹음 더 맛있어요 ㅋ"
10.12.일,대화하기 좋아요 커피도 맛있어요 ☕️
8.13.수,커피의 신세계 경험함 오 에스프레소 도 이렇게 매력있구나 ♡ 꼬숩고 찐하고 달콤하고 자극적이고 맛남
6.27.금,#리사르커피#Leesar#Better than espresso #종로점#광화문역4번출구#종각역1번출구 #도심속에스프레소바#스탠딩바 #아늑한명동점리사르커피다음으로세련된종로점리사르커피  #꼼빠냐#쓴에스프로샷과달콤생크림 #숟가락으로폭찍어먹고 #휘리릭저어호로록마시고 #2500원의행복#가성비대박 #25초의행복#회전율대박 #언제든지부담없이방앗간처럼들릴수있는집
6.6.금,에스프레소 맛집 리사르 여기 오면 에스프레소를 두 세 잔은 마시는 거 같아요. 원래 에스프레소는 잔 쌓아 가면 맛있는 재미가 있잖아요.한 잔는 기본으로 마시고 또 한 잔 마실 때는 콘파나로 마셔요. 크림 가득 달콤한 디저트 맛에 커피라서 먹고 나면 행복한 기분!
9.27.토,저렴한데 맛은 어마어마한 에스프레소바 티라미수도 너무 맛있어요 단 하나도 거를 메뉴가 없음
6.6.금,"교보문고 광화문점 갔다가 진한 커피 생각에 들른 에스프레소 바 리사르예요 기분에따라 이따금 에스프레소를 즐기는데 카페 피에노를 주로 마십니다. 지인은 콘파나 또는 스트라파짜또. 서서 마시는 피에노, 색다른 즐거움입니다."
9.18.목,동네에 에스프레소 바가 생겨서 좋네요. 가격도 합리적이고 좋습니다.
8.31.일,종로점에 다녀왔는데 왜 성수점이 뜨나요..
8.19.화,250819 방문 에스프레소 - 고소. 풍미.
8.12.화,250812 방문 에스프레소 - 고소. 풍미. 저렴.
7.19.토,믿고 먹는 리사르 에스프레소 남편도 좋아해요
7.5.토,커피 정말 좋았어요. 👍🏻
5.23.금,우연히 알게되어 방문했는데 커피가 너무 만족스러웠습니다 😄
6.25.수,발렛이 너무 올랐어여ㅠㅠㅠ 커피마시러가기 부담스러워짐
6.29.일,반응 남기기 방문일 6.29.일 2025년 6월 29일 일요일 1번째 방문 인증 수단 결제내역
7.1.화,친절하게 응대해주시고 커피도 괜찮았다.
6.6.금,에스프레소 맛집!! 정말 메뉴 하나하나 정성이 보이는 곳!! 집 앞에 데리고 오고싶은 맛!
6.3.화,"보기 드문 에소프레소 전문점. 가격은 저렴하나, 맛도 그 수준에서 벗어나지는 않습니다. 기본 에스프레소 보다, 우유등 첨가물을 넣어 부족한 원두맛을 보충하는 메뉴를 추천드려요."
6.23.월,리에토 강추 완전 여름 디저트
6.17.화,"에스프레소 그라니따, 아포가토 시원하니 맛나요"
5.7.수,에스프레소도 맛있지만 여름에만 파는 슬러시가 진짜 맛있네요. 회사사람들이랑 점심먹고 가볍게 산책하다가 홀짝 마시고 다시 사무실 들어가기 좋아요.
5.1.목,마시다보니 이렇게까지 많이....마셔도 입이 굉장히 즐거웠다♡
