date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
5.14.수,친구랑 쌀국수 먹고싶어서 갔는데 전체적인 분위기가 넘 칙칙해져서 아쉬운맘이 듬. 푸드코트가 손님이 없어지니 모두 배달전문으로 바뀌는 분위기… 그래서그런지 다른가게들이 위생에 신경을 안쓰는듯함. 다른집들 땜에 오기 싫어졌다는 친구가 이해됨.
4.9.수,쌀국수 먹으러 지인들과 방문. 다들 맛있다고 함.
24.12.31.화,왕십리 쌀국수 숨은 맛집 리틀베트남퍼 완전 진또배기 현지인 맛이라서 보니까 사장님이 베트남분이시네요 국물 진짜 찐하고 숙주랑 고수까지 넣어먹으니 기가막히네요  담에또한번가서 쌀국수먹어야겠어요🍜
4.23.수,더운날이지만 친구랑 쌀국수 먹으러 들름. 맛있다고 친구가 좋아함.
2.5.수,지인들이 맛있는 쌀국수 먹고싶다해서 방문.뜨끈한 국물로 추운몸 녹였음.
2.19.수,친구들과 쌀국수 먹으러 들름. 맛있게 잘 먹고나옴.
3.6.목,친구랑 쌀국수 먹으러 감. 국물에 레몬즙 잔뜩 뿌리고 숙주랑 고수 넣으면 맛난 쌀국수 완성! 친구가 넘 좋아함.
24.11.15.금,지인들과 간만에 쌀국수먹으러 감. 위생적인 부분이 좀 걸려하던 지인들도 맛이 이만한곳이 없어서 들르게 되는곳이라고…
1.3.금,숙주랑 고수 많이줘서 좋음.
24.8.28.수,오랜만에 친구랑 쌀국수 먹고싶어서 들름. 물가 오르는데 가격이 그대로여서 좋았음. 고수 양이 적어졌지만 미안해서 더달라는 말은 차마 할 수 없었음.
24.9.20.금,오랜만에 친구랑 쌀국수 먹으러 감.
24.7.25.목,오랜만에 방문. 국물이 좀 싱거워져서 아쉽…
24.10.18.금,반응 남기기 방문일 24.10.18.금 2024년 10월 18일 금요일 1번째 방문 인증 수단 결제내역
24.5.29.수,친구랑 맛있게 잘 먹었음.
24.4.5.금,지인들과 점심먹으러 들름. 오늘은 국물이 살짝 짜게 느껴졌지만 맛나게 먹고 옴.
24.4.24.수,쌀국수 먹고싶다는 친구랑 오랜만에 방문. 역시나 맛있게 먹고나옴. 현지 맛집이라 생각하고 먹으면 모든게 용서되니까…
24.3.15.금,내입맛에 딱맞는 쌀국수 맛집!
24.3.30.토,여기 쌀국수 육수 찐하고 맛있어요!! 6년전부터 다녔는데 사장님 베트남분이셔서 현지맛 잘 내시는듯 해요! 예전에 연예인분도 식사하러 오시더라구여 ㅎ
24.2.14.수,반응 남기기 방문일 24.2.14.수 2024년 2월 14일 수요일 24번째 방문 인증 수단 영수증
24.1.10.수,너무진하고 맛난쌀국수 최고
24.2.28.수,선지쌀국수 매니아되기 도전!
24.1.9.화,쌀국수 맛있는 집.
23.12.27.수,오늘은 다른때보다 기름이 많이 떠서 좀 당황했음. 고기도 살짝 냄새가 났음. 이렇게 맛이 달라지는건가?
23.11.24.금,요즘 손님이 예전처럼 많지 않아서 개인적으론 좋지만(?) 이러다가 문닫는건 아닌지 걱정되는 맛집임. 오늘은 고수랑 숙주를 넉넉히 줘서 넘 좋았음.
23.12.8.금,지인들과 뒷풀이하러 들름.
23.12.22.금,여기 국물이 진짜 찐입니다
23.12.6.수,지인들과 비와서 쌀국수 먹으러감.
23.9.13.수,비와서그런지 쌀국수가 땡겨 들름. 뜨끈한 국물에 고수랑 숙주넣고 베트남고추 잔뜩 넣어 먹었더니 속풀림.
23.11.1.수,맛있어서 자주 가는곳
23.10.4.수,쌀국수 먹고 싶을때 가는곳.
23.9.24.일,현지맛에 가장 가까움 ㅋㅋㅋㅋㅋㅋ 사장님덕분
23.8.30.수,고수를 다시 넣어줘서 넘 좋음.
23.10.25.수,반응 남기기 방문일 23.10.25.수 2023년 10월 25일 수요일 17번째 방문 인증 수단 영수증
23.9.20.수,반응 남기기 방문일 23.9.20.수 2023년 9월 20일 수요일 1번째 방문 인증 수단 영수증
23.8.9.수,고수룰 안줘서 넘 실망!! 쌀국수에 고수가 안들어가니 맛이 넘 밋밋함. 쌀국수에 들어가는고수의 역할이 엄청나다는걸 깨달음.
23.8.2.수,위생상태는 별로지만 베트남이다~~ 생각하면 괜찮음. 현지맛집이라 생각하라고 지인이 얘기함.
