date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
10.20.월,깔끔한 실내의 마라탕집. 다른 마라탕집보다 조금 덜 자극적이다. 입과 입술이 얼얼하게 먹는 걸 좋아해서 항상 고추기름과 마유를 더 달라고 하게 된다. 하지만 대부분의 사람들에게는 적당할 듯싶다. 언제나 친절하게 응대해 주셔서 더욱 정이 가는 가게다.
24.11.12.화,적당하고 맛도 괜찮아요~
24.10.30.수,"집과 가까운 곳에 있는 유일한 마라탕집 .. 없어지면 안돼요 !!!!! 푸주도 부들부들한 맛집이에요! 사장님, 세상 어려운 시기에 공기밥 서비스 주셔서 감사합니다 ㅠ.ㅠ"
24.10.5.토,맛있고 재료도 신선하고 친절해서 기분이 좋았어요. 오늘 동네친구추천으로 처음 가봤는데 앞으로도 자주 이용할거같아요.
24.10.31.목,반응 남기기 방문일 24.10.31.목 2024년 10월 31일 목요일 3번째 방문 인증 수단 결제내역
24.10.1.화,반응 남기기 방문일 24.10.1.화 2024년 10월 1일 화요일 5번째 방문 인증 수단 결제내역
24.9.13.금,반응 남기기 방문일 24.9.13.금 2024년 9월 13일 금요일 4번째 방문 인증 수단 결제내역
24.7.23.화,맛있아요 마라탕 맛집
24.8.15.목,반응 남기기 방문일 24.8.15.목 2024년 8월 15일 목요일 3번째 방문 인증 수단 결제내역
24.6.24.월,반응 남기기 방문일 24.6.24.월 2024년 6월 24일 월요일 2번째 방문 인증 수단 영수증
24.8.10.토,반응 남기기 방문일 24.8.10.토 2024년 8월 10일 토요일 2번째 방문 인증 수단 결제내역
24.2.13.화,깔끔한 분위기의 마라탕 가게예요! 간은 심심한 편이라 자극적인 것 안 좋아하시는 분들께 딱 맞을 것 같아요!
24.4.30.화,반응 남기기 방문일 24.4.30.화 2024년 4월 30일 화요일 1번째 방문 인증 수단 결제내역
