date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
8.14.목,마라탕 먹을때 항상 먹는데 맛있어요~!
5.10.토,가게가 깨끗하고 직원분에 친절하세요 마라샹궈 먹었는데 너무 맛있었어요!!
3.23.일,금호동에 마라탕집이 많이 생겼지만 여기가 가장 맛있는거 같아요~!
1.17.금,친구 추천으로 왔는데 음식도 빨리 나오고 맛있어요 ~~~ 최고
24.8.13.화,매번 시켜먹엇는데 이번에는 포장해서 먹네요 다른집보다 매번시키는데 엄청 맛잇는거 같아요
24.3.8.금,"신랑이 양꼬치 먹고 싶다고 해서 마라영웅 갔는데, 양꼬치를 안한다고 하더라구요.. 아쉽지만 그냥 간단하게 저녁 먹으려구 마라탕 400g + 마라샹궈 400g 세트로 주문하고, 신랑이 마라 못 먹을 거 같다고 꿔바로우를 추가 주문했어요~ 그런데, 신랑이 여기 마라탕 너무 맛있다고 소주를 시키더라구요 ㅋㅋㅋ집 근처에서 마라탕 맛집 찾아서 좋네요~ 다음엔 마라탕에 면 추가해서 먹어보려구요~"
24.8.14.수,마라 생각날땐 금호동에서 여기만 와요. 마라샹궈 가성비 좋습니다. 추천해요
24.8.26.월,자주 먹습니다. 마라샹궈는 여기가 맛있어요
24.5.15.수,마라샹궈 2단계도 충분히 맵고 맛있어요!! 꿔바로우 소자인데도 양이 너무 많고 바삭바삭해요
24.7.5.금,맛있어요! 재료 신선 인테리어 굿
23.10.2.월,"식전 연유빵도 맛나고 메뉴 전체적으로 성공했습니다. 사장님 추천으로 꿔바로우+마라탕과 멘보샤, 볶음밥 먹었는데 4인이 요정도 좋습니다. 사장님 친절하셔요. 포크가 있으면 좋겠어요. ^^"
23.12.31.일,배달 시켜먹던 곳인데 매장와서 처음 먹어봐요. 역시 맛있고 빨리 나와서 좋아요!
24.3.28.목,반응 남기기 방문일 24.3.28.목 2024년 3월 28일 목요일 1번째 방문 인증 수단 영수증
23.10.28.토,마라샹궈 맛이 아쉬움... 맵기는 적당한데 간이 안맞는 듯. 꿔바로우는 맛있음!
23.8.27.일,다 남기고옴 꼬치 고기는 다말라비틀어짐 어떻게 이런고기를 파는지 이해가안감
23.9.2.토,증말 맛있어요 늘 배달만 하다가 와봄요♡♡
23.6.28.수,저는 진심 마라샹궈 여기서만 먹습니다 .. 1주일에 1-2번 꼭 여기서 시켜먹어요. 양도 많고 제일 맛있어요 😃😃 요청사항 잘 들어주시고 피크타임 아니면 거의 20분만에 배달 도착하는 놀라움 ..
23.5.18.목,양꼬치 게시한 기념으로 오랜만에 찾아갔는데 정말 맛있어요!! 다음에 또 올게요!!
23.5.18.목,금호동에 양꼬치가 생겼다니!! 매장도 깔끔하고 양꼬치 연기도 안나서 너무 좋아요 그리고 사장님이 잘챙겨주시고 홍차하이볼 미쳤어요... 다음에 또 올 의향 있습니다!!
23.7.16.일,맛있게 잘 먹었습니다
23.5.18.목,자주 즐겨먹던 마라탕집인데 양꼬치 오픈했다고 해서 다녀와봤는데 음식도 깔끔하고 모임하기 좋네요.
22.12.28.수,한그릇 가득 주었지만.. 맛은.. 개인적으로 안맞았음 다시는 안갈 것 같음 ㅠ 식당 내부는 너무 어두우면수 썰렁..
23.1.27.금,지나다가 들린곳 적당히 괜찬아요.
23.1.8.일,리뷰보다는 별로였어요 좀더 맛있게 되었으면
23.2.24.금,매장도 엄청 깔끔하고 마라샹궈 존마탱이에요👍🏻 재료로 쓰이는 해물들도 신선한것 같고 먹음직스럽게 잘 볶아져서 나왔어요~ 배달도 가능하다해서 다음엔 집에서 시켜먹어보려구요~
23.3.3.금,많이 담아도 생각보다 얼마 안나와서 놀랐어요 그리고 무엇보다 국물이 진짜 쥑입니당🤣👍👍👍
23.2.17.금,반응 남기기 방문일 23.2.17.금 2023년 2월 17일 금요일 1번째 방문 인증 수단 영수증
23.3.7.화,재료도 신선하고 음식 깔끔하게 나오고 만족합니다!! 국물도 딱 맛있어요ㅎㅎ
22.11.5.토,마라샹궈 테이크아웃했어요. 양도많고 넘 맛있어요. 계란볶음밥도 맛있어요.
22.11.13.일,마라샹궈 마라탕 꿔바로우 맛있습니다
23.3.24.금,반응 남기기 방문일 23.3.24.금 2023년 3월 24일 금요일 1번째 방문 인증 수단 영수증
22.12.11.일,제가 먹어본 마라탕중에 여기가 제일 맛있는것 같아요~! 사장님도 친절하시구 너무 좋네요~~
22.12.29.목,반응 남기기 방문일 22.12.29.목 2022년 12월 29일 목요일 1번째 방문 인증 수단 영수증
22.10.21.금,반응 남기기 방문일 22.10.21.금 2022년 10월 21일 금요일 1번째 방문 인증 수단 영수증
21.6.20.일,마라탕 배달로만 시켜봐서 매장에서 처음 담아봤는데 사장님 너무 친절하시네요 자주 방문하겠습니다 :)
21.6.14.월,"여기 마라탕 먹고나면 다른마라탕집가서 자꾸 여기가 생각나요.. 그래서 자꾸 오게 됩니다 >,<"
21.5.22.토,매장가서 먹엇는데 꽃빵도 서비스로 주시고 강아지가 너무 귀여웠어요ㅠ ㅠ ㅠ ㅠ 말티즈댕댕ㅠ ㅠ ㅠ
21.5.7.금,뀌바로우가 눅눅했어요 그리고 멘보샤가 너무 기름지고 새우살은 어디 있는지.. 개춰겠지만 저한텐 그닥
21.3.9.화,일인분인데 양도 많구요 서비스도 세심하구요 맛도 있어요!!!
21.2.16.화,맛없게 찍혔네. 실은 되게 맛있었고 신라면 맵기로 했는데 아주아주 칼칼하이 맛있어ㄸㅏ. 집에서 마라샹궈 먹고싶으면 종종 시켜먹을 듯
21.5.7.금,반응 남기기 방문일 21.5.7.금 2021년 5월 7일 금요일 1번째 방문 인증 수단 영수증
21.3.14.일,반응 남기기 방문일 21.3.14.일 2021년 3월 14일 일요일 1번째 방문 인증 수단 영수증
21.3.16.화,반응 남기기 방문일 21.3.16.화 2021년 3월 16일 화요일 1번째 방문 인증 수단 영수증
21.4.25.일,반응 남기기 방문일 21.4.25.일 2021년 4월 25일 일요일 1번째 방문 인증 수단 영수증
