date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
24.11.11.월,"조미료 잔뜩 넣은 국물, 오래되어 신선도가 떨어지는 고기질. 먹고나니 속이 울렁거려 힘드네요"
24.5.19.일,양이 많고 맛이 있어요!!! 마지막에 볶음밥 역시 최고~!!!
24.1.9.화,반응 남기기 방문일 24.1.9.화 2024년 1월 9일 화요일 1번째 방문 인증 수단 영수증
23.12.14.목,반응 남기기 방문일 23.12.14.목 2023년 12월 14일 목요일 1번째 방문 인증 수단 영수증
23.12.1.금,소문맛집이네요.감자탕 양도 많고 고기가 부드러워요
23.10.17.화,막국수도 뼈해장국도 맛있어요.
23.10.19.목,배달 되어서 좋아요.
23.8.16.수,반응 남기기 방문일 23.8.16.수 2023년 8월 16일 수요일 1번째 방문 인증 수단 결제내역
23.4.25.화,양도 많고 음식도 맛있어요
23.6.22.목,국물이 정말 시원하고 진국이예요~
23.3.27.월,반응 남기기 방문일 23.3.27.월 2023년 3월 27일 월요일 1번째 방문 인증 수단 영수증
22.10.14.금,곰탕 국물 아주 좋아용 고기가 진짜 너무어무너무 많이들었ㅇㅓ여 ㅋㅋㅋ 담부터는 고기 반만 달라고 말씀드릴려구용...
22.12.30.금,반응 남기기 방문일 22.12.30.금 2022년 12월 30일 금요일 1번째 방문 인증 수단 영수증
22.9.25.일,양 진짜 많고 맛있어용
22.5.4.수,감자탕에 볶음밥까지 뚝딱
22.5.16.월,맛있게 잘 먹었습니다
23.2.1.수,반응 남기기 방문일 23.2.1.수 2023년 2월 1일 수요일 1번째 방문 인증 수단 영수증
22.6.2.목,반응 남기기 방문일 22.6.2.목 2022년 6월 2일 목요일 2번째 방문 인증 수단 영수증
22.5.31.화,반응 남기기 방문일 22.5.31.화 2022년 5월 31일 화요일 1번째 방문 인증 수단 영수증
22.5.23.월,반응 남기기 방문일 22.5.23.월 2022년 5월 23일 월요일 1번째 방문 인증 수단 영수증
21.11.26.금,반응 남기기 방문일 21.11.26.금 2021년 11월 26일 금요일 1번째 방문 인증 수단 영수증
21.10.26.화,반응 남기기 방문일 21.10.26.화 2021년 10월 26일 화요일 1번째 방문 인증 수단 영수증
22.5.23.월,반응 남기기 방문일 22.5.23.월 2022년 5월 23일 월요일 1번째 방문 인증 수단 영수증
21.9.26.일,반응 남기기 방문일 21.9.26.일 2021년 9월 26일 일요일 3번째 방문 인증 수단 영수증
21.6.14.월,반응 남기기 방문일 21.6.14.월 2021년 6월 14일 월요일 2번째 방문 인증 수단 영수증
21.3.14.일,반응 남기기 방문일 21.3.14.일 2021년 3월 14일 일요일 1번째 방문 인증 수단 영수증
20.12.4.금,친절하고 센스 있는 가게!
21.1.16.토,반응 남기기 방문일 21.1.16.토 2021년 1월 16일 토요일 1번째 방문 인증 수단 영수증
20.10.31.토,반응 남기기 방문일 20.10.31.토 2020년 10월 31일 토요일 1번째 방문 인증 수단 영수증
20.9.18.금,반응 남기기 방문일 20.9.18.금 2020년 9월 18일 금요일 1번째 방문 인증 수단 영수증
20.6.5.금,반응 남기기 방문일 20.6.5.금 2020년 6월 5일 금요일 1번째 방문 인증 수단 영수증
20.6.5.금,반응 남기기 방문일 20.6.5.금 2020년 6월 5일 금요일 1번째 방문 인증 수단 영수증
