date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
1.10.금,10년넘게 단골일정도로 치킨이 너무 맜있습니다!👍🏻 양파와 마늘을 넣고 튀겨서 잡내도 없고 양념소스도 사장님이 직접 만드셔서 너무 좋아요:)🥹🙌🏻 사장님 가족처럼 항상 따뜻하게 대해주시고 갈때마다 제 이름도 항상 불러주셔서 너무 감사합니다! 정말 먓있어서 모두 가보셨으면 좋겠는 맘에 리뷰써봅니다ㅎㅎ
24.7.4.목,여기 치킨 진짜네요~~2뿔 한우 먹고 먹은 치킨이 이렇게 맛있을 줄이야ㅋㅋ어머님 같은 이모님은 너무도 친절하셧고 맛또한 꼭다시 찾고 싶은 그런맛~절대 소고기가 부족해서가 아니예요ㅎㅎ 너무 맛 있게 잘 먹고 갑니다^^
24.8.6.화,흔한 옛날통닭보다 훨씬 맛있고 사장님께서 정말 친절하세요 !! 최고의 호프집
24.9.7.토,반응 남기기 방문일 24.9.7.토 2024년 9월 7일 토요일 1번째 방문 인증 수단 영수증
24.3.9.토,압력솥 치킨 맛나요! 20분 소요 감안하시면 정말 괜찮는 곳입니다^^! 재방문 각!
23.10.27.금,아이가 치킨 사랑이 대단해서 치킨집은 여기저기 많이 다녀봤는데~ 꼬끼오 치킨집~ 압력솥에 치킨 튀겨서 그런지 역대급으로 치킨옷 바삭바삭~ 기름 쏙 빼서 뻑뻑살도 부드럽네요 친절하신 사장님~ 또 뵈어요^^
24.8.16.금,반응 남기기 방문일 24.8.16.금 2024년 8월 16일 금요일 1번째 방문 인증 수단 영수증
23.7.14.금,반응 남기기 방문일 23.7.14.금 2023년 7월 14일 금요일 1번째 방문 인증 수단 영수증
23.5.2.화,반응 남기기 방문일 23.5.2.화 2023년 5월 2일 화요일 1번째 방문 인증 수단 영수증
23.1.17.화,반응 남기기 방문일 23.1.17.화 2023년 1월 17일 화요일 1번째 방문 인증 수단 영수증
22.11.1.화,반응 남기기 방문일 22.11.1.화 2022년 11월 1일 화요일 10번째 방문 인증 수단 영수증
22.7.14.목,반응 남기기 방문일 22.7.14.목 2022년 7월 14일 목요일 4번째 방문 인증 수단 영수증
22.7.20.수,반응 남기기 방문일 22.7.20.수 2022년 7월 20일 수요일 2번째 방문 인증 수단 영수증
22.4.11.월,마장동 꼬끼오 치킨 호프 22.5.9.월 소중한 리뷰 남겨주셔서 감사합니다~^^ 늘 행복하시고 자주 방문해주세요~ 행복한 시간 즐거운시간 꼬끼오에서 함께하겠습니다.
22.4.28.목,반응 남기기 방문일 22.4.28.목 2022년 4월 28일 목요일 1번째 방문 인증 수단 영수증
22.4.28.목,마장동 꼬끼오 치킨 호프 22.5.9.월 소중한 리뷰 남겨주셔서 감사합니다~^^ 늘 행복하시고 자주 방문해주세요~ 행복한 시간 즐거운시간 꼬끼오에서 함께하겠습니다. 다음번에도 맛있고 정성담긴 음식으로 보답하겠습니다~
22.6.13.월,반응 남기기 방문일 22.6.13.월 2022년 6월 13일 월요일 1번째 방문 인증 수단 영수증
21.11.23.화,반응 남기기 방문일 21.11.23.화 2021년 11월 23일 화요일 1번째 방문 인증 수단 영수증
21.11.15.월,반응 남기기 방문일 21.11.15.월 2021년 11월 15일 월요일 8번째 방문 인증 수단 영수증
21.11.1.월,반응 남기기 방문일 21.11.1.월 2021년 11월 1일 월요일 1번째 방문 인증 수단 영수증
21.9.14.화,반응 남기기 방문일 21.9.14.화 2021년 9월 14일 화요일 1번째 방문 인증 수단 영수증
21.7.12.월,사장님 친절하시고 치킨도 엄청 맛있습니다.
22.4.21.목,반응 남기기 방문일 22.4.21.목 2022년 4월 21일 목요일 1번째 방문 인증 수단 영수증
21.8.10.화,반응 남기기 방문일 21.8.10.화 2021년 8월 10일 화요일 1번째 방문 인증 수단 영수증
21.8.6.금,반응 남기기 방문일 21.8.6.금 2021년 8월 6일 금요일 7번째 방문 인증 수단 영수증
21.8.6.금,반응 남기기 방문일 21.8.6.금 2021년 8월 6일 금요일 6번째 방문 인증 수단 영수증
21.8.5.목,반응 남기기 방문일 21.8.5.목 2021년 8월 5일 목요일 2번째 방문 인증 수단 영수증
21.7.19.월,반응 남기기 방문일 21.7.19.월 2021년 7월 19일 월요일 5번째 방문 인증 수단 영수증
21.7.19.월,반응 남기기 방문일 21.7.19.월 2021년 7월 19일 월요일 4번째 방문 인증 수단 영수증
21.7.19.월,반응 남기기 방문일 21.7.19.월 2021년 7월 19일 월요일 1번째 방문 인증 수단 영수증
21.11.18.목,반응 남기기 방문일 21.11.18.목 2021년 11월 18일 목요일 1번째 방문 인증 수단 영수증
21.5.24.월,반응 남기기 방문일 21.5.24.월 2021년 5월 24일 월요일 3번째 방문 인증 수단 영수증
21.5.12.수,반응 남기기 방문일 21.5.12.수 2021년 5월 12일 수요일 2번째 방문 인증 수단 영수증
21.5.12.수,반응 남기기 방문일 21.5.12.수 2021년 5월 12일 수요일 1번째 방문 인증 수단 영수증
20.11.29.일,반응 남기기 방문일 20.11.29.일 2020년 11월 29일 일요일 1번째 방문 인증 수단 영수증
20.11.4.수,반응 남기기 방문일 20.11.4.수 2020년 11월 4일 수요일 1번째 방문 인증 수단 영수증
20.1.4.토,반응 남기기 방문일 20.1.4.토 2020년 1월 4일 토요일 2번째 방문 인증 수단 영수증
