date,content
"""친절해요""",이 키워드를 선택한 인원
"""볼거리가 많아요""",이 키워드를 선택한 인원
"""먹거리가 풍부해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""시설이 깔끔해요""",이 키워드를 선택한 인원
"""트렌디해요""",이 키워드를 선택한 인원
"""야시장이 잘 되어있어요""","""야시장이 잘 되어있어요"""
"""특색 있는 제품이 많아요""","""특색 있는 제품이 많아요"""
"""품질이 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""편의시설이 잘 되어있어요""","""편의시설이 잘 되어있어요"""
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
24.9.13.금,20년전부터 다니고있는 인생 맛집입니다 육우 치맛살~~ ㅋ~~ 최고예요!
24.6.1.토,반응 남기기 방문일 24.6.1.토 2024년 6월 1일 토요일 1번째 방문 인증 수단 영수증
24.2.3.토,반응 남기기 방문일 24.2.3.토 2024년 2월 3일 토요일 1번째 방문 인증 수단 영수증
24.1.13.토,"마장동 축산물 시장 주차장  토요일이라 시간당 3,000원 카드로만 계산 되네요!!"
23.11.3.금,행사하는데 비오고 좀 복잡했어요
23.11.3.금,반응 남기기 방문일 23.11.3.금 2023년 11월 3일 금요일 2번째 방문 인증 수단 영수증
23.11.3.금,반응 남기기 방문일 23.11.3.금 2023년 11월 3일 금요일 1번째 방문 인증 수단 영수증
23.11.3.금,너무 좋아요 ㅜㅡㅜ
23.11.3.금,반응 남기기 방문일 23.11.3.금 2023년 11월 3일 금요일 2번째 방문 인증 수단 영수증
23.11.3.금,반응 남기기 방문일 23.11.3.금 2023년 11월 3일 금요일 4번째 방문 인증 수단 영수증
23.11.3.금,마장축산물시장 주최 한우숯불구이축제 에서 맛있게 먹었네요~ 고기가 육즙도 많고 숯불에 구우니 맛있어요~
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 1번째 방문 인증 수단 영수증
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 1번째 방문 인증 수단 영수증
23.11.2.목,한우축제 저렴한게 아님
23.11.2.목,홍보에 비해 저렴하지않음
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 1번째 방문 인증 수단 영수증
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 1번째 방문 인증 수단 영수증
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 1번째 방문 인증 수단 영수증
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 1번째 방문 인증 수단 영수증
23.11.1.수,반응 남기기 방문일 23.11.1.수 2023년 11월 1일 수요일 1번째 방문 인증 수단 영수증
23.11.1.수,반응 남기기 방문일 23.11.1.수 2023년 11월 1일 수요일 1번째 방문 인증 수단 영수증
23.11.1.수,반응 남기기 방문일 23.11.1.수 2023년 11월 1일 수요일 1번째 방문 인증 수단 영수증
23.11.1.수,반응 남기기 방문일 23.11.1.수 2023년 11월 1일 수요일 1번째 방문 인증 수단 영수증
23.11.1.수,반응 남기기 방문일 23.11.1.수 2023년 11월 1일 수요일 1번째 방문 인증 수단 영수증
23.10.31.화,반응 남기기 방문일 23.10.31.화 2023년 10월 31일 화요일 1번째 방문 인증 수단 영수증
23.10.31.화,반응 남기기 방문일 23.10.31.화 2023년 10월 31일 화요일 1번째 방문 인증 수단 영수증
23.10.31.화,마장동축산물코너에 한우축제날 모처럼 가서 한우를 평노가격 대비 반값에 포식하고 왔습니다. 내년 한우축제 때 또 가보고 싶습니다.
23.10.31.화,반응 남기기 방문일 23.10.31.화 2023년 10월 31일 화요일 1번째 방문 인증 수단 영수증
23.10.31.화,불고기를 구매해서 먹었는데 너무 맛있어요
23.10.31.화,반응 남기기 방문일 23.10.31.화 2023년 10월 31일 화요일 1번째 방문 인증 수단 영수증
23.5.30.화,반응 남기기 방문일 23.5.30.화 2023년 5월 30일 화요일 1번째 방문 인증 수단 영수증
22.12.20.화,반응 남기기 방문일 22.12.20.화 2022년 12월 20일 화요일 1번째 방문 인증 수단 영수증
22.12.20.화,반응 남기기 방문일 22.12.20.화 2022년 12월 20일 화요일 1번째 방문 인증 수단 영수증
22.12.10.토,반응 남기기 방문일 22.12.10.토 2022년 12월 10일 토요일 1번째 방문 인증 수단 영수증
22.12.9.금,반응 남기기 방문일 22.12.9.금 2022년 12월 9일 금요일 1번째 방문 인증 수단 영수증
22.10.29.토,반응 남기기 방문일 22.10.29.토 2022년 10월 29일 토요일 1번째 방문 인증 수단 영수증
