date,content
"""친절해요""",이 키워드를 선택한 인원
"""상품이 다양해요""",이 키워드를 선택한 인원
"""즉석조리 식품이 맛있어요""","""즉석조리 식품이 맛있어요"""
"""신상품이 많아요""",이 키워드를 선택한 인원
"""과채가 신선해요""",이 키워드를 선택한 인원
4.28.월,닭발과 짜파게티는 꼭 시킬 것! 맥주가 술술 들어갑니다😆
3.13.목,"아조씨 왕십리 탐방,, 어르신 내외의 행복 가맥집 방문,,,  좋은 점: 안주 가격이 다,,, 행복 가득입니다,,, 만원 이하가 더 많아서,,, 부담없이 즐기기 좋읍니다,,, 라면에 기본 볶음에,, 메인 하나면,,, 행복,,, 좋읍니다 ,,, 가게가 작은데,,, 늘 동네분들로 붐빕니다,,, 타이밍 맞춰서 가십시오,,,  아쉬운 점: 왕십리 주요 상권이랑은 거리가 약간 있어서,,, 어디 옮겨갈려면,,, 조금 걸어야 합니다,,, 그래도 이제 날 풀려서,,, 다닐만 합니다 충분히,,, 다만 화장실은,,, 타임머신 탑승해야 합니다,,, 미리 감안하십시오,,,  행복은,,, 어디에나 있는 것,,,^^"
24.10.9.수,술과 과자는 알아서 꺼내먹으면 되구요 저렴하고 맛있는 안주와 끝내주는 분위기 술이 너무 잘 들어가서 위험한 곳입니다 ㅠㅠ
24.6.7.금,한번갈때마다 다양하게시켜서 배터지게먹고와요 저렴하고 맛나게 먹는 가맥집👍
24.6.1.토,"음식이 맛있고, 분위기도 딱 그 느낌이고, 친절하시고 다 좋아요."
24.4.22.월,조용한 분위기엿어용 ㅎㅎ 낮술 먹다 갑니당
24.1.8.월,저만 알고 싶습니다
23.11.22.수,동네 최고가맥집👍 너무좋아여ㅎㅎ
23.11.21.화,"안주가격 좋고 분위기도 괜찮고, 친절하시고 너무 기분좋게 잘먹었어요!"
23.8.24.목,"슈퍼 가맥집 우리 동네에도 있으면 매일 가고싶을 정도로 가성비가 좋으네요 안주 세개하고 술 네병 마셨는데 사만이천원 가성비 좋습니다. 골뱅이 무침 정말 맛있습니다 오시는 분들 대부분 똥집,계란말이를 많이 시키더군요 다음에는 계란말이 함 먹어보러 가야 겠어요.ㅎㅎ"
23.8.17.목,친절하시고 가성비갑!!!!! 음식도 맛나요♡ 정감가서 좋아요♡ㅎㅎ
23.7.18.화,가성비 짱 가맥집
23.7.10.월,반응 남기기 방문일 23.7.10.월 2023년 7월 10일 월요일 1번째 방문 인증 수단 영수증
23.6.23.금,분위기 맛뿐 아니라 음식까지 맛있습니다. 1차로 가서.. 안주가 많네요...ㅎㅎ 간술하기도 너무 좋습니다.
23.5.8.월,동네 단골슈퍼입니당ㅎㅎㅎ 물건을사러가기보다는 항상 먹으러가여ㅋㅋㅋ부모님모시고갔는데 이런곳이있냐며..재밌으시다고...ㅋㅋㅋ
23.3.28.화,반응 남기기 방문일 23.3.28.화 2023년 3월 28일 화요일 3번째 방문 인증 수단 영수증
23.2.17.금,"우리동네 사랑방🩷 친절하신 부부가 운영하시는 가맥집이에요! 2차로도~ 동네 놀러온 친구들과도 자주 방문하는 곳 입니다 :)  안주 저렴한데, 어느하나 맛없는 것이 없어요! 나이드신 분들도 젊은 분들도 모두가 좋하는 곳!"
23.1.27.금,역시 만물은 가성비 갑오브갑!!
23.1.4.수,굿 가맥집 사랑입니다 오래해주세요^__^
22.12.24.토,크흐.. 저녁시간 자리 경쟁 무슨일ㅠㅠ 늘상 두번은 찾아가야 겨우 성공하는것 같아요ㅋㅋ 사람들 넘 많은🥲 두부김치 안주로 먹기엔 간이 좀 안 쎄긴한데 양 많고 맛있게 먹었어요ㅎㅎ 부추전은 기대이상 맛있어서 담에 또 시키려구요!! 담엔 꼭 자리 있었음 좋겠다ㅜㅜ
22.12.19.월,음식 다 맛있습니다
22.12.11.일,반응 남기기 방문일 22.12.11.일 2022년 12월 11일 일요일 1번째 방문 인증 수단 영수증
22.11.3.목,진심 집주변에 이 곳이 있어서 너무 좋아유... 메뉴 거의 다 먹어봤는데 싹 다 맛있음
22.9.24.토,반응 남기기 방문일 22.9.24.토 2022년 9월 24일 토요일 2번째 방문 인증 수단 영수증
22.9.22.목,반응 남기기 방문일 22.9.22.목 2022년 9월 22일 목요일 1번째 방문 인증 수단 영수증
22.9.22.목,반응 남기기 방문일 22.9.22.목 2022년 9월 22일 목요일 1번째 방문 인증 수단 영수증
22.8.23.화,반응 남기기 방문일 22.8.23.화 2022년 8월 23일 화요일 8번째 방문 인증 수단 영수증
22.8.23.화,반응 남기기 방문일 22.8.23.화 2022년 8월 23일 화요일 6번째 방문 인증 수단 영수증
22.8.23.화,반응 남기기 방문일 22.8.23.화 2022년 8월 23일 화요일 5번째 방문 인증 수단 영수증
22.8.23.화,반응 남기기 방문일 22.8.23.화 2022년 8월 23일 화요일 4번째 방문 인증 수단 영수증
22.8.23.화,반응 남기기 방문일 22.8.23.화 2022년 8월 23일 화요일 3번째 방문 인증 수단 영수증
22.8.23.화,반응 남기기 방문일 22.8.23.화 2022년 8월 23일 화요일 2번째 방문 인증 수단 영수증
22.8.23.화,반응 남기기 방문일 22.8.23.화 2022년 8월 23일 화요일 1번째 방문 인증 수단 영수증
22.8.21.일,반응 남기기 방문일 22.8.21.일 2022년 8월 21일 일요일 1번째 방문 인증 수단 영수증
22.8.13.토,반응 남기기 방문일 22.8.13.토 2022년 8월 13일 토요일 1번째 방문 인증 수단 영수증
22.8.8.월,짜파게티랑 계란말이 맛있어요
22.6.24.금,반응 남기기 방문일 22.6.24.금 2022년 6월 24일 금요일 1번째 방문 인증 수단 영수증
22.6.7.화,저렴한 안주에 가맥집 느낌만 좋을뿐 카운터에 직원은 너무 불친절 재방문의사 없음
22.6.5.일,저렴하고 맛있어요! 가맥 중에 최고❤️
22.5.18.수,반응 남기기 방문일 22.5.18.수 2022년 5월 18일 수요일 1번째 방문 인증 수단 영수증
22.5.17.화,반응 남기기 방문일 22.5.17.화 2022년 5월 17일 화요일 1번째 방문 인증 수단 영수증
22.5.15.일,별건 없는데 동네라 편안해요
22.5.5.목,반응 남기기 방문일 22.5.5.목 2022년 5월 5일 목요일 1번째 방문 인증 수단 영수증
22.3.12.토,가성비 좋은 가맥집!
22.3.7.월,반응 남기기 방문일 22.3.7.월 2022년 3월 7일 월요일 1번째 방문 인증 수단 영수증
22.3.5.토,반응 남기기 방문일 22.3.5.토 2022년 3월 5일 토요일 1번째 방문 인증 수단 영수증
22.2.3.목,반응 남기기 방문일 22.2.3.목 2022년 2월 3일 목요일 1번째 방문 인증 수단 영수증
21.12.13.월,술한잔 간단히 하기 아주 좋아요
21.11.21.일,반응 남기기 방문일 21.11.21.일 2021년 11월 21일 일요일 1번째 방문 인증 수단 영수증
21.10.31.일,반응 남기기 방문일 21.10.31.일 2021년 10월 31일 일요일 1번째 방문 인증 수단 영수증
21.10.25.월,반응 남기기 방문일 21.10.25.월 2021년 10월 25일 월요일 1번째 방문 인증 수단 영수증
21.8.28.토,반응 남기기 방문일 21.8.28.토 2021년 8월 28일 토요일 1번째 방문 인증 수단 영수증
21.8.3.화,사장님 음식 솜씨가 좋으셔서 왠만한 음식 다 맛있어요! 가격도 저렴하고 좋아요
21.6.9.수,반응 남기기 방문일 21.6.9.수 2021년 6월 9일 수요일 1번째 방문 인증 수단 영수증
21.4.2.금,반응 남기기 방문일 21.4.2.금 2021년 4월 2일 금요일 1번째 방문 인증 수단 영수증
21.2.19.금,서울시내 가맥집 중에 안주가 이렇게 맛난 곳이 얼마나 있을까 싶네요.
21.2.7.일,반응 남기기 방문일 21.2.7.일 2021년 2월 7일 일요일 1번째 방문 인증 수단 영수증
20.12.23.수,"유튜브에 우연히 올라온 영상을 보고, 마침 근처 지나가다 들른 곳입니다. 계란말이, 돼지껍데기볶음에 두부부침을 먹었는데 양도 푸짐하고 맛도 어줍잖은 포차보다 맛난 가맥집이었습니다. 안주3개 겨우 16,000원밖에 안해서 만족한 곳이었습니다. 간만에 혼술 잘 했습니다."
20.9.17.목,반응 남기기 방문일 20.9.17.목 2020년 9월 17일 목요일 1번째 방문 인증 수단 영수증
