date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
6.7.토,원래 족발을 잘 못먹었는데 작년에 여기꺼 먹어보고 좋아하게 됐어요! 잡내 하나도 없고 너무 부드러워서 진짜 강추합니다. 밑반찬도 깔끔하고 맛있어요. 그리고 사장님 갈때마다 항상 넘 친절하시고 필요한거 없는지 세심하게 살펴주셨어요. 넘 맛있게 잘먹고 갑니다☺️
3.6.목,고기가 입에 녹네요 사장님도 친절하시고 샐러드도 깔끔하고 어머니모시고 가서 중자 반반시켰는데 남아서 포장해왔어요 너무 잘먹었어요 조만간 또 가야겠네요 ^^
24.10.3.목,포장요청하고 방문했는데 사장님 너무 친절하시고 불족발도 너무 맛있었습니다~! 재방문 꼭 하려고합니다!!
24.8.10.토,족발도 맛있고 친절하세요. 내부도 깔끔해서 혼술하기에도 좋음
24.6.29.토,반응 남기기 방문일 24.6.29.토 2024년 6월 29일 토요일 1번째 방문 인증 수단 영수증
24.2.22.목,반응 남기기 방문일 24.2.22.목 2024년 2월 22일 목요일 1번째 방문 인증 수단 영수증
23.11.7.화,냄새 전혀없고 고기가 너무 부드럽고 쫄깃해서 정말 맛있습니다 역시 족발은 만족이 최고입니다 사장님도 친절하서도 너무 좋습니다
24.4.19.금,반응 남기기 방문일 24.4.19.금 2024년 4월 19일 금요일 1번째 방문 인증 수단 영수증
23.10.3.화,부드럽고 맛이좋은 족발입니다 맛있는 떡만두국도 같이 나와요 ^^ 쟁반국수도 맛있어요~
23.7.21.금,"잡내없이 깔끔하니 맛있고 단백하니 부드럽습니다. 불족발은 적당히 맵고 쫄깃하네요. 양이 살짝 *^^*아쉽지만, 쟁반국수도 건강하게맛있고 서비스로 양업그레이드해주시고, 부재료도 다양했네요"
23.10.22.일,음식맛잇음 양은 그런대로
23.10.27.금,맛도 좋고 분위기도 너무 좋아요
23.6.24.토,맛있어요! 부모님이 여기서만 드시겠다고 하시네요 ㅎㅎ
23.4.2.일,반반족발 시켜 먹었습니다! 여기 족발은 양념이 잘 베어있어 너무 맛있어요 고기 굉장히 부드러워요ㅎㅎ 불족발은 엄청 매울줄 알았는데 맵진 않고 불향 가득한 맛있는 족발이었어요 매운거 못 먹어서 오히려 좋았습니당ㅋㅋㅋ 사장님도 친절하시고 가게도 굉장히 깨끗해요 잘 먹었습니다👍
23.7.24.월,반응 남기기 방문일 23.7.24.월 2023년 7월 24일 월요일 1번째 방문 인증 수단 영수증
23.6.23.금,반응 남기기 방문일 23.6.23.금 2023년 6월 23일 금요일 1번째 방문 인증 수단 영수증
22.11.26.토,매장 깨끗하고 사장님도 친절하시네요~ 냉채족발도 한번 도전해보고 싶었는데 너무 배불러서 못 먹었어요~ 먹는 중간에도 계속 배달주문이 들어오더라고요~ 번창하세요
23.3.25.토,다른곳에 비해 비싸긴한데 맛있어요
23.2.2.목,사장님이 친절하시고 거기에 음식도 맛나기까지👍
23.5.6.토,반응 남기기 방문일 23.5.6.토 2023년 5월 6일 토요일 1번째 방문 인증 수단 영수증
23.2.13.월,맛이 좀 특이해요 부드러워요
22.12.17.토,본점이 났네요..양념족발 양념이 본점과는 다르게 맛이없네요. 조리사의 손맛이 없는건지. 양념은 기존의 족에 급하게 볶아서 나온거 같구요. 양이 너무나 적네요. 중자 39처이면 다른 족발집보다 비싼건데..
22.12.25.일,우리동네 족발 최고 맛집
23.2.11.토,반응 남기기 방문일 23.2.11.토 2023년 2월 11일 토요일 1번째 방문 인증 수단 영수증
22.8.14.일,처음 먹어봤는데 맛있네요 생각보다 마니 안달고요 친절해요
22.1.17.월,우리 동네는 배달 지역이 아니라서 이집 족발 먹으러 20분 거리를 포장하러 직접 갑니다 진짜 진짜 맛있습니다
22.8.17.수,반응 남기기 방문일 22.8.17.수 2022년 8월 17일 수요일 1번째 방문 인증 수단 영수증
22.3.31.목,너무 맛있어요! 직접 가서 먹으면 완전 진수! 떡국도 많이주고 양배추 얇게 썬거란 양파 마늘 같은 야채도 많이 주세요!
22.7.10.일,반응 남기기 방문일 22.7.10.일 2022년 7월 10일 일요일 2번째 방문 인증 수단 영수증
22.6.20.월,반응 남기기 방문일 22.6.20.월 2022년 6월 20일 월요일 1번째 방문 인증 수단 영수증
21.12.13.월,반응 남기기 방문일 21.12.13.월 2021년 12월 13일 월요일 1번째 방문 인증 수단 영수증
21.11.25.목,반응 남기기 방문일 21.11.25.목 2021년 11월 25일 목요일 1번째 방문 인증 수단 영수증
22.3.14.월,반응 남기기 방문일 22.3.14.월 2022년 3월 14일 월요일 1번째 방문 인증 수단 영수증
21.4.22.목,반응 남기기 방문일 21.4.22.목 2021년 4월 22일 목요일 1번째 방문 인증 수단 영수증
20.10.18.일,만족오향족발 시청본점이랑 똑같아요 쫄깃하고 따끈하고 맛있어요~ 족발시키면 양배추 채썰어서 마늘소스에 같이주는데 족발의 느끼함을 톡쏘는 마늘소스가 잡아주어서 맛있어요 떡국도 맛있고 쟁반국수도 새콤하니 맛있네요 주인분도 친절하십니다!
21.1.31.일,쫄깃하고 따뜻하고 정말 맛있어요 사장님 주차도 잘 알려주시고 친절 최고!
21.3.30.화,반응 남기기 방문일 21.3.30.화 2021년 3월 30일 화요일 1번째 방문 인증 수단 영수증
21.3.1.월,반응 남기기 방문일 21.3.1.월 2021년 3월 1일 월요일 1번째 방문 인증 수단 영수증
20.9.1.화,반응 남기기 방문일 20.9.1.화 2020년 9월 1일 화요일 1번째 방문 인증 수단 영수증
20.8.25.화,반응 남기기 방문일 20.8.25.화 2020년 8월 25일 화요일 1번째 방문 인증 수단 영수증
20.8.18.화,반응 남기기 방문일 20.8.18.화 2020년 8월 18일 화요일 1번째 방문 인증 수단 영수증
19.8.28.수,사장님이 엄청 친절하세요 소주 종류없는거 주문했는데 바로 가서 사다주셨어요  냉채족발 소사이즈가있어서 둘이 먹기 딱 좋았어요  메밀전병 강추입니다 엄청 실해요!
23.8.27.일,그냥 그래요 ~
