date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
9.17.수,신금호역 맘스터치 버거셋트 굿~♧ 바로조리해서 주니 더 맛나다^^
7.18.금,와우스모크디럭스버거 맛있어요. 근데 옵션에 야채 추가도 생기면 좋겠어요
10.4.토,반응 남기기 방문일 10.4.토 2025년 10월 4일 토요일 49번째 방문 인증 수단 영수증
7.9.수,휠렛버거는 채소가 적어요
9.5.금,반응 남기기 방문일 9.5.금 2025년 9월 5일 금요일 48번째 방문 인증 수단 영수증
8.21.목,반응 남기기 방문일 8.21.목 2025년 8월 21일 목요일 46번째 방문 인증 수단 영수증
7.21.월,치킨 바삭하고 맛있어요^^
3.10.월,"백흑요리사의 실질적인 우승자 에드워드리 쉪와 맘터의 콜라보제품인 버거를 먹으러 왔다. 맛은... 일단 무난하게 맛있긴하다. 다만 기대해서 언제 나오나 계속 체크했는데, 큰 기대는 큰 실망으로 다가올수 있으니 주의할것. 다음에 주문할때 저돈이면 좀더 큰 싸이플렉스 버거를 먹을지도?..."
7.4.금,반응 남기기 방문일 7.4.금 2025년 7월 4일 금요일 5번째 방문 인증 수단 영수증
4.24.목,싸이버거 우울한날 업시켜줄 충분한 투머취한 간식^^/
7.26.토,반응 남기기 방문일 7.26.토 2025년 7월 26일 토요일 3번째 방문 인증 수단 영수증
6.5.목,반응 남기기 방문일 6.5.목 2025년 6월 5일 목요일 42번째 방문 인증 수단 결제내역
5.25.일,반응 남기기 방문일 5.25.일 2025년 5월 25일 일요일 41번째 방문 인증 수단 영수증
5.22.목,반응 남기기 방문일 5.22.목 2025년 5월 22일 목요일 40번째 방문 인증 수단 결제내역
4.7.월,반응 남기기 방문일 4.7.월 2025년 4월 7일 월요일 38번째 방문 인증 수단 영수증
5.8.목,반응 남기기 방문일 5.8.목 2025년 5월 8일 목요일 39번째 방문 인증 수단 영수증
2.18.화,맛나요 닭강정 맛나요
7.2.수,반응 남기기 방문일 7.2.수 2025년 7월 2일 수요일 18번째 방문 인증 수단 영수증
3.31.월,반응 남기기 방문일 3.31.월 2025년 3월 31일 월요일 37번째 방문 인증 수단 영수증
3.8.토,맛있어요 매장도 청결해서 좋아요
3.13.목,반응 남기기 방문일 3.13.목 2025년 3월 13일 목요일 36번째 방문 인증 수단 결제내역
1.31.금,기다리는 동안 먹었어요. 동네 분들이 포장도 많이 하고 배달도 많이 하시나봐요. 빨리 나오고 눈치 안주는 매장이에요. 바로 앞에서 먹었는데 오래 있어도 괜찮았어요.
2.27.목,반응 남기기 방문일 2.27.목 2025년 2월 27일 목요일 34번째 방문 인증 수단 결제내역
5.27.화,반응 남기기 방문일 5.27.화 2025년 5월 27일 화요일 17번째 방문 인증 수단 영수증
2.12.수,반응 남기기 방문일 2.12.수 2025년 2월 12일 수요일 33번째 방문 인증 수단 결제내역
5.12.월,반응 남기기 방문일 5.12.월 2025년 5월 12일 월요일 16번째 방문 인증 수단 영수증
5.8.목,반응 남기기 방문일 5.8.목 2025년 5월 8일 목요일 15번째 방문 인증 수단 영수증
3.7.금,반응 남기기 방문일 3.7.금 2025년 3월 7일 금요일 35번째 방문 인증 수단 결제내역
8.29.금,반응 남기기 방문일 8.29.금 2025년 8월 29일 금요일 6번째 방문 인증 수단 영수증
6.14.토,반응 남기기 방문일 6.14.토 2025년 6월 14일 토요일 1번째 방문 인증 수단 영수증
1.15.수,햄버거와 콜라 감자튀김!
4.14.월,반응 남기기 방문일 4.14.월 2025년 4월 14일 월요일 14번째 방문 인증 수단 영수증
2.6.목,반응 남기기 방문일 2.6.목 2025년 2월 6일 목요일 32번째 방문 인증 수단 결제내역
24.12.6.금,치킨한마리 박스가 좀더 커진것 같아요 항상 프라이드는 맘스치킨이라 생각합니다 적절하게 간도 속까지 잘 배여있고 잘 튀겨져 있어서 항상 만족합니다
24.10.27.일,"딥치즈싸이버거세트 (7,800원) 맛있게 잘먹었어요 ㅎ 직원분들 친절하십니다 가격은 조금 올랐나봐요 ㅠ 또 갈게요~!"
24.11.15.금,"먹다가 찍어서 좀 지저분한 데, 오늘따라 소스가 많네요"
1.23.목,반응 남기기 방문일 1.23.목 2025년 1월 23일 목요일 31번째 방문 인증 수단 영수증
24.11.15.금,음~싸이버거 먹다가 인크레더블이랑 통새우 먹었는데 인크레더블은 그냥그냥 맛잇엇어요 그런데 통새우는 통새우가 아니던데요 ㅠ 롯데리아가 더욱 맛잇어요
24.11.27.수,항상 매장이 넓직하고 깨끗하고 조용하게 먹을 수 있어 좋아요 맘스터치 딥치즈버거 특히 강추!
1.9.목,반응 남기기 방문일 1.9.목 2025년 1월 9일 목요일 30번째 방문 인증 수단 영수증
1.6.월,반응 남기기 방문일 1.6.월 2025년 1월 6일 월요일 8번째 방문 인증 수단 영수증
7.1.화,반응 남기기 방문일 7.1.화 2025년 7월 1일 화요일 5번째 방문 인증 수단 영수증
24.11.18.월,불고기 햄버거 맛있어요
24.12.12.목,반응 남기기 방문일 24.12.12.목 2024년 12월 12일 목요일 1번째 방문 인증 수단 영수증
24.12.5.목,반응 남기기 방문일 24.12.5.목 2024년 12월 5일 목요일 29번째 방문 인증 수단 영수증
24.10.29.화,반응 남기기 방문일 24.10.29.화 2024년 10월 29일 화요일 16번째 방문 인증 수단 영수증
7.29.화,반응 남기기 방문일 7.29.화 2025년 7월 29일 화요일 7번째 방문 인증 수단 영수증
7.15.화,반응 남기기 방문일 7.15.화 2025년 7월 15일 화요일 6번째 방문 인증 수단 영수증
24.9.5.목,"불불불불싸이버거 세트 (8,800원) 맛있어요 많이 맵진않고 조금?… 가성비는 별로 ㅠ…그냥 싸이버거세트가 난거같아요 ㅎㅎ"
6.10.화,반응 남기기 방문일 6.10.화 2025년 6월 10일 화요일 4번째 방문 인증 수단 영수증
24.11.16.토,반응 남기기 방문일 24.11.16.토 2024년 11월 16일 토요일 1번째 방문 인증 수단 영수증
6.4.수,반응 남기기 방문일 6.4.수 2025년 6월 4일 수요일 3번째 방문 인증 수단 영수증
3.6.목,반응 남기기 방문일 3.6.목 2025년 3월 6일 목요일 1번째 방문 인증 수단 영수증
24.10.17.목,반응 남기기 방문일 24.10.17.목 2024년 10월 17일 목요일 27번째 방문 인증 수단 영수증
24.10.7.월,반응 남기기 방문일 24.10.7.월 2024년 10월 7일 월요일 26번째 방문 인증 수단 영수증
24.9.30.월,깨끗하고 넓어서 좋아요
24.10.1.화,반응 남기기 방문일 24.10.1.화 2024년 10월 1일 화요일 25번째 방문 인증 수단 영수증
24.7.30.화,반응 남기기 방문일 24.7.30.화 2024년 7월 30일 화요일 21번째 방문 인증 수단 영수증
24.9.13.금,반응 남기기 방문일 24.9.13.금 2024년 9월 13일 금요일 24번째 방문 인증 수단 영수증
24.9.3.화,반응 남기기 방문일 24.9.3.화 2024년 9월 3일 화요일 23번째 방문 인증 수단 영수증
24.8.6.화,반응 남기기 방문일 24.8.6.화 2024년 8월 6일 화요일 22번째 방문 인증 수단 영수증
24.7.10.수,불싸이버거 맵고 맛았어요
24.4.25.목,싸이순살맥스 양 많고 맛있어요
24.8.12.월,새우버거세트 한끼 식사로 충분
24.7.14.일,반응 남기기 방문일 24.7.14.일 2024년 7월 14일 일요일 20번째 방문 인증 수단 영수증
24.9.1.일,반응 남기기 방문일 24.9.1.일 2024년 9월 1일 일요일 1번째 방문 인증 수단 영수증
