date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
7.9.수,맘터 인크레더블 버거입니다. 싸이에서 약간 업그레이드 됐는데 꽤 만족스러워요.
6.12.목,"맘터 인크레더블 버거입니다. 싸이 버거에 베이컨, 감자 같은게 조금 더 들어갔네요. 감튀랑 잘 먹었습니다."
7.6.일,싸이버거 생각나서 무더운 날인데도 왔네요 ^^ 오랜만에 먹어도 멋있는 싸이버거!
7.22.화,전화로 주문하고 가지러 갔는데 사장님 넘 친절하시고 좋아요. 싸이버거로 아이들 맛있게 먹었어요.👍
4.16.수,비프스테이크 버거입니다. 나쁘지 않은데 맘터는 역시 싸이가 진리인듯해요.
7.9.수,햄버거 패티를 갓튀겨서 만들어 줘서 맛있게 먹었어요. 결제할때 쿠폰도 써야 되서 카운터에 문의 했는데 불친절 한건 아닌데 좀 귀찮아 하는거 같네요.
9.26.금,반응 남기기 방문일 9.26.금 2025년 9월 26일 금요일 1번째 방문 인증 수단 영수증
5.26.월,맘ㅁ스터치 사이버거는 정말 스테드셀러
4.6.일,카카오페이 이벤트 있을땐 카카오 페이가 막혀있고 네이버페이 이벤트 할땐 네이버페이가 막혀있네요 이번에도 어김없이…
6.27.금,반응 남기기 방문일 6.27.금 2025년 6월 27일 금요일 3번째 방문 인증 수단 영수증
2.24.월,에드워드리 버거 궁금해서 먹어봄요 베이컨칩 신의 한수네요 ㅎㅎ
6.18.수,반응 남기기 방문일 6.18.수 2025년 6월 18일 수요일 5번째 방문 인증 수단 영수증
4.16.수,가끔 들르는 맘스터치 입니다. 이전에는 싸이버거가 아니고 비프스테이크버거를 먹었는데 양도 적당하고 맛있네요. 여기 한양대점은 콜라 리필은 안해줍니다.
3.26.수,햄버거빵 상태가 어째서인지 부스러지네요 자주 이용하는 곳인데 이번에는 조금 아쉽네요. 그래도 잘 먹었습니다~
3.9.일,"맘스터치 한양대점을 2주에 한 번 이상 방문하는 단골 고객입니다. 하지만 최근 방문에서 매우 불쾌한 경험을 했습니다. 식사 도중 입천장을 찌르는 느낌이 들어 뱉었더니 끝이 날카롭게 휘어진 철조각이 나왔습니다. 단순한 이물질이 아니라 위험한 물질이라 충격적이었습니다. 문제를 즉시 알렸으나 사장님 부재로 직원이 응대했으며 대처가 미흡해 불편함을 느꼈습니다. 이후 사장님과 통화했지만, 충분한 사과보다는 변명과 회피처럼 느껴지는 답변을 받아 실망스러웠습니다. 고객으로서 최소한의 책임 있는 대응을 기대했지만 만족스럽지 못했습니다. 현재 본사에 해당 사항을 전달하였으며 조사가 진행 중입니다. 최종 조사 결과와 보상 여부에 따라 후속 리뷰를 작성할 예정입니다. 같은 일을 겪는 분이 없길 바랍니다."
3.22.토,반응 남기기 방문일 3.22.토 2025년 3월 22일 토요일 1번째 방문 인증 수단 영수증
4.6.일,1시간 기다렸는데 안나와서 언제 나오냐고 물어봤는데 아직 안들어갔다고하시네요...그리고도 20분이나 더 기다렸어요 하 기다리다 죽는줄알았네요.... 손이 진짜 느리시고 다시는 안갈거같아요 다른사람들도 40분씩 기다리는거 같았어요 제가 이런리뷰처음 써보는데 진짜 비추에요
4.11.금,떡강정 진짜 조마탱
2.11.화,맘스터치 싸이버거 입니다. 이거만 먹습니다.
1.13.월,"진짜 다신 안 갈 거 같음 ..  불싸이 소스가 묽다해야하나 진짜 1도 안 균일하게 발라져있고 정량보다 적게 뿌린 건가 싶은 정도로 불싸이 느낌 1도 못 느낌,, 소스가 묽다는 거 진짜 갈 때마다 좀 느끼는데 이 날은 좀 .. 좀 더 실망이어서 리뷰 남길 수밖에,,"
4.9.수,반응 남기기 방문일 4.9.수 2025년 4월 9일 수요일 3번째 방문 인증 수단 영수증
24.12.23.월,제가 맘스터치에서 가장 좋아하는 메뉴인 치즈뿌치감자를 한양대점에서 구매해 먹을 수 있었습니다. 개인적인 취향에서는 감자튀김에 뿌린 '딥치즈 소스'가 감자튀김에 찍어 먹을 수 있는 양보다 적어 처음에는 짭짤하게 잘 먹을 수 있었으나 나중 부분에서는 소스가 모잘라 밍밍한 맛으로 먹게 되어 좀 아쉬웠습니다. 그 점이 개선된다면 좋겠습니다. 해당 지점이 2층에 위치해서인지 가게가 넓은 편인데도 손님이 많지 않아 편하게 먹을 수 있었습니다.
6.12.목,반응 남기기 방문일 6.12.목 2025년 6월 12일 목요일 7번째 방문 인증 수단 영수증
2.12.수,분명 패스트 푸드인데 주문후 20분이 넘도록 홀 음식이 안나온다. 배민이나 요기요같은 걸 신경쓰느라 홀주문 음식을 계속 뒤로 미루는듯
2.11.화,간단하게 먹기 좋아요. 싸이버거 맛있네요.
24.11.29.금,살다살다 매장에 캐찹 두개더달라고했더니 사장님이 위아래로 훑어보네요 햄버거셋트 하나 먹는데 캐찹두개 더달라고 말한게 그렇게 잘못인가요? 불경기라 알바생 못쓰고 사장님이 일해서 힘든건 알겠는데요 아무리 그래도 훑어보는건 너무한거 아닌가 싶네요 하루빨리 경기가 풀려서 매장에 사장님이 일안했으면 좋겠네요 불편해서 오늘이후로 더이상 여기안가려고 합니다 그냥 무학여고 앞으로 갈래요
3.26.수,반응 남기기 방문일 3.26.수 2025년 3월 26일 수요일 1번째 방문 인증 수단 영수증
24.11.27.수,싸이버거가 맘스터치 시그니처이지요
