date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
7.21.월,매장이 깔끔하고 음식도 너무 맛있어요! 고등어 한마리 양도 많고 밑반찬들도 너무 맛있게 먹었습니당 ㅎㅎ 평소에 고등어는 집에서 굽지를 못해서 밖에서 사먹는 편인데 건강한 한끼로 딱이에요! 자주 방문하겠습니당😆
8.29.금,친구들과 배우자와 함께 좋은 식사자리 가졌습니다! 한식위주의 음식으로 깨끗하고 맛있어요. 다 먹고나서 더부룩함 없이 깔끔해요! 특히 들기름파스타 존맛탱구리 !
8.29.금,친구들과 성수동 놀러왔다가 가려던 카페 근처에 맛있어보이는 집을 발견해서 들어왔는데 메뉴판의 사진들 보면서 기대했는제 기대한만큼 상당히 맛있는 식사였습니다!
9.11.목,엄마랑 같이갔어요 ㅎ 고기 다 구워주시고 친절하십니다 외국인분들도많이 오시더라구영
3.14.금,정갈한 집밥 스타일이예요! 직장인 점심시간 든든히 건강하게 먹을 수 있어 좋아요! 추천 드립니다👍🏻 웨이팅은 점심시간 조금 있는 편인데 회전율이 좋아 5분 이내 입장 가능 한거 같아요! 성수 주변 건강한 집밥 스트 찾고 계신다면 추천 드립니다!🥰
6.2.월,채소보다 고기가 훨씬 많이 들어가서 꽤나 배불러요! 깔끔한 반상 좋아하시는 분들께 추천이요
3.20.목,한상차림이 잘 나오는 한식집입니당 매장도 깔끔하고 메뉴도 마음에 들어요 반찬 국 메인고기 다 맛있었습니다! 재방문 의사 완전 있음!
6.19.목,늦은 점심먹으러 찾아다니다가 들어왔는데 김치찜 주문했는데 넘 마싯게 잘 먹었네용! 혼밥하기 딱 좋아요~
3.17.월,"둘이서 김치찜, 고등어구이 주문해서 나눠먹었는데 집밥먹는것 같고 정말 맛있어요~ 반상으로 정갈하게 나오고 양도 푸짐합니다!"
5.29.목,아..솔직히 양보고 너무 놀랏네요.12000원가격은 잘못된거아닌가요.....
4.22.화,고등어구이 촉촉하고 부드러워서 맛있어요 ㅎ.ㅎ
3.17.월,"성수에서 찾기힘든 정갈한 가정식 밥집이에요. 고등어구이를 시켰는데, 너무 느끼하지는 않으면서도 바삭해서 너무 맛있었어요. 특히 계란후라이도 추가할 수 있는데 반숙, 완숙 선택도 가능합니다. 시즌한정 메뉴도 있어 없어지기전에 꼭 먹을러 올거에요. 직장인점심으로 딱 좋아요."
