date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
4.10.목,반응 남기기 방문일 4.10.목 2025년 4월 10일 목요일 1번째 방문 인증 수단 영수증
23.5.16.화,반응 남기기 방문일 23.5.16.화 2023년 5월 16일 화요일 1번째 방문 인증 수단 영수증
23.4.30.일,반응 남기기 방문일 23.4.30.일 2023년 4월 30일 일요일 3번째 방문 인증 수단 영수증
23.3.7.화,반응 남기기 방문일 23.3.7.화 2023년 3월 7일 화요일 2번째 방문 인증 수단 영수증
22.8.3.수,레트로한 호프집이예옄ㅋㅋ 엄빠들이 자주 갔을 법한... 안주가 싸요!
22.4.3.일,쥐포구이는 넘 푸석하고 팥빙수는 그저 그런 맛이었어요..ㅠㅠ 그래도 서비스나 소주는 가격이 착해서 좋습니다~
22.5.18.수,동네 맥주집! 굿!
22.9.7.수,반응 남기기 방문일 22.9.7.수 2022년 9월 7일 수요일 1번째 방문 인증 수단 영수증
21.11.16.화,반응 남기기 방문일 21.11.16.화 2021년 11월 16일 화요일 1번째 방문 인증 수단 영수증
20.8.19.수,성수동의 숨은 오래된 을지로갬성 호프집♥ 가격도 옛날처럼 저렴한 가격에 사장님도 넘넘 친절하시고 서비스도 가실때마다 꼭 주셔서 죄송해죽겟어요 ㅠㅠ 성수동 맛집 추천드려욜! 사진은 최애안주 은행구이 8.000원💚 쫀맛 #성수동 #성수맛집 #성수동레트로 #성수동술집 #성수술집 #성수동호프집 #성수동숨은맛집 #성수술집
21.2.13.토,반응 남기기 방문일 21.2.13.토 2021년 2월 13일 토요일 1번째 방문 인증 수단 영수증
19.3.27.수,반응 남기기 방문일 19.3.27.수 2019년 3월 27일 수요일 1번째 방문 인증 수단 영수증
