date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
10.2.목,"사장님 친절하시고, 음료도 맛있어요. 가격도 좋습니다."
1.30.목,전날 예약했는데도 너무 친절하게 응대해주시고 준비해주셨어요😭 급하게 필요했던건데 다행이었고 감사했습니다🫶 근데 정말 맛있어서 ㅠㅠ 부모님 모두 감동하면서 먹었어요! 달지도 않고 시트가 쫀득하고 맛있었어요🍴✨ 인절미 크림도 너무 맛있었구요🤗 다음에도 또 이용하려구요!! 그리고 쿠키도 다 너무 맛있습니다 ㅠㅠ 메이베이크 쿠기도 강추요강추!! 너무 쫀득촉촉😭 최고입니다💗 최애 쿠키집 등극…💖
3.30.일,정말 맛있어요. 모든 케잌 다 맛보고 싶네요
2.24.월,쿠키 맛있어요! 서비스도 주셨네요
2.9.일,포장했어요🖤 디저트먹으러 또 가려구요 인절미볼이랑 쿠키랑 너무 맛있었습니다!
24.12.23.월,남자친구가 케이크에 있어서 굉장히 깐깐한데 너무 맛있었대요!! 너므 달지도 않고 생크림도 느끼하지 않아서 최고였어요 지점 많이 내주세요❤️
24.12.13.금,남자친구가 크림치즈는 못 먹고 또 초코케이크가 먹고 싶다길래 열심히 레터링 초코 생크림 케이크를 찾고 찾다가 찾게된 케이크집 입니다ㅠㅠㅠ 맛도 너무너무 맛있고 디자인도 너무 귀여워서 행복하게 남자친구 생일을 보내게 되었어요!!!! 다음에 또 주문할거에요!💙💙💙💙
