date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""차가 맛있어요""",이 키워드를 선택한 인원
4.29.화,"조용하고 아늑한 분위기 덕분에 대화에 집중하기 정말 좋았어요. 음악 소리도 적당해서 방해되지 않았고, 전체적으로 편안하게 머물 수 있는 공간이었어요. 친구랑 오붓하게 이야기 나누기 좋은 카페로 추천하고 싶어요."
6.6.금,세종에서 서울로 이사하셨는데 서울 온 겸에 기어코 들리는 카페 맛집! 커피 안 좋아하는 저도 바닐라라떼 진짜 맛있게 먹었어요ㅠㅠㅠ 내부 넓고 깨끗하고 조용해서 더더더 좋네요 🤭 다음에 또 들릴게요~~~!
2.28.금,진짜 너무 너무 너무 맛있어요 🥹💛 치즈 케이크 호텔에서 파는 것 같아요 〰️
