date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
8.24.일,"닭똥집튀김, 명가 옛날통닭, 닭강정 3가지를 다양하게 즐길 수 있는 C세트로 먹었는데 개인적으로 둘이 먹기 딱인 것 같아요ㅎ 튀김 옷 자체가 바삭하고 약간 매콤한 맛도 있어서 저는 닭강정보다 후라이드가 더 맛있었음ㅎㅎㅎ"
8.22.금,반응 남기기 방문일 8.22.금 2025년 8월 22일 금요일 15번째 방문 인증 수단 영수증
7.11.금,반응 남기기 방문일 7.11.금 2025년 7월 11일 금요일 19번째 방문 인증 수단 영수증
5.4.일,반응 남기기 방문일 5.4.일 2025년 5월 4일 일요일 14번째 방문 인증 수단 영수증
5.1.목,반응 남기기 방문일 5.1.목 2025년 5월 1일 목요일 14번째 방문 인증 수단 영수증
8.24.일,반응 남기기 방문일 8.24.일 2025년 8월 24일 일요일 1번째 방문 인증 수단 영수증
4.12.토,반응 남기기 방문일 4.12.토 2025년 4월 12일 토요일 13번째 방문 인증 수단 영수증
2.15.토,반응 남기기 방문일 2.15.토 2025년 2월 15일 토요일 9번째 방문 인증 수단 영수증
2.4.화,반응 남기기 방문일 2.4.화 2025년 2월 4일 화요일 12번째 방문 인증 수단 영수증
24.12.21.토,반응 남기기 방문일 24.12.21.토 2024년 12월 21일 토요일 11번째 방문 인증 수단 영수증
24.11.30.토,반응 남기기 방문일 24.11.30.토 2024년 11월 30일 토요일 8번째 방문 인증 수단 영수증
24.11.9.토,반응 남기기 방문일 24.11.9.토 2024년 11월 9일 토요일 10번째 방문 인증 수단 영수증
24.10.30.수,반응 남기기 방문일 24.10.30.수 2024년 10월 30일 수요일 9번째 방문 인증 수단 영수증
24.10.18.금,반응 남기기 방문일 24.10.18.금 2024년 10월 18일 금요일 8번째 방문 인증 수단 영수증
24.7.10.수,"음식은 대체로 맛 있습니다 안주를 총4가지 주문했는데 사진은 떡볶이사진과 감자튀김 뿐이네요 후라이드 콤보, 버팔로윙도 바삭하고 맛있었어요"
24.10.9.수,반응 남기기 방문일 24.10.9.수 2024년 10월 9일 수요일 7번째 방문 인증 수단 영수증
24.8.6.화,옛날통닭 먹고싶다는 친구랑 방문. B세트 주문해서 똥집도 먹어봄. 콜라로 마무리하고 나옴. 차있어서 치맥은 못함.
24.8.1.목,기본에 충실한 왕십리 통닭 맛집입니다! 똥집튀김도 맛있지만 기본인 통닭 더 추천합니다!
24.9.19.목,반응 남기기 방문일 24.9.19.목 2024년 9월 19일 목요일 6번째 방문 인증 수단 영수증
24.9.8.일,반응 남기기 방문일 24.9.8.일 2024년 9월 8일 일요일 5번째 방문 인증 수단 영수증
24.9.6.금,반응 남기기 방문일 24.9.6.금 2024년 9월 6일 금요일 4번째 방문 인증 수단 영수증
24.5.25.토,친절하십니다. 명가통닭은 크리스피하고 닭가슴살 부위가 의외로 촉촉하니 맛있네요? 튀김 아래 약간 매운 간이 되어있습니다. 땡초똥집은 청양고추가 들어간 매운 양념소스에 버무려져있는데 저는 맛있었는데 바싹한 똥집을 좋아하는 여자친구는 불호였네요. 여하튼 종종 먹을 것 같습니다
24.7.4.목,옛날통닭 포장. 친절해서 좋음.
24.8.27.화,반응 남기기 방문일 24.8.27.화 2024년 8월 27일 화요일 7번째 방문 인증 수단 영수증
24.7.13.토,바사삭~~맛 있어요!! 포장해서 바로먹으니 맛있네용^^
24.7.23.화,반응 남기기 방문일 24.7.23.화 2024년 7월 23일 화요일 6번째 방문 인증 수단 영수증
24.7.13.토,반응 남기기 방문일 24.7.13.토 2024년 7월 13일 토요일 5번째 방문 인증 수단 영수증
24.4.13.토,참 좋은 마시고요 특별히 맛있어요
24.8.11.일,반응 남기기 방문일 24.8.11.일 2024년 8월 11일 일요일 18번째 방문 인증 수단 영수증
24.7.27.토,반응 남기기 방문일 24.7.27.토 2024년 7월 27일 토요일 1번째 방문 인증 수단 영수증
24.7.7.일,반응 남기기 방문일 24.7.7.일 2024년 7월 7일 일요일 4번째 방문 인증 수단 영수증
24.6.19.수,반응 남기기 방문일 24.6.19.수 2024년 6월 19일 수요일 3번째 방문 인증 수단 영수증
24.6.25.화,반응 남기기 방문일 24.6.25.화 2024년 6월 25일 화요일 17번째 방문 인증 수단 영수증
24.2.10.토,좋아요 ~~~맛있어요 👍👍👍
