date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
1.15.수,방문포장으로 사와서 따듯하게 잘 먹었어요. 😀
2.10.월,반응 남기기 방문일 2.10.월 2025년 2월 10일 월요일 1번째 방문 인증 수단 영수증
24.11.27.수,맛있게 잘 먹었어요 ㅎㅎ
23.6.22.목,반응 남기기 방문일 23.6.22.목 2023년 6월 22일 목요일 1번째 방문 인증 수단 영수증
23.4.27.목,반응 남기기 방문일 23.4.27.목 2023년 4월 27일 목요일 1번째 방문 인증 수단 영수증
23.1.17.화,싼맛에 먹는다고 생각햇는데 맛에 비해 싼 것도 아닌 것 같아요
22.11.3.목,꼬구마 피자 먹었어요 꼬구마무스 맛있어요 포장하면 할인도 되용
22.7.15.금,혼자 먹기 딱 좋은양~
22.10.19.수,반응 남기기 방문일 22.10.19.수 2022년 10월 19일 수요일 1번째 방문 인증 수단 영수증
22.6.9.목,흑미도우가 얇아서 기름기가 적어 좋고 임실 치즈 맛이 좋아요
21.11.20.토,"아파트 상가라 주차도 괜찮았고, 매장도 새로 리뉴얼 했는지 엄청 깔끔하네요! 사장님도 복장부터 전문가 스멜이 나는데 도우 피시는 거 보니 전문가 맞는듯.. 피자 토핑이 추가 안 했는데 정말정말 많아서 놀랐어요. 처가 갔다가 피자 땡겨서 검색해서 갔는데 종종 포장 주문하러 가야겠네요! 맛있었어요 :)"
22.2.3.목,지나가다 피자 먹고싶어서 포장해온곳인데 정말 맛있어요 ! 피자도 일찍나오고 치즈 쫩쫩 늘어놔서 먹을맛 나구요 토핑도 아낌없이 뿌려주셔서 푸짐하게 먹은 느낌입니다 😉
22.9.1.목,반응 남기기 방문일 22.9.1.목 2022년 9월 1일 목요일 1번째 방문 인증 수단 영수증
21.10.18.월,피자 맛 괜찮아요.
22.1.11.화,반응 남기기 방문일 22.1.11.화 2022년 1월 11일 화요일 1번째 방문 인증 수단 영수증
21.12.14.화,반응 남기기 방문일 21.12.14.화 2021년 12월 14일 화요일 1번째 방문 인증 수단 영수증
