date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
10.17.금,저번에 죽 시켜먹고 맛있게 잘 먹어서 이번엔 픽업햐서 먹었습니다 ㅎㅎ 지난번에도 고구마빵을 먹었는데 이번에 해동이 잘못된 건지 흐물흐물해져서 종이봉투랑 다 붙어버렸더라구요.. 그래도 맛있게 어찌저찌 먹었습니다
8.19.화,평소에 다른 죽집가면 항상 양이 많고 하나만 시킬 수 있어서 아쉬웠는데 여기는 두 가지 맛을 먹을 수 있어서 조았어요! 영양 닭죽이랑 미역죽인데 두 개 다 맛있었어요! 그 동네가면 또 시켜먹을 예정입니다!
8.11.월,배달 전문점이에요. 500g을 둘로 나눠서 포장했어요. 진한 소고기 미역국에 밥말아먹는 느낌을 기대했는데 기대보다는 슴슴해요ㅎㅎ
5.27.화,포장했어요 빠른 음식 감사합니다 그런데 카맵이랑 네이버맵 위치가 다르네요 간판이 없어서 헤맸어요 모두의주방 여기로 가시면돼요
5.11.일,반응 남기기 방문일 5.11.일 2025년 5월 11일 일요일 1번째 방문 인증 수단 포장주문
6.8.일,가격도 안 싼데 맛이 없어요.. 냄새도 맛도 별로… 다시는 이용 안 할 듯
3.9.일,기본 시켜먹는 죽 느낌보다는 떡 질감과 미음 느낌이고 뜨겁지 않아서 무슨이유일까 생각했습니다 반찬이 디폴트가 선택안함이 되어있는걸 몰랐네용 가게는 매장 취식은 안되는 배달전문점 입니다! 참고하세요!!
2.20.목,담백하고 깔끔하네요! 가끔 이용하겠습니다^^
1.25.토,아침 8시 네이버로 포장주문하고 8시15분 후에 픽업했습니다. 신속한 준비에 감사드립니다.
1.21.화,주문하고 찾아가기 좋았어요!
