date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
4.28.월,분위기도 좋고 안주가 너무너무 맛있었어요🤩 오리최고!! 계속계속 생각나는 맛있는 안주들이라 자주 갈거같아요 너무 좋았습니당👍🏻👍🏻
4.21.월,맥주 배가 아까울 만큼 메뉴 하나하나 다 맛있습니다! 송정동 맛집리스트 하나 추가했어요~ 맛집소문날까봐 무섭지만 사장님 부자되시라고 리뷰씁니다ㅠ 별 백만개입니다!!
3.20.목,메뉴구성이 알차고 정말 맛있어요 사장님도 너무 친절하시고 분위기 너무 좋아요!
24.3.18.월,혼술 하기 최적의 장소!! 근처에 사신다먄 간단하게 들리기 좋고 편안하게 들려서 마시기 좋습니다 편안한 사장님과 접객! 맛잇는 안주까지 동네에 있어주어 감사할 따름입니다!  오래 장사해주세용
24.2.8.목,"점심메뉴 생기고부터 계속 오고싶었는데,.. 가성비 너무좋아요! 깔끔하게 떨어지는 국물맛이 너무 좋고 점심으로 제격입니다. 야채, 고기 마무리 죽까지 거를 타선이 없네요 먹고나오니 몸이 따뜻해지고 든든합니다. 자극적이지 않고 은은하게 몸에 녹아드는 느낌이에요~ 편한 점심 드시고 싶으신 분들 강추합니다!!"
24.2.7.수,성수에서 가까운 송정동. 서서히 연남동 같이 동네 분위기가 조금씩 바뀌고 있는 동네. 로컬 찐 맛집. 정말 친절하고 정성이 가득해서 찐으로 맛과 기분이 좋은 곳. 슬로우 푸드 함 느껴보자공♡♡
24.3.7.목,점심 샤브샤브 너무 맛있어요 강추!
24.1.11.목,회사 바로 근처 술 먹으로 종종 갔는데 점심 메뉴도 하시길래 바로 와봤습니다 ////// 요근래 샤브 먹을때 항상 비싸게 먹었었는데 묘월은 1인에 10900원ㅋㅋ 젤 좋았던건 개인 냄비 ㅜㅜㅜ샤브 먹을때 안 맞으면 짜증나는데 그럴리 없음 구성도 올린 사진에 있는거 다 주는데도(칼국수도 있음) 네네 진짜 혜자롭 배도 부르고 깔끔해서 너무 좋아요 ㅠ 사이드나 하이볼 주문도 가능해서 간단한 반주도 추천합니다 무튼 이따 저녁에 술 마시러 갈게용-!
23.11.8.수,"혼술하기 좋은 아늑한 분위기에 맛있는 안주메뉴들,,그리고 너무 친절하신 사장님.. 우리동네에 이런 가게가 생기다니! ㅠㅠ 너무 감사하고 행복해요! 퇴근후 한잔하러 부담없이 자주 들릴만한 곳이에요!"
24.1.18.목,회사 근처에 이런 맛집이 생겨서 너무 좋아요 ദ്ദി^._.^) . . . ! ! !  샤브샤브도 너무 맛있구 양도 많아서 엄청 배부르고 저녁에 술먹으로 오고 싶은 곳이에요 😖💭
23.11.15.수,복잡한 건대성수라인에서 조금만 올라가면 있는 귀한 곳!!!!! 고즈넉하게 혼술하기 좋은 맛집을 찾았습니다 술도 맛있고 안주도 맛있고.. 오뎅탕에 다진 고추를 같이 주시는데 이게 진짜 킥이에요 유자 토마토로 상큼한 마무리까지 너무 좋았습니다♥ 부디 오래오래 있어주세요 사장님도 친절하시고 가게도 깔끔하고 조명도 예뻐서 사진맛집입니다 진짜 강추해요!!!!!
24.2.2.금,"송정동의 맛의 거리, 초입의 왕약국을 지나 조금만 걷다보면 아기자기한 가게들이 나온다. 주상복합의 시초라고 할 수 있는 2층 주택의 상가들. '서울에 이런곳이 아직도 있었나'하고 두리번 거리다 보면, 차하나 간신히 지나갈듯한 사거리 한켠에 가게가 보인다. K-심야식당 못지 않은 외관. 다분히 한국적인 메뉴들. 소주와 맥주의 단촐한 구성. 처음 가보지만 단골집에 들른듯 한 분위기. 그립지만 새로운 맛."
24.3.7.목,점심 샤브샤브 먹었는데 맛있어요~
23.11.19.일,송정동 골목에 비밀공간처럼 불켜져있어서 심야식당 같은 느낌에 입장부터 설렜어요✨️ 항정수육 너무 촉촉하고 잡내없어서 너무 맛있었어요. 곁들여서 먹는 부추겉절이도 잘 어우러져서 좋았구요. 기본 찬으로 나오는 들깨소스 얹은 김치가 정말 킥! 리필 몇번이나 한 것 같아요🤤 차돌닭다리는 기분 좋은 매콤함이었어요. 우동까지 추가하면 완전 헤븐🥺❤️‍🔥 밥 한공기까지 생각나던 국물요리였어요. 유자꿀토마토는 묘월 필수메뉴니까(?) 꼬옥 먹어야해요. 방문한 날 생일이신 분이 계셔서 케이크도 얻어먹구 진짜 유쾌하고 즐겁게 머무르다왔어요. 재방문의사 10000프로예요🥹💛 (포스터에 고양이가 있어서 여쭤보니 집사분이시더라구요. 완전귀엽..🐱💓)
23.10.24.화,"조용한 송정동 골목에 새로 생긴 식당! :-) 항정수육 촉촉하면서 부드럽고 쫜득하고, 차돌닭다리탕 매콤하니 술안주로 제격이에요. 고로케도 시켰는데 순삭하느라 사진은 못찍었네오ㅠㅠ 넘 만족스러운 저녁식사였어요 최고!!!"
24.1.22.월,혼술성지💪💪 친절하시고 너무 맛있어요 최고의 요리와 술을 먹었습니당🥰
24.1.15.월,점심 샤브샤브 정말 미쳤숴요~~~ 건강하고 알찬 한끼!! 마무리 볶음밥 까지 정말 맛있고 알차게 먹었습니다 🤩🤩🥰
24.1.19.금,반응 남기기 방문일 24.1.19.금 2024년 1월 19일 금요일 1번째 방문 인증 수단 영수증
