date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
10.16.목,반응 남기기 방문일 10.16.목 2025년 10월 16일 목요일 1번째 방문 인증 수단 영수증
24.12.26.목,"무탁우동 1번세트 우동+꼬마김밥 세트 주문했어요!! 시원칼칼한 우동국물 마시고 싶었는데 그릇 밑에 매운 양념장이 들어가 있어서 국물에 풀어서 드시면 칼칼한 우동국물면을 먹을 수 있어서 속 풀리는 맛입니다!! 속 미식거릴때 뜨끈한 국물에 우동 한그릇, 그이고 사이드메뉴로 꼬마김밥은 매콤한 김치 양념된 재료가 들어가 있어서 우동과 조합이 잘 맞아요!!!"
7.29.화,반응 남기기 방문일 7.29.화 2025년 7월 29일 화요일 1번째 방문 인증 수단 영수증
2.18.화,다대기가 아래쪽에 깔려있는데 저는 다대기 풀지않고 원래 그대로 먹는 국물맛이 좋네요. 다대기를 풀어서 먹어보니 그닥...
24.12.13.금,제 인생에서 제일 좋아하는 우동이에요. 집이 꽤 먼데 근처 올 일 있으면 무조건 오고 최소 1년에 한 번은 와요.
8.20.수,반응 남기기 방문일 8.20.수 2025년 8월 20일 수요일 1번째 방문 인증 수단 영수증
4.30.수,반응 남기기 방문일 4.30.수 2025년 4월 30일 수요일 1번째 방문 인증 수단 영수증
24.8.15.목,"왕십리역 성동구청 북측 대로변에 위치한 우동 전문점입니다. 매장 자체는 협소하나 상당히 길쭉한 구조를 갖고 있어 바 형식 테이블에 따로 오신 손님들이 많은 것을 볼 수 있습니다. 우동은 옛날 포장마차에서 우동 한 그릇 주문하면 나오는 옛날 한국식 우동 스타일인데, 저렴한 가격대를 감안했을 때 우동의 구성이 상당히 좋은 것을 확인할 수 있습니다. 면은 일반적인 우동 면발이 아닌 노란 가락국수 면발이며, 역시 상당히 쫄깃합니다. 꼬치어묵우동을 시키면 나오는 어묵꼬치의 퀼도 좋고, 꼬마김밥은 단순히 요기를 때울 정도는 됩니다. 많이 방문한 적은 없지만 왠지 향수를 자극하는 이 묘한 느낌은 뭘까요? 여러모로 익숙함을 체험하시길 바랍니다."
24.7.5.금,"캬~ 국물 따뜻하니, 쑥갓도 듬뿍 있어서 참 맛있네요 :) 꼬마김밥이 정말 꼬마여서 ㅋㅋ 조금 아쉽지만 맛있습니다! 우동 면발이 우리가 흔히 아는 생생우동 면발 아니고 약간 중국집 짬뽕 면발 같은 느낌이었어요~ 그래도 맛있습니다!"
24.12.21.토,반응 남기기 방문일 24.12.21.토 2024년 12월 21일 토요일 1번째 방문 인증 수단 영수증
24.7.31.수,"기본 우동(6천원)입니다. 멸치육수 향에 쫄면 스타일의 면, 유부와 김이 맛을 내고 약간의 어묵이 들어 있어요. 고춧가루가 들어 있어서 약간 얼큰. 점심 시간 지나서인지 한가하네요. 작은 가게네요. 물과 단무지 셀프."
24.4.18.목,왕십리에 이런집이 있었다니 😆 꼬마김밥 검색하다 발견했는데 비주얼에 반해서 갔더니 한국식 옛날 우동 ~ 쑥갓이 더 많아도 좋을거 같고 테이블에 있는 고춧가루 식초 추가해서 먹으니 매운거 좋아하는 입맛에 맞는 얼큰한 우동으로 변신! 꼬마김밥에 우동 진짜 꿀조합 ㅋㅋ 자주갈 우동집!
24.4.1.월,간단하게 먹고가기 좋은 작은 우동집 입니다 우동+꼬마김밥 세트메뉴 주문했는데 가격대비 양도 많고 좋아요 우동 면빨이 일반 우동보다 조금 얇고 엄청 쫄깃해요 국물도 시원하니 맛있고 단무지까지 새코롬 맛있답니다 혼밥하기도 좋아요
24.9.2.월,반응 남기기 방문일 24.9.2.월 2024년 9월 2일 월요일 1번째 방문 인증 수단 영수증
24.5.31.금,가성비 정말 좋아요! 우동세트 맛있어요!
24.4.2.화,무탁우동 우동좋아하는 친구가 추천했어요 우동 맛있는집입니다
24.7.19.금,국물이 진하고 면발이 쫄깃하고 맛있어요
24.3.27.수,쑥갓이 듬뿍 들어가서 아주 시원해요 꼬마김밥 세트 추천입니다~
24.4.10.수,우동 맛있습니다 가성비도 좋아요 👌
24.2.21.수,무릎을 탁 치는 맛
24.3.5.화,틈틈히 오는 곳입니다. 맛있어요!
24.1.9.화,우동 맛있고 꼬마김밥이 진짜!!! 국물이랑 딱이에요
24.1.2.화,양 많고 진짜 맛있어요!!
23.12.19.화,휴게소에서 먹던 우동의 고급버전~ 좋아요
24.1.16.화,면발이랑 국물이랑 다~ 맛있어요.
23.10.18.수,휴게소 우동계의 샤넬이네요
24.2.21.수,반응 남기기 방문일 24.2.21.수 2024년 2월 21일 수요일 1번째 방문 인증 수단 영수증
