date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
8.13.수,수박주스랑 호두과자가 맛있어서 자주 가는 카페에요😍 직접 가서 많이 먹기도 하는데 테이크 아웃도 많이 하는 것 같아요. 여기 수박주스는 100% 수박 맛이 잘 느껴져서 너무 좋아요. 호두과자도 맛있어서 먹다 보면 계속 먹게 되는 것 같아요. 다른 음료들도 맛있지만 저는 수박주스만 먹습니다. 수박주스가 안 나올때 까지 더 많이 먹어야겠어요😁 사장님이랑 직원분들도 너무 친절하고 카페가 깔끔해서 너무 좋아요🤭
8.21.목,입축지나도 여전한 더위에 아이스페퍼민트로 더위도 식히고 수다타임으로 쉬다 갑니다
7.30.수,예배 전에 카페라떼랑 아이스페퍼민트로 더위를 식히려고 들렀어요 친구가 카페라떼 좋아하는데 단숨에 원샷하네요 맛있대요♡
4.22.화,"역삼동 느좋 카페 실존입니다 ... 🥹💖 과외 가기 전 시간이 떠서 우연히 들어오게 되었는데 잠깐 카공하기도 분위기 너무 좋고 맛있어서 자주 오게될 것 같아요 🫶  그리고 여러분 진짜 호두과자가 𝓂𝒾𝒸𝒽𝒾𝓃𝓃ℴ𝓂 입니다 ... 갓 나온 호두과자 정말 너무너무 맛있어요! 제가 단거 잘 못먹어서 호두과자는 별로 안좋아했는데 여기 호두과자는 별로 안달고 방금 만들어서 그런지 겉바속촉에, 비오는 날 따뜻한 얼그레이티랑 먹으니 정말 찰떡궁합입니다! 😋  스콘도 같이 시켰는데 방금만든건 아니라 약간 아쉽긴 했지만 평범하게 맛있었습니다! 500원에 딸기잼이나 크림치즈 선택할 수 있는데 딸기잼 선택해서 먹었어요. 수제 잼이나 클로티드크림 떠서 주시는 형태면 개인카페의 장점을 더 살릴 수 있을거같아요!!"
4.25.금,커피 맛있고 매장 쾌적하고 좋아요~
5.28.수,반응 남기기 방문일 5.28.수 2025년 5월 28일 수요일 1번째 방문 인증 수단 영수증
8.23.토,반응 남기기 방문일 8.23.토 2025년 8월 23일 토요일 1번째 방문 인증 수단 영수증
3.11.화,낮에 갔는데 손님 정말 많습니다 커피 테이크아웃해서 마셨는데 맛있어요 직장 근처라 자주 올듯하네요
2.3.월,커피가 맛있고 분위기가 좋아요
2.11.화,매장이 아늑하고 좋아요 음료도 정말 너무맛있다까진 아니지만 전메뉴 다 무난무난하게 괜찮습니다
24.10.28.월,오늘도 아샷추에용~~ 맨날 와서 먹어요… 넘 맛있어요ㅜㅜ..
24.11.16.토,맨날 가는 최애 카페였는데 종이 쓰레기 하나를 안 버려주시네요… 카페 안에 쓰레기 통이 없어서 항상 들고 나갔는데 한번 종이 올려놓고 반납했다가 ㅎㅎ 여태 잘 이용했습니다 감사합니다~
24.12.21.토,춥고 살짝 배고파서 스콘에 딸기쨈 추가해서 먹었는데 맛도리예요ㅋㅋㅋ 주말에 5시에 마감인건 많이 아쉬웠어요ㅠㅋㅋ
24.11.7.목,오늘도 아샷추에용~ 친구는 망고 스무디가 맛있다네요
24.11.16.토,커피맛이 좋은 동네 호두과자까페???
24.12.11.수,호두과자 맛있어요 굳굳
24.10.24.목,반응 남기기 방문일 24.10.24.목 2024년 10월 24일 목요일 2번째 방문 인증 수단 영수증
24.10.18.금,반응 남기기 방문일 24.10.18.금 2024년 10월 18일 금요일 1번째 방문 인증 수단 영수증
24.10.20.일,아샷추 맛집이에요 맨날 와서 아샷추 먹고가용 ㅎㅎ
24.8.12.월,달다방에서 시원한 음료를 사마셨다. 별다방보다 시원하고 쾌적했다. 여름이었다.
24.10.16.수,반응 남기기 방문일 24.10.16.수 2024년 10월 16일 수요일 2번째 방문 인증 수단 영수증
24.8.28.수,깔끔하고 좋아요 커피도 좋아요 추천합니다
24.10.30.수,반응 남기기 방문일 24.10.30.수 2024년 10월 30일 수요일 6번째 방문 인증 수단 영수증
24.6.18.화,"카페가 너무 깨끗하고, 스태프가 친절해요. 전 초콜릿 케이크랑 수박주스 먹었는데, 주문도 빨리나오고 맛있었어요 (사진을 먹은다음에 찍었어…요. ㅜㅜ). 꼭 다시 올것 같아요. 완전 추천!!!"
