date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
10.9.목,금호동 동네에 있는 미니다과 아늑한 공간과 혼카페 좌석까지~ 대화하기 좋고 잠쉬 쉬어가기 좋은 곳 디저트가 맛도리!!!
10.8.수,아늑한 분위기+특별한 메뉴가 있는 웰빙 디저트들+음료 맛있음(특히 미숫가루라떼 추천)👍🏻
7.22.화,사장님 너무 친절하시고 메론소다는 처음접해보는데 먹자마자 오!! 맛잇다 햇네요:) 병원올때마다 한번씩 꼭 들르고싶은 곳이생겼네요~~
7.3.목,자주 가지는 못하지만 좋아하는 카페예요!! 디저트도 다 맛있고 음료 종류도 다양해서 너무 좋아요💗 신메뉴인 수박주스는 여름이랑 너무 잘 어울려서 강추입니다!
7.29.화,수박 직접 갈아 만들어주시고 너무 맛있어요ㅎㅎ 직장 근처라 자주 갈것 같아요 맛있게 먹겠습니다🙇‍♀️💕💕
7.5.토,분위기 너무좋고 음료 및 디저트가 끝내줍니다  데이트 코스 추췬
4.3.목,츄러스 휘낭시에 너무 맛있어요!!
1.13.월,커피가 맛있고 분위기 좋은 곳이에요 쿠폰도장도 찍어주네요
24.11.30.토,휘낭시에.. 심각하게 맛있네요  초코솔트랑 코코넛이랑 우열을 가리기 힘든 둘다드세오 ㅎㅎ 다른 맛들도 맛나보였음
