date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
24.7.2.화,반응 남기기 방문일 24.7.2.화 2024년 7월 2일 화요일 1번째 방문 인증 수단 영수증
24.4.24.수,음식이 아주 맞있어요
24.3.23.토,반응 남기기 방문일 24.3.23.토 2024년 3월 23일 토요일 1번째 방문 인증 수단 영수증
24.2.21.수,반응 남기기 방문일 24.2.21.수 2024년 2월 21일 수요일 9번째 방문 인증 수단 영수증
24.2.19.월,반응 남기기 방문일 24.2.19.월 2024년 2월 19일 월요일 8번째 방문 인증 수단 영수증
24.2.13.화,반응 남기기 방문일 24.2.13.화 2024년 2월 13일 화요일 7번째 방문 인증 수단 영수증
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 1번째 방문 인증 수단 영수증
23.5.4.목,"엄마 손 맛 생각나는 옛 스러운 맛, 푸짐하고, 넉넉한 양 , 맛나게 잘 먹었습니다."
23.6.8.목,오늘도 잘먹었습니다 용답동 최애맛집 엄마맛이그리울때 술마시고싶을때 모임때 ㅋㅋㅋ삼겹살땡길때 일주일에 8일가는곳 너무맛있어요 꼭가세요 두번가세요 세번가세요
23.2.20.월,반응 남기기 방문일 23.2.20.월 2023년 2월 20일 월요일 1번째 방문 인증 수단 영수증
23.6.18.일,반응 남기기 방문일 23.6.18.일 2023년 6월 18일 일요일 5번째 방문 인증 수단 영수증
23.6.19.월,반응 남기기 방문일 23.6.19.월 2023년 6월 19일 월요일 6번째 방문 인증 수단 영수증
23.2.15.수,반응 남기기 방문일 23.2.15.수 2023년 2월 15일 수요일 1번째 방문 인증 수단 영수증
23.1.12.목,우리동네 최애단골집 잘먹었습니다
23.2.7.화,답십리시장내 미순이네 음식 맛도 좋고 밑반찬이 최고예요 주인 사장님도 너무 친절하게 대해 주시고 밥공기는 덤으로 주시기도 해요 가성비 짱입니다. 강추~^^~
22.9.17.토,반응 남기기 방문일 22.9.17.토 2022년 9월 17일 토요일 4번째 방문 인증 수단 영수증
23.1.21.토,반응 남기기 방문일 23.1.21.토 2023년 1월 21일 토요일 3번째 방문 인증 수단 영수증
22.9.7.수,반응 남기기 방문일 22.9.7.수 2022년 9월 7일 수요일 3번째 방문 인증 수단 영수증
22.9.7.수,반응 남기기 방문일 22.9.7.수 2022년 9월 7일 수요일 2번째 방문 인증 수단 영수증
22.9.7.수,반응 남기기 방문일 22.9.7.수 2022년 9월 7일 수요일 1번째 방문 인증 수단 영수증
22.10.15.토,반응 남기기 방문일 22.10.15.토 2022년 10월 15일 토요일 1번째 방문 인증 수단 영수증
22.10.9.일,반응 남기기 방문일 22.10.9.일 2022년 10월 9일 일요일 2번째 방문 인증 수단 영수증
22.6.10.금,음식이 맛있고 가성비도 좋고 주인분이 서비스도 잘 줘요
