date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
24.12.19.목,사장님이 시골어머님같고 말추어탕맛이좋아요 김치직접담근김치 도 환상 입니다
23.12.22.금,회사 근처에 있길래 몸보신 겸 갔는데 넘 맛있게 잘 먹고 왔습니다! 냄새도 안 나고 맛있어요!
24.8.12.월,반응 남기기 방문일 24.8.12.월 2024년 8월 12일 월요일 1번째 방문 인증 수단 영수증
22.10.17.월,쌀쌀한 날씨에는 추어탕이 좋죠 ^^ 매콤하고 수제비도 들어있습니다 ㅎ
23.7.10.월,반응 남기기 방문일 23.7.10.월 2023년 7월 10일 월요일 1번째 방문 인증 수단 영수증
23.1.30.월,반응 남기기 방문일 23.1.30.월 2023년 1월 30일 월요일 1번째 방문 인증 수단 영수증
22.9.30.금,김치가 좀 짜고 맵지만 사장님은 친절해요
22.7.6.수,할머니 혼자 운영하시는 곳인데 추어탕 맛있습니다!
22.8.29.월,반응 남기기 방문일 22.8.29.월 2022년 8월 29일 월요일 2번째 방문 인증 수단 영수증
22.5.30.월,반응 남기기 방문일 22.5.30.월 2022년 5월 30일 월요일 1번째 방문 인증 수단 영수증
22.5.27.금,반응 남기기 방문일 22.5.27.금 2022년 5월 27일 금요일 1번째 방문 인증 수단 영수증
22.5.24.화,반응 남기기 방문일 22.5.24.화 2022년 5월 24일 화요일 1번째 방문 인증 수단 영수증
22.5.10.화,반응 남기기 방문일 22.5.10.화 2022년 5월 10일 화요일 1번째 방문 인증 수단 영수증
22.2.26.토,반응 남기기 방문일 22.2.26.토 2022년 2월 26일 토요일 1번째 방문 인증 수단 영수증
22.4.15.금,반응 남기기 방문일 22.4.15.금 2022년 4월 15일 금요일 1번째 방문 인증 수단 영수증
20.11.4.수,사장님이 정말 친절하세요.
20.12.10.목,반응 남기기 방문일 20.12.10.목 2020년 12월 10일 목요일 1번째 방문 인증 수단 영수증
20.9.25.금,반응 남기기 방문일 20.9.25.금 2020년 9월 25일 금요일 1번째 방문 인증 수단 영수증
20.9.25.금,반응 남기기 방문일 20.9.25.금 2020년 9월 25일 금요일 1번째 방문 인증 수단 영수증
20.9.25.금,반응 남기기 방문일 20.9.25.금 2020년 9월 25일 금요일 1번째 방문 인증 수단 영수증
20.9.25.금,반응 남기기 방문일 20.9.25.금 2020년 9월 25일 금요일 1번째 방문 인증 수단 영수증
20.2.11.화,반응 남기기 방문일 20.2.11.화 2020년 2월 11일 화요일 1번째 방문 인증 수단 영수증
