date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
5.26.월,오랜만에 가도 여전히 완맛이었다! 리코타치즈 샐러드 양도 많고 신선함! 치즈와 견과류 토핑까지 매우 만족! 꾸덕하면서 토마토와 크림 조합 최고! 크림 리조또 말모말모 허겁지겁 너무 맛있게 싹 비운 식사! 대만족 🧡
10.15.수,반응 남기기 방문일 10.15.수 2025년 10월 15일 수요일 6번째 방문 인증 수단 영수증
4.16.수,파스타 좋아하는 아이와 방문했습니다. 매장이 청결하고 음식도 깔끔하고 정갈하네요. 잘 먹었습니다.
8.11.월,반응 남기기 방문일 8.11.월 2025년 8월 11일 월요일 5번째 방문 인증 수단 영수증
4.21.월,맛도리에요 굿굿 샌드위치랑 커피 궁합도 좋네요👍
3.27.목,혼밥하러 가서 클럽샌드위치랑 커피 시켰어요 클럽 샌드위치 베이컨이 들어갈 줄 알앗는데 대신 햄이랑 치킨이라 건강한 맛이구 아메리카노 할인 받아서 먹었어요 가성비 괜찮아요
3.15.토,반응 남기기 방문일 3.15.토 2025년 3월 15일 토요일 3번째 방문 인증 수단 영수증
24.9.4.수,"아이가 잘 먹어요. 가격도 부담없고. 라코타 토마토 스파게띠와 비프갈릭 리조또 맛있어요. 단점은, 재료가 금방 떨어져서 문을 빨리 닫아요."
24.9.4.수,커피랑 샌드위치가 맛있어요 굿굿~~~
24.9.20.금,가격 짱 분위기 짱 맛짱
24.9.6.금,바질치킨 샌드위치는 언제 먹어도 맛있어요🤗
24.10.8.화,매장이 소리가 울리는데 아줌마들이 너무 시끄럽고 음식 나오는데 오래걸려요 샌드위치 받는데 25분넘게걸림. 맛도 별로에요. 서브웨이가 나음
24.6.24.월,샌드위치가 급 땡겨서 지나가는길에 들렀는데 세상에.. 너무 맛있어요...!!! 사장님 혼자서 계산하시고 음식하시고 다 하시던데 이렇게 퀄리티 좋은 음식이라니 시간나면 또 가고싶어요
24.4.24.수,딸기블루베리생과일주스4.5 그릴드치즈아보카도샌드위치7.8 클럽샌드위치7.4  주스를 저렇게 많이 생과일로 갈아 주시고 4.5이면.. 남는게 있을까요?!!..정성가득 양듬뿍 잘먹었습니다~~ 자주 들릴게요^^
24.7.24.수,여기 단골될것 같아요.. 너므 맛있어요
24.8.19.월,반응 남기기 방문일 24.8.19.월 2024년 8월 19일 월요일 1번째 방문 인증 수단 영수증
