date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
9.13.토,운좋게 웨이팅이 없었어요 맛있네요😋
5.23.금,"관광객들이 줄서서 사먹길래 한번 사본 버터샌드ㅋㅋㅋ 단단하게 설탕코팅된 과자 안에 버터가 엄청 부드러운데, 얼려먹으면 맛있습니다. 한번쯤 먹어볼만하고 패키지가 예뻐요."
1.22.수,"일하러 성수에 들렀다가 가게 외관을 보고 우연히 들렀는데요, 버터샌드? 맛있겠는데?하고 들어가서 도너츠 하나와 크림 브륄레 버터샌드 한박스 사왔어요! 매장은 곧 이전을 준비한다고해서 뭔가 어수선하고 그랬고, 도너츠는 별로 였고 버터샌드는 겉에 달고 바삭하고 버터는 부드럽고 맛있었네요ㅎ 딱 한번 먹어볼만한 정도?"
5.31.토,여기 꽂혀서 엄청 먹으러 갔오요. 크림브륄레를 원래 좋아하는데 피넛도 맛있어요! 근데 가끔은 카드가 두개회사만 된다고해서 송금해야하고 불편사항이 있고 직원이 한국인이 아니라 한국말 잘 안되는 경우도 있고 불편함은 있엇지만 너무 맛있어서 여기빠져서 6개월동안 20번은 사먹은듯요!!
7.19.토,반응 남기기 방문일 7.19.토 2025년 7월 19일 토요일 1번째 방문 인증 수단 영수증
3.23.일,지쳐있을때 먹어서 너무 맛있었어요!
3.2.일,피넛크림이 유명한 것 같아요 피넛버터 좋아하면 가서 드세요
