date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""건강한 맛이에요""",이 키워드를 선택한 인원
9.15.월,반응 남기기 방문일 9.15.월 2025년 9월 15일 월요일 1번째 방문 인증 수단 영수증
2.10.월,"인생 동태탕 과 반찬 맛집을 경험하고 온 금남시장맛집 금남시장밥집 - 바다양푼이동태탕 성동금호점  • 섞어탕 (동태+알+곤이) (10,000원) ×2 • 알사리 (5,000원) • 공기밥 (1,000원) ×2 (식사 1개 당 기본으로 밥 한 공기 가 제공되지만 우리는 각각 인당 두 공기씩 먹어서 추가 ㅋㅋㅋㅋ)  맛보고 왔는데 반찬이 너무 맛나서 반찬 만으로 이미 밥 한 공기 뚝딱~!!!!  동태탕도 너무 시원한게 맛났습니다~!!!!  사장님도 엄청 친절하셔서 기분 좋은 한 끼 맛보고 왔습니다~!!!!"
9.24.수,반응 남기기 방문일 9.24.수 2025년 9월 24일 수요일 26번째 방문 인증 수단 영수증
1.7.화,"와 동네 살면서 맛집을 이렇게나 늦게 발견했다니요!! 요즘같이 추운 날씨 만원의 가성비에 뜨끈한 섞어탕을 맛볼 수 있어 좋았네요. 향긋한 미나리향에 부드러운 알과 동태살, 고소한 곤이까지 완벽 ㅠㅠ 그리고 겉절이 김치가 엄청 맛있었어요!!❤️❤️"
2.12.수,"인생 동태탕이라 말할수 있는 맛집이에요~ 엄마가 끓여주신것처럼, 자극적이지않으면서도 맛나요^^ 텁텁하지않고 개운? 양도 넉넉하고, 미나리도 듬뿍 넣어주셔서 2끼 먹었어요 ㅎㅎ 오늘은 식사시간이 안맞아서 포장해왔지만, 담엔 매장에서 밑반찬들과 함께 먹어보고 싶어요~"
