date,content
"""술이 다양해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""파티하기 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
7.7.월,"위스키 좋아하는 친구랑 방문했습니다. 다양한 위스키 종류가 있어서 같이 간 친구는 정말 좋아하더라구요. 바텐더 분께서 주류 추천도 잘 해 주시고, 재밌고 친절하셔서 즐거운 시간을 보낼 수 있었습니다. 하이볼도 넘 맛있었어요ㅎㅎ"
24.11.22.금,친구덕분에 방문했는데 가게 분위기 너무 좋고 사장님께서 친절하시고 위스키에 대해 자루아시고 추천잘해주셔서 즐거운 시간 보냈습니다. 칵테일 좋아하시는 분들도 데이트로 많이오시네요!
4.25.금,반응 남기기 방문일 4.25.금 2025년 4월 25일 금요일 1번째 방문 인증 수단 영수증
24.8.10.토,"위스키 좋아하시는 분들이시라면 여기는 꼭 방문해보세요💖 다른 곳에서는 보기 힘든 귀한 라인업에,, 사장님께서 위스키에 정말 진심이시라 추천해주시는 거는 무조건 너무 맛있구요 갈때마다 늘 새롭게 맛있는 술 마시면서 행복한 시간 보냅니다..다음달에 또 갈게요~~🥰🥃"
24.11.22.금,친절한 사장님 덕에 좋은 시간 보내고 갑니다 ㅎㅎ
24.12.5.목,사장님이 위스키에 대한 경험치가 높고 설명을 잘 해주셔서 갈 때마다 좋은 시간 보내고 옵니다~ 서비스도 베리 굿!!
