date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
24.12.27.금,왕십리역 만두맛집 백남옥달인손만두 왕십리점❣️ 포장하려고 기다리는데 난로도 켜주시고 너무 친절해요 다른집보다 이집만두가 유달리 더 실하고 맛있어요👍🏻
3.22.토,만두 먹고 싶다더니 집에 오는길에 보이는곳에서 사왔다고…근데 먹으면서 잡내가 난다더니 몸이 가렵고 뭐가 올라와서 고생. 짝꿍과는 안맞는 집인듯함.
3.4.화,왕만두 맛있고 친절해요
24.10.17.목,가끔 일차로 끝낼때 여기를 꼭 들러요! 2차 가기는 배부르고 일차로만 끝내기는 아쉬울때 들르는곳인데 밖에 테이블이 있어서 분위기도 좋고 만두랑 오뎅이 맛있어요! 또 들를께요~친절하신 사장님^^
24.12.2.월,반응 남기기 방문일 24.12.2.월 2024년 12월 2일 월요일 3번째 방문 인증 수단 영수증
24.12.7.토,찐빵이 짱 커요
24.11.5.화,칫과갈때 가는 맛있는 만두 찐빵집
24.11.29.금,반응 남기기 방문일 24.11.29.금 2024년 11월 29일 금요일 1번째 방문 인증 수단 영수증
5.2.금,반응 남기기 방문일 5.2.금 2025년 5월 2일 금요일 1번째 방문 인증 수단 영수증
24.10.28.월,간식으로 먹기에 좋아요
24.12.5.목,맛있게 잘 먹었어요
24.11.23.토,반응 남기기 방문일 24.11.23.토 2024년 11월 23일 토요일 2번째 방문 인증 수단 영수증
24.5.9.목,땡초만두가 생각보다 맛있네요 엄청 맵진 않은데 뒤에 살짝 알싸함이 올라와요 새우만두도 나름 새우가 큰 편이구요🥟
24.11.21.목,반응 남기기 방문일 24.11.21.목 2024년 11월 21일 목요일 1번째 방문 인증 수단 영수증
24.6.2.일,만두피가 얇고 만두속이 잘 베어있어서 맛있어요
24.6.27.목,술빵 먹고싶어 사다 먹었어요
24.4.18.목,지나가다가 먹었는데 맛있어요 김치만두!
24.9.12.목,반응 남기기 방문일 24.9.12.목 2024년 9월 12일 목요일 1번째 방문 인증 수단 영수증
24.5.9.목,포장전문점이고 가성비 좋아요.
24.4.9.화,추억에옥수수 막걸이 술빵 미쳤어요 너무너무 맛있어요 오늘두 술빵에 커피
24.4.9.화,찐빵 맛있어요 !!!! 만두도 다음에는 먹어보려구요
24.6.18.화,반응 남기기 방문일 24.6.18.화 2024년 6월 18일 화요일 1번째 방문 인증 수단 영수증
24.6.8.토,반응 남기기 방문일 24.6.8.토 2024년 6월 8일 토요일 1번째 방문 인증 수단 영수증
23.7.16.일,감자피 김치만두 쫄깃쫄깃 맛있어요~ 왕만두도 먹을만해요. 짜거나 자극적이지 않아 집만두 같아요. 다음번엔 찐빵이랑 일반 김치만두 먹어볼게요!
24.8.23.금,반응 남기기 방문일 24.8.23.금 2024년 8월 23일 금요일 1번째 방문 인증 수단 영수증
24.5.2.목,반응 남기기 방문일 24.5.2.목 2024년 5월 2일 목요일 10번째 방문 인증 수단 영수증
24.3.18.월,반응 남기기 방문일 24.3.18.월 2024년 3월 18일 월요일 2번째 방문 인증 수단 영수증
