date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
7.3.목,반응 남기기 방문일 7.3.목 2025년 7월 3일 목요일 1번째 방문 인증 수단 영수증
4.20.일,산책하다 들렸어요~ 리치 라떼는 꼬습고 아메리카노는 메가와 백다방 사이 정도 되는거 같아요~ 잘마셨습니다~
5.17.토,백억리치라떼 맛있어서 자주 먹게되네요~
7.13.일,1리터 커피 사랑해요
5.6.화,24시간 영업이라 새벽에 한잔 하기 좋내요 커피 향이 좋고 시원합니다
6.3.화,딸기라떼 진짜 너무 맛있어요! 알바생 짱 친절하고 음료진짜 빨리 나왔어요~~ 종종 이용할게요😊
6.2.월,반응 남기기 방문일 6.2.월 2025년 6월 2일 월요일 1번째 방문 인증 수단 영수증
5.11.일,산책하며 커피 수혈! 굿뜨
7.5.토,백억커피 팝콘 진짜 좋아하는데 여기는 만든지 좀 됐는지 다른지점이랑 느낌이 좀 달라서 아쉽ㅜㅜ
10.6.월,반응 남기기 방문일 10.6.월 2025년 10월 6일 월요일 1번째 방문 인증 수단 영수증
4.28.월,사람많으면 나가라해요 카운터에서 아무말없길래 주문다했는데ㅠㅠ 이런곳첨입니다...^^;
4.20.일,가게죽이는알바 주말세벽근무하네요 불친절하고 기본서비스조차 없는 알바 때문에 이용에 불편하고 사장님께 꼭전하고 싶네요 알바도 잘뽑아야 가게운영에도 도움될거같습니다
5.30.금,좋아요 ㅎㅎㅎ 짱!
1.6.월,생 딸기우유가 친절하고 월요일 오전알바가 신선해요😆 메뉴 추천 잘 해주셔서 좋습니다. 또 방문 할게요!
4.26.토,반응 남기기 방문일 4.26.토 2025년 4월 26일 토요일 1번째 방문 인증 수단 영수증
1.24.금,팝콘이 너무좋아요 굿굿
3.2.일,반응 남기기 방문일 3.2.일 2025년 3월 2일 일요일 2번째 방문 인증 수단 영수증
24.8.17.토,메뉴가 다양해서 아이들과 가기 좋았어요 직원분도 너무 친절하고 아이들 먹으라고 팝콘도 서비스로 주시더라고요 결국 팝콘이 너무 맛있어서 큰거 한통 사서 먹었네요 ㅎㅎ 핫도그도 칠리치즈랑 플레인 시켰는데 칠리치즈 존맛이라며 애들이 흡입했어요 게다가 남편이 시킨 민트초코가 진짜 맛있었어요~~^^ 왕십리 갈때 또 들리고 싶네요~~♥
3.17.월,반응 남기기 방문일 3.17.월 2025년 3월 17일 월요일 1번째 방문 인증 수단 영수증
2.13.목,처음 방문했는데 사장님도 친절하시고 커피도 맛있어요 ~^^
4.4.금,반응 남기기 방문일 4.4.금 2025년 4월 4일 금요일 1번째 방문 인증 수단 영수증
24.11.30.토,백억부자를 꿈꾸며 백억커피 🐸
24.11.8.금,백억커피가 헬스장근처에 있어서 좋아요
1.28.화,"포장주문했는데, ""아이씨 포장이야""라고 다 들리게 말하는 직원분들 기분이 안좋네요"
24.12.27.금,이른 아침에도 친절하세요
24.10.26.토,무난하게 맛있어서 좋아용
3.18.화,반응 남기기 방문일 3.18.화 2025년 3월 18일 화요일 1번째 방문 인증 수단 영수증
2.3.월,반응 남기기 방문일 2.3.월 2025년 2월 3일 월요일 1번째 방문 인증 수단 영수증
24.11.1.금,자주 마시는 커피집이에요 양도 많지만 샷이 진해서 좋아요
24.9.7.토,백억커피에는 처음 가봤는데 고소한 팝콘향이 솔솔나서 영화관에서 커피마시는 느낌이 들어 좋았어요! 매장 내는 넓진 않으나 오순도순 애기하긴 괜찮았던거 같아요. 망고우유는..😅😅
24.9.15.일,24시간인데요. 뭔가 낮과 밤이 맛이 다른 느낌이에요 ㅋㅋ 아이스아메리카노 기준인데 낮엔 맛있고 새벽엔 살짝 맛이 달라요. 밤엔 살짝 퀄이 떨어지는느낌 그래도 이 가격에 24시간인점을 감안하면 99점입니다
24.10.3.목,백억커피 헬스가기 전 최고의 선택
7.26.토,반응 남기기 방문일 7.26.토 2025년 7월 26일 토요일 1번째 방문 인증 수단 영수증
24.11.12.화,가게 바로 옆입니다. 직원들하고 거의 매일 픽업해서 브레이크 타임때 즐겨마십니다
24.7.11.목,새로 생겨서 깨끗하고 좋네요. 테이블 많지는 않아도 세자리 정도 있구요. 오픈기념으로 주시는 팝콘이 생각보다 맛있네요ㅋㅋ 팝콘 안좋아하는데 거의 다 먹었어요. 약속전 잠깐 대기할 목적이었는데 만족합니다.
24.8.3.토,처음 방문했는데 매장도 쾌적하고 사장님도 친절하고 저렴한데 다른 매장들과는 다르게 커피가 굉장히 맛있어요!! 망고빙수도 맛있고 팝콘도 너무 맛있습니다! 아망추는 망고 조금 녹여 먹으라고 하셨는데 집와서 또 생각나는 맛이라 담에 또 먹어야겠습니다 ㅎㅎ
24.9.28.토,헬스장 옆이라 접근성이 좋고 24시간 좋아요
24.9.1.일,주말 직원분 친절하십니다
24.5.25.토,팝콘냄새가 너무 좋아서 홀리듯이 들어갔어요!! 영화관 저리 가라 정도로 팝콘 맛있어요 아이스 아메리카도 엄청 고소하고 탄 맛 전혀 없어서 좋았습니다 ㅎㅎ 홀도 꽤 넓고 깨끗해서 자주 갈 예정이에요
24.7.31.수,고소한 맛이 나는 아메리카노 좋았어요
