date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""코스요리가 알차요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
9.29.월,"고기 듬뿍! 김치찌개라 쓰고 돼지천국이라 읽는다! 밥 두 공기 순삭, 국물까지 클리어한 건 안 비밀~ 오늘 저녁은 내가 아니라 김치찌개가 주인공이었다 ✨🥘 양도 많고 친절하시고 최고에요!"
8.16.토,"금남시장에서 꽤 오랫동안 영업중인 김치찌개집. 다들 알다시피 프랜차이즈이지만 여기 사장님이 매장관리를 끝장나게하신다. 테이블,선반 등 모든 스댕(?)기물들은 빤딱빤딱 빛이 날 지경ㅋ 김치찌개와 계란말이 세트를 시켜 소주 한잔하면 하루 피로가 싹 풀리는 집. 배달도 완전 깔끔하게 보내줘요~ 참,처음에는 사장님이 무서워보일수 있는데ㅋㅋ 완전 츤데레스타일이세요~"
9.21.일,시켜만 먹다가 처음으로 와서 먹어봤는데 가게에서 먹는게 최고네요 매장도 깔끔하고ㅎㅎㅎ 백채 금호점이 압도적으로 맛있습니다
8.23.토,고기가 큼직큼직해요! 완전 크게 두덩어리로 잇구 ㅎㅎ 2인세트 먹으면 계란말이랑 라면사리도 있어서 딱 좋아요!! 엄청 입맛 돌게 맛있어요 밥 두그릇 뚝닥!!!
9.15.월,친절하시고 노래고 좋고 김치찌개 맛잇어요 !! 강추👍👍
8.1.금,김치찌개 맛있게 먹었어요. 돼지고기가 부드럽고 육즙이 좋아요. 오늘은 만두탕수랑 계란말이 사이즈로 먹었습니다. 신메뉴 만두탕수는 달콤하고 계란말이는 부드럽고 풍성합니다. 사장님도 너무 친절하시고 위생관리 좋아요. 김치찌개 드시고 싶다면 강추합니다! !
8.9.토,한끼 든든하게 잘 먹었습니다!! 감사합니다
7.27.일,김치찌개2인 셋트로 드세요ㅎ 계란말이 넘 맛있고 찌개도 담백하면서 내용물이 가득이네요.. 맛집 추천합니다..ㅎㅎ 언능 먹어야지.. 참고로 사장님 왕 친절이십니다..^^
9.2.화,고기 양도 많고 맛있어서 자주 먹어용
7.27.일,돼지고기 정말 맛있어요~ 저녁한끼 뚝딱하기 좋아요!
8.10.일,최애 김치찌개집 동네에 있어서 너무 좋아요 김가루에 김치찌개 조합이 최고랍니다 맛있어서 한번 먹고 단골됐습니다
6.30.월,지나가다가 배고파서 들어갔는데 역시 맛있네요 친절하시고 성동구오면 또올것같아요
10.18.토,양 많고 맛있어요 ㅎㅎ
9.6.토,금호동 최고의 김치찌개집 추천합니다
8.26.화,김치찌개는 여기서만 먹어요. 맛있어요.
9.12.금,종종 오는데 올때마다 맛있어요!!
6.30.월,백채김치찌개는 믿고 먹습니다 금호역점은 최우수지점으로 선정된 곳이니 더 남다릅니다 친절하시고 깔끔한 내부! 혼밥도 추천합니다
6.18.수,"동료들과 점심 먹으러 다녀왔어요. 찾을 때마다 반갑게 맞이해주시는 사장님 부부 입니다. 신선한 고기맛이 부드럽고 묵은지 김치맛이 끝내줍니다. 추운 겨울에 따끈한 김치찌게도 좋고, 에어콘 바람때문에 냉한 속을 따뜻하게 데워주어서 여름별미이기도 합니다. 오늘은 특별히 고추튀김 먹었어요. 금호점에만 있는 맵지 않은 고추에 속 꽉찬 튀김 맛있어요 한번 드셔보세요. 다음에는 뚝배기불고기도 먹어 볼게요."
6.9.월,직장이 근처일때 자주 다니던 음식점이에요~ 일 그만두고 가지를 못했었는데 오늘 이쪽에 볼일이 있어 오랜만에 방문하게 되었는데 새로운 메뉴가 생겼더라구요~ 요즘 제가 다이어트중이라 먹는양이 많이 줄어서 많이 못먹는다고 사장님께 말씀드렸더니 알맞는 메뉴를 선정해주셔서 너무 좋았구요~ 그때나 지금이나 늘 친절하시고 반찬도 깔끔하고 매장내가 너무 깔끔해서 좋은곳이에요~ 음식맛도 최고입니다!!~ 직화불고기 새로생긴 메뉴인데 정말 정말 맛있게 먹었어요~👍👍  사장님!! 맛있는 음식 해주셔서 정말감사합니다!!~🙇 번창하세요!!~🫶
8.18.월,고기 양이 많아서 좋고 사장님이 매우 친절합니다!
5.20.화,다른음식점보다 푸짐하고 가격도 착해요 저희는 2인세트로 먹었는데 만족했어요 ~^^
4.29.화,금호역에서 점심으로 방문하기 괜찮은 김치찌개 집입니다. 김치찌개는 물론 달걀 말이랑 햄구이도 괜찮아요. 대접 밥에 밥 먹으면 든든하게 점심 먹을 수 있습니다.
3.25.화,김치찌개 먹고 싶어서 방문했는데 양도 푸짐하고 맛있어요!  무엇보다 돼지고기가 짱짱하게 들어가있어서 너무 좋았습니다 😆  요즘 물가도 비싼데 이 가격에 이런 퀄리티라니 강추합니다 👍🏻
5.11.일,3인시켜먹었는데 너무 맛있어요 건장한 남자3명이와서 배부르게먹었어요 사장님이 너무 스타일있어요 맛도좋고 기분도 좋네요!!
7.15.화,항상이용하는 곳인데 김치찌개 너무 맛있습니당~ 사장님도 친절하세요
6.11.수,33000원에 김치찌개 계란말이 음료면 괜찮은가 싶다가도 김치찌개 고기가 너무 별로라 재방문 의사는 없습니다. 사장님이 김도 너무 아끼시고 먹는 내내 더달라 그러는데 눈치보여 혼났네요.
5.25.일,"가성비와 맛, 양까지 따진다면 무조건 백채김치찌개 집이죠,,, 집밥이 생각날때 가는 곳!!"
5.7.수,금호동 점심 맛집 양이 많아 각오하고 오셔야합니다. 진짜 맛있어요👍
4.11.금,집에서 먹는 김치찌개보다 더 맛나네요. 저도 30년차 주부라서 김치찌개는 맛좀 내는데 여기가 더 맛나요. 특히 김치찌개 돼지고기가 맛있어서 사장님께 물어봤더니 한돈 국내산 돼지고기 넣는다고 하대요. 요즘 왠만하면 수입산중에서도 필리핀등 낮은 품질을 사용하는데 여기는 찐 국내산 고기맛이 와요. 별피로 계란말이도 더불어 강추합니다.
5.23.금,김치찌개 너무 맛있어서 남은 찌개 포장하고 싶었는데 안된다고 하셔서 아쉬웠어요.
5.21.수,"사장님도 친절하시고, 직접 담그신 김치로 만드셔서 그런지 맛있어서 밥 2그릇 먹었슴다 :)"
4.21.월,일주일 내 2번째 방문입니다..! 다음주에 신메뉴 나온다고 해서 또 올 생각입니다잇 잘먹었슺니다🔥🔥🐷
6.1.일,정말 가본 백채중에 제일 맛있어요 벌써 여러번 방문 가족들이 정말 좋아합니다 사장님도 친절하시고 양도 많아요 라면이 정말 다른곳과 차이납니다 라면 꼭꼭 여러개 넣어드세요  :)
6.14.토,지인추천으로 오게 된 식당인데 오랫만에 먹는 김치찌개 너무 맛있게 잘 먹었습니다. 다음에 또 오고싶어요.
5.7.수,주기적으로 오는 김치찌개집이에요!! 사장님도 친절하시고 고기양도 많고 넘 맛있어요💘💘💚
4.20.일,양 진짜 많고 다른 지점보다 훨씬 맛있어요!
6.3.화,너무 맛잇게 잘먹었습니다~
4.11.금,자주 방문 하는곳이고 사장님 께서 너무너무 친절하시고 맛도최고 무엇보다 청결해서 매우 만족합니다^^ 계속 이용할것 같아요 😂
7.21.월,너무 잘 먹고 갑니다 :)
4.9.수,진짜 냄새부터 맛 양 친절 청결 완벽해요  프렌차이즈라고 다 같은 맛 안나요  고기도 김치도 국물도 !! 푹 진국
7.14.월,넘 맛있고 가성비 짱인 집ㅎㅎ
5.11.일,양이 많아요 추천!
8.10.일,반응 남기기 방문일 8.10.일 2025년 8월 10일 일요일 1번째 방문 인증 수단 영수증
6.3.화,점심으로 먹기 정말 좋고 맛있습니다! 강추드립니다!
3.31.월,너무너무 맛있게 먹었습니다!! 고기도 엄청 쫄깃한게 신선하고 양도 푸짐하고 멀리 여행갔다가 김치찌개가 너무 먹고싶었는데 맛있게 잘먹었습니다👍
5.10.토,최고의 해장을 위한 선택 맛있습니다
5.11.일,칼칼하고 맛있어요! 밥이 찰집니다!
4.19.토,종종 매장에 먹으러와여 :)!! 구성도 알차고 맛도 진짜 최곱니다 싹싹 다 먹고 가요😋 그리고 사장님도 너무 친절하세여👍 음료수 감사해요🥰음식도 빨리 나오구 매장도 깨끗해요~!! 담에 또 갈게요!
6.2.월,정말 맛있고 사장님이 친절하세요!
4.6.일,"처음 와봤는데 고기도 좋은 거 통으로 주시고, 양이 많은 편이에요! 푸짐하고 맛있고, 사장님도 친절하세용!"
1.11.토,ㅠㅠ 너무 배고팠어서 사진 없이 와구와구 하느라 ㅠㅠ 너무너무 맛있게 먹었어요  영수증 리뷰시 음료 주신다 하여 결제하고 리뷰작성하겠다 하니 다짜고짜 처음에 사진 안찍지않았냐 다 먹어놓고 무슨 리뷰를 쓰냐 하시더니 옆 다른 테이블의 남은 찌개냄비라도 찍어 올라라고..  같이 간 친구가 2천원 그냥 내고 콜라 먹자고...  맛있게 잘 먹고 리뷰 약속으로 콜라 한마디 건넸다가 다신 여기 안오겠다 친구랑 여러번 얘기하고 나왔네요ㅠ
6.3.화,반응 남기기 방문일 6.3.화 2025년 6월 3일 화요일 1번째 방문 인증 수단 영수증
5.28.수,고기가 매우 신선하고 맛있게 잘 먹었습니다. 양도 많기 때문에 코스로 먹으면 세트메뉴가 충분히 맛있습니다.
