date,content
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""시설이 깔끔해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""분위기가 편안해요""",이 키워드를 선택한 인원
10.11.토,가성비 좋고 종류가 많아 좋아요^^
5.8.목,반응 남기기 방문일 5.8.목 2025년 5월 8일 목요일 1번째 방문 인증 수단 결제내역
2.3.월,결제 후 카드 꼭 챙겨가세요~ㅎㅎ
24.10.31.목,사장님 감사합니다. 번창하세요~~ㅎ
24.10.22.화,"저번에 체크카드를 꽂아 두고 가서 다른사람이 이용했는데, 사장님께서 환불해주셨습니다. 그러면서 제가 카드분실 되지 않게 조치좀 취해 주셨으면 좋겠다고 하니 그 후 기계에서 카드 가져가란 멘트가 나오네요. 정말 감사합니다. 자주 이용하겠습니다. 수고가 많으십니다.^^ㅎㅎ"
24.9.15.일,"제가 체크카드 놓고가서 어떤 사람이 제 카드로 결제했는데, 사장님께서 확인해보시고 환불해주심.ㅠㅠ 감동. 정말감사합니다.사장님짱.!! 종류도 다양하고 제가 좋아하는 진뜩한(?)맛 초코나카라멜 종류 많아서좋아요.자주이용하겠습니다.ㅎㅎ"
24.9.9.월,반응 남기기 방문일 24.9.9.월 2024년 9월 9일 월요일 3번째 방문 인증 수단 영수증
24.8.23.금,반응 남기기 방문일 24.8.23.금 2024년 8월 23일 금요일 1번째 방문 인증 수단 영수증
24.7.1.월,카드 두고갔는데 다른사람이 8100원 어치 쓰고 갔네요.메모라도 남기지 씁쓸합니다. 다른 무인아이스크림점은 카드 두고가지말고 가져가라고 소리가납니다. 여기도 그런 시스템이 있었으면 좋겠네요
24.6.25.화,뱅뱅 아이스크림 24.7.16.화 너무 언덕 위에있죠 ㅠㅠ 언덕 올라오신 보람 있게 항상 잘 관리할게요 💪
24.3.14.목,물건많고 항상 깔끔하게 관리되는 무인 매장이에요
24.2.3.토,이제 과자도 들어와서 종류가 엄청 많아졌어요!
24.1.22.월,반응 남기기 방문일 24.1.22.월 2024년 1월 22일 월요일 2번째 방문 인증 수단 영수증
24.1.20.토,"벤앤제리스 아이스크림✨ 아이스크림이랑 과자 종류 다양하고 엄청 많아요,, 펑리수도 있고 벤앤제리스 있는 아이스크림 가게 처음 봐요 🥳 앞으로 군것질은 뱅뱅에서,, 버스정류장 앞에 있어서 버스 기다리면서 군것질하기 너무 좋아요! 매장도 따뜻하고 엄청 깨끗해요 🫶 사장님 나중에 이벤트도 해주세요🎉"
24.1.20.토,아이스크림 과자 종류도 많고 매장도 깔끔하네요 번창하세요
24.1.16.화,처음 열어서 그런지 아직 과자는 안들어왔는데 그나마 이 동네에서 아이스크림 종류가 가장 많아요!
