date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
9.18.목,청주아재 서울살이 32번째 이야기  생각보다 원하는 타이밍에 먹고 싶은것을 먹는거 쉽지는 않다. 시간이 안맞거나 식당이 멀거나 갔더니 줄이 길거나. 오늘의 아점은 2시다. 모든 상황이 맞았다.  주로 맑은탕인데 얼큰한거는 하나다. 원래의 맛을 느낄것인가 혹시 밍밍할거를 대비해 얼큰탕으로 갈것인가. 선택해야 한다. 얼큰이다. 같이 나온 반찬들도 정갈하다. 한입들어간 얼큰 국물은 매콤하지만 깔끔한 맛이다. 사골육수를 개운하게 뽑은듯 하다. 네다섯가지 버섯 종류가 들어있는데 느타리와 팽이버섯이 주다. 버섯전골느낌은 아니지만 버섯전골의 1인메뉴화 느낌이다. 한자리에서 10년 되었다는 주인장의 뿌듯함이 보인다. 재료는 국산.중국.호주.미국산 고루 사용한다.  한줄+ 평소와 다른 것을 시도한다는 것은 신선한 자극이다
9.30.화,버섯생불고기 전골 1인분 주문안됨 2인분으로 주문해서 점심먹으러 왓는데 비주얼 미쳤어요 👍🏻 버섯집 이름처럼 다양한 버섯들이 한가득! 고기도 부드러워요 점심때라 사람도 많아요 ~ 잘먹었습니당😋
