date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""파티하기 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.19.금,급 남편 케이크사러 갔는데 센스있게 조각케이크로 멋진 홀케이크 완성해주셨네요! 아이들도 어른들도 만족할만한 맛 !! 너무 맛있어서 저도 두조각이나 먹었어요😊🥰 맛 도 모양도 정말 굿 입니다👍
9.20.토,신기한 케이크! 빅토리아케이크 요즘 핫하다고는 들었는데 처음 먹어봤어요. 파운드케이크를 워낙 좋아해서 맛있게 잘 먹었어요~~ 동생 생일이라 주문한 거였는데 예쁘기도 하고 동생뿐만 아니라 부모님도 맛있게 잘 드셨어요!(두번째 사진은 제가 케익 찾고 버스타고 어디 좀 돌아다니다가 와서 체리들이 자리이탈했어요...) 부모님 입에는 조금 달게 느껴지긴 한 모양인데 저랑 동생은 엄청 맛있게 먹었어요~~ 후기에 있는 처음먹어보는 맛인데 맛있었다!라는 게 어떤 의미인지 확 오더라구요! 사장님 설명도 친절하게 해주시고 잘 먹었습니다~~
9.13.토,케이크가 엄청 꾸덕하고 너무 맛있었어요~ 평소 먹던 맛이 아니고 조금 새로운 맛인데도 너무 맛있더라구요. 같이 판매하는 피칸 휘낭시애도 먹어보았는데 너무 맛있었습니당.. 다음에 또 이용할게요!!
