date,content
"""음악이 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""라이브공연이 훌륭해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
9.9.화,반응 남기기 방문일 9.9.화 2025년 9월 9일 화요일 3번째 방문 인증 수단 영수증
1.31.금,오랜만에 갔는데 가격이 살짝 인상됐네요 ㅋ 그래도 남자 사람은 많습니다 ㅋㅋ 2025년에도 달리세요~
1.30.목,오랜만에 갔는데 가격이 살짝 인상됐네요 ㅋ 그래도 남자 사람은 많습니다 ㅋㅋ
4.11.금,반응 남기기 방문일 4.11.금 2025년 4월 11일 금요일 3번째 방문 인증 수단 영수증
2.13.목,반응 남기기 방문일 2.13.목 2025년 2월 13일 목요일 2번째 방문 인증 수단 영수증
24.9.15.일,안산 별밤 어릴때부터 자주왔는데 나이먹고나서는 남자친구랑 데이트겸 오곤합니당 ㅎㅎ 여전히 노래도신나고 가게도 깔끔하고 재밋게 놀고오곤해용
3.9.일,반응 남기기 방문일 3.9.일 2025년 3월 9일 일요일 2번째 방문 인증 수단 결제내역
24.9.16.월,안주 퀄 낫베드~~
3.7.금,반응 남기기 방문일 3.7.금 2025년 3월 7일 금요일 1번째 방문 인증 수단 결제내역
24.8.8.목,반응 남기기 방문일 24.8.8.목 2024년 8월 8일 목요일 2번째 방문 인증 수단 영수증
24.9.18.수,그냥 불친절 그자체 빠에 있는 덩치 두명은 사장놀이중이고 엘베 앞 카운터 두명 빼곤 다 불친절해서 두번 다시는 가기 싫은곳^^
24.8.24.토,아주 좋습니다 👍👍👍
24.8.24.토,반응 남기기 방문일 24.8.24.토 2024년 8월 24일 토요일 1번째 방문 인증 수단 영수증
24.5.22.수,병맥주 먹기 좋은곳~
24.9.14.토,반응 남기기 방문일 24.9.14.토 2024년 9월 14일 토요일 1번째 방문 인증 수단 영수증
24.3.3.일,새벽에 장실 넘 더럽 ㅠ 바닥이 무슨 폐기장 수준
24.2.11.일,반응 남기기 방문일 24.2.11.일 2024년 2월 11일 일요일 1번째 방문 인증 수단 영수증
24.2.10.토,반응 남기기 방문일 24.2.10.토 2024년 2월 10일 토요일 4번째 방문 인증 수단 영수증
23.12.16.토,반응 남기기 방문일 23.12.16.토 2023년 12월 16일 토요일 3번째 방문 인증 수단 영수증
23.9.17.일,즐거운 하루가 되었어요
23.8.11.금,분위기좋고 음악도좋고 진짜 신나게놀다왔음ㅋㅋ♡
23.9.16.토,반응 남기기 방문일 23.9.16.토 2023년 9월 16일 토요일 3번째 방문 인증 수단 영수증
23.6.30.금,반응 남기기 방문일 23.6.30.금 2023년 6월 30일 금요일 1번째 방문 인증 수단 결제내역
23.5.3.수,평일은 사람이 많지않아서 여유있게 즐길 수 있어요
23.10.6.금,반응 남기기 방문일 23.10.6.금 2023년 10월 6일 금요일 2번째 방문 인증 수단 영수증
23.5.13.토,반응 남기기 방문일 23.5.13.토 2023년 5월 13일 토요일 1번째 방문 인증 수단 영수증
23.4.23.일,반응 남기기 방문일 23.4.23.일 2023년 4월 23일 일요일 1번째 방문 인증 수단 영수증
23.3.17.금,화채 맛잇네요 굿굿
23.7.21.금,반응 남기기 방문일 23.7.21.금 2023년 7월 21일 금요일 1번째 방문 인증 수단 영수증
23.7.22.토,반응 남기기 방문일 23.7.22.토 2023년 7월 22일 토요일 2번째 방문 인증 수단 영수증
22.10.29.토,옛날 갬성 노래듣고 분위기 즐기기 좋다. 다녀오면 온통 호프집냄새가...
23.3.25.토,악 좋다 👌🏻
23.3.19.일,반응 남기기 방문일 23.3.19.일 2023년 3월 19일 일요일 1번째 방문 인증 수단 결제내역
23.3.19.일,반응 남기기 방문일 23.3.19.일 2023년 3월 19일 일요일 1번째 방문 인증 수단 결제내역
22.11.12.토,진짜 갈때마다 재밌음👍👍
