date,content
"""술이 다양해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
24.5.17.금,와인 추천받아 샀어요 추천을 잘 해주세요
23.11.30.목,"와인종류도 다양하고, 저처럼 와인 잘 모르는 사람도 친절하시고 따뜻하신 사장님 부부 덕분에 편하게 고를수 있었어요^^ 편하게 앉아서 작은 소모임하기 딱 좋은 아늑한 공간도 오픈하셨더라구요 다음번 친구들 모이면 꼭 가려구요 안주도 맛있다는데 이번에 못먹어봐서 담번엔 꼭 먹어보려구요^^  글구,, 무엇보다 보틀 초이스의 마스코트! 넘 사랑스런 두 댕댕이 넘넘 이쁘고,나의 반려견도 데리고 갈수도 있어 넘 😀👍🩵 또 갈게요 사장님"
23.9.5.화,동네에 이런 보물같은 곳이 있다는걸 이제야 알았네요 완전 착한 가격의 와인과 저세상 친절함을 지닌 사장님들까지 와인을 즐기기에 더 없이 완벽한 곳입니다 와인을 마시고 싶을땐 보틀초이스!!
23.6.10.토,화이트와인 깔끔하고 맛있어요!
23.3.20.월,날씨 좋은 날 테라스에서 먹기 너무 좋아요!!!!!!!
23.5.10.수,야장이 가능한 샵!!
23.3.22.수,추천받아서 먹어보려구요 ㅎㅎ
22.9.19.월,크 회사 주변에 이렇게 좋은곳이 있다니요🧡 친구랑 함께마실 와인 추천받아서 구매했어요! 아직 마셔보지는 않았지만 뭔가 벌써부터 대만족스러운 느낌이? 제가 사고싶었던 와인이 있는거를 눈으로 보았으니 조만간 데리러 갈께요😊
22.12.24.토,반응 남기기 방문일 22.12.24.토 2022년 12월 24일 토요일 1번째 방문 인증 수단 영수증
22.8.31.수,찾아헤매이던 와인을 사장님덕분에 빠르게 구입할수 있었어요:) 짱짱 감사합니당 너무 친절하셔서 매일 가고싶은맘이에요! 자주 들를게요~~
22.8.15.월,깔끔하니 요즘 감성 제대로 인 곳이였어요 친절하게 와인설명도 잘해주셨고 사진도 너무이쁘개 잘나와서 인스타 폭풍 업로드 들거갔어요 ㅎㅎ
22.7.15.금,시음 가능하고 친절하게 추천해주세요 ㅎㅎ
22.8.16.화,와인 추천잘 받았고 맛있게먹았어요 바로 골라서 마실수 있어서 좋은것같아요 오면서 선물 용으로 몇병더 사서 감!😍
22.8.11.목,요즘 와인맛 빠져서 이것저것 마셔보고 있는데 여기 분위기도 좋고 와인한잔 하기 너무 좋은곳 발견한것같아기분이 좋네요!ㅋ
22.7.24.일,사장님! 너무 좋아요! 단골 확정!
22.7.10.일,사장님이 친절해서 좋은 술 추천해주셨어요
22.8.17.수,제가 마실 와인하나랑 선물할거 하나씩 샀어요~~ 여기 와인종류 정말 많아요 와인 좋아하는 사람들한테는 천국같은곳임 ㅋㅋㅋㅋㅋ
22.7.5.화,반응 남기기 방문일 22.7.5.화 2022년 7월 5일 화요일 1번째 방문 인증 수단 영수증
22.7.19.화,반응 남기기 방문일 22.7.19.화 2022년 7월 19일 화요일 1번째 방문 인증 수단 영수증
22.9.14.수,와인 추천 잘해주셔서 맛있게 잘먹고 가요~ 친절하게 설명도 잘해주사고 여기 완전 최고임!! 자자올거예요❤️
22.8.15.월,다른곳에 비해 와인도 저렴했던것같고 같이 먹은 음식이랑 너무 잘어울렸어요~ 너무 신나고 즐거운 시간 이였고요 여기 친절하셔서 굿!!
22.8.11.목,처음 먹어본건데 맛있어요 여기 안주 메뉴들도 좋았고요 맛있어요 시킨음식이랃 잘어울리는 와인 추천해 주셨네요😊
