date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
4.21.월,반응 남기기 방문일 4.21.월 2025년 4월 21일 월요일 1번째 방문 인증 수단 영수증
24.7.31.수,음식이 생각보다 맛은 없어요
24.9.30.월,반응 남기기 방문일 24.9.30.월 2024년 9월 30일 월요일 4번째 방문 인증 수단 영수증
24.9.12.목,반응 남기기 방문일 24.9.12.목 2024년 9월 12일 목요일 3번째 방문 인증 수단 영수증
24.1.26.금,"성동세무서 근처 맛집입니다! 살짝 고추장 베이스가 있는지 라뽂이, 떡볶이 느낌 매콤달콤 김치찌개예요! 인테리어도 꽤 멋있고 느낌있어요!"
24.6.5.수,반응 남기기 방문일 24.6.5.수 2024년 6월 5일 수요일 2번째 방문 인증 수단 영수증
24.5.24.금,반응 남기기 방문일 24.5.24.금 2024년 5월 24일 금요일 1번째 방문 인증 수단 영수증
23.12.6.수,맛있게 잘 먹었어요
24.2.16.금,반응 남기기 방문일 24.2.16.금 2024년 2월 16일 금요일 1번째 방문 인증 수단 영수증
24.2.23.금,반응 남기기 방문일 24.2.23.금 2024년 2월 23일 금요일 2번째 방문 인증 수단 영수증
23.7.7.금,반응 남기기 방문일 23.7.7.금 2023년 7월 7일 금요일 3번째 방문 인증 수단 영수증
23.6.2.금,해장하러 종종 갑니다 맛있습니다
23.12.22.금,음식이 너무 맛있어요 특히 오징어젓갈 너무 싱싱해요 근처면 자주 갈탠데 위치가 아쉬워요
23.6.2.금,반응 남기기 방문일 23.6.2.금 2023년 6월 2일 금요일 1번째 방문 인증 수단 영수증
23.3.31.금,반응 남기기 방문일 23.3.31.금 2023년 3월 31일 금요일 1번째 방문 인증 수단 영수증
23.5.8.월,반응 남기기 방문일 23.5.8.월 2023년 5월 8일 월요일 1번째 방문 인증 수단 영수증
23.4.10.월,반응 남기기 방문일 23.4.10.월 2023년 4월 10일 월요일 2번째 방문 인증 수단 영수증
23.3.10.금,반응 남기기 방문일 23.3.10.금 2023년 3월 10일 금요일 2번째 방문 인증 수단 영수증
23.4.10.월,반응 남기기 방문일 23.4.10.월 2023년 4월 10일 월요일 1번째 방문 인증 수단 영수증
23.4.10.월,반응 남기기 방문일 23.4.10.월 2023년 4월 10일 월요일 1번째 방문 인증 수단 영수증
23.4.11.화,반응 남기기 방문일 23.4.11.화 2023년 4월 11일 화요일 1번째 방문 인증 수단 영수증
22.7.20.수,양도 많고 반찬도 넉넉하고 좋습니다.
22.10.27.목,고기도 맛있고 조용해서 좋아요
22.10.12.수,반응 남기기 방문일 22.10.12.수 2022년 10월 12일 수요일 1번째 방문 인증 수단 영수증
22.11.8.화,반응 남기기 방문일 22.11.8.화 2022년 11월 8일 화요일 1번째 방문 인증 수단 영수증
22.10.13.목,반응 남기기 방문일 22.10.13.목 2022년 10월 13일 목요일 1번째 방문 인증 수단 영수증
22.10.14.금,반응 남기기 방문일 22.10.14.금 2022년 10월 14일 금요일 1번째 방문 인증 수단 영수증
22.5.19.목,반응 남기기 방문일 22.5.19.목 2022년 5월 19일 목요일 1번째 방문 인증 수단 영수증
22.3.4.금,반응 남기기 방문일 22.3.4.금 2022년 3월 4일 금요일 1번째 방문 인증 수단 영수증
21.7.26.월,반응 남기기 방문일 21.7.26.월 2021년 7월 26일 월요일 1번째 방문 인증 수단 영수증
21.5.28.금,반응 남기기 방문일 21.5.28.금 2021년 5월 28일 금요일 1번째 방문 인증 수단 영수증
21.5.26.수,반응 남기기 방문일 21.5.26.수 2021년 5월 26일 수요일 1번째 방문 인증 수단 영수증
21.1.26.화,반응 남기기 방문일 21.1.26.화 2021년 1월 26일 화요일 1번째 방문 인증 수단 영수증
20.12.3.목,반응 남기기 방문일 20.12.3.목 2020년 12월 3일 목요일 1번째 방문 인증 수단 영수증
20.5.25.월,반응 남기기 방문일 20.5.25.월 2020년 5월 25일 월요일 1번째 방문 인증 수단 영수증
