date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가격이 합리적이에요""",이 키워드를 선택한 인원
"""세트 구성이 알차요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""비주얼이 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
8.15.금,용답동 놀러올 때 용답시장 떡집 이곳 저것 구매합니다. 금방 나온 떡을 만나면 뜨끈 뜨끗 맛 굿굿~^^♡ 모바일 온누리 상품권이 안되서 아숩다.
2.6.목,간단한 디져트.. 딱 좋아요~
24.12.13.금,반응 남기기 방문일 24.12.13.금 2024년 12월 13일 금요일 1번째 방문 인증 수단 영수증
24.11.17.일,떡이 좀 오래 되었나봐요… 딱딱한게 있더라구요
24.9.16.월,반응 남기기 방문일 24.9.16.월 2024년 9월 16일 월요일 34번째 방문 인증 수단 영수증
24.8.21.수,반응 남기기 방문일 24.8.21.수 2024년 8월 21일 수요일 8번째 방문 인증 수단 영수증
24.8.3.토,반응 남기기 방문일 24.8.3.토 2024년 8월 3일 토요일 7번째 방문 인증 수단 영수증
24.7.17.수,18:30정도에 샀는데 감자떡 윗부분이 말라있었어요ㅠ
24.6.27.목,반응 남기기 방문일 24.6.27.목 2024년 6월 27일 목요일 4번째 방문 인증 수단 영수증
24.6.1.토,반응 남기기 방문일 24.6.1.토 2024년 6월 1일 토요일 7번째 방문 인증 수단 영수증
24.6.1.토,반응 남기기 방문일 24.6.1.토 2024년 6월 1일 토요일 6번째 방문 인증 수단 영수증
24.5.24.금,반응 남기기 방문일 24.5.24.금 2024년 5월 24일 금요일 6번째 방문 인증 수단 영수증
24.5.24.금,반응 남기기 방문일 24.5.24.금 2024년 5월 24일 금요일 5번째 방문 인증 수단 영수증
24.2.9.금,반응 남기기 방문일 24.2.9.금 2024년 2월 9일 금요일 33번째 방문 인증 수단 영수증
24.1.5.금,찰떡 맛집이에요!! 쫀득쫀득 맛있어요~~
23.12.23.토,반응 남기기 방문일 23.12.23.토 2023년 12월 23일 토요일 5번째 방문 인증 수단 영수증
23.12.23.토,반응 남기기 방문일 23.12.23.토 2023년 12월 23일 토요일 4번째 방문 인증 수단 영수증
23.12.10.일,반응 남기기 방문일 23.12.10.일 2023년 12월 10일 일요일 1번째 방문 인증 수단 영수증
23.11.11.토,반응 남기기 방문일 23.11.11.토 2023년 11월 11일 토요일 32번째 방문 인증 수단 영수증
23.11.11.토,반응 남기기 방문일 23.11.11.토 2023년 11월 11일 토요일 3번째 방문 인증 수단 영수증
23.10.29.일,반응 남기기 방문일 23.10.29.일 2023년 10월 29일 일요일 31번째 방문 인증 수단 영수증
23.10.12.목,추석 때도 콩 떡이랑 식혜 사서 맛있게 먹었고 몇일전 또 가서 콩 떡이랑 식혜 사 와서 맛있게 잘 먹었습니다. 또 사러 갈게요. 맛있게 잘 먹었습니다. 감사합니다.
23.9.28.목,반응 남기기 방문일 23.9.28.목 2023년 9월 28일 목요일 1번째 방문 인증 수단 영수증
23.8.27.일,떡 관리를 잘 해야 할것 같아요
23.8.19.토,반응 남기기 방문일 23.8.19.토 2023년 8월 19일 토요일 1번째 방문 인증 수단 영수증
23.7.8.토,용답동에서 제일 맛있는 떡집
23.7.7.금,반응 남기기 방문일 23.7.7.금 2023년 7월 7일 금요일 1번째 방문 인증 수단 영수증
23.6.29.목,반응 남기기 방문일 23.6.29.목 2023년 6월 29일 목요일 2번째 방문 인증 수단 영수증
23.6.24.토,조아요 가보세요 맛있어요 후회하지않나요 옆에있는 떡집 보다는 조금비싸요
23.6.11.일,반응 남기기 방문일 23.6.11.일 2023년 6월 11일 일요일 1번째 방문 인증 수단 영수증
23.6.9.금,반응 남기기 방문일 23.6.9.금 2023년 6월 9일 금요일 29번째 방문 인증 수단 영수증
23.5.14.일,반응 남기기 방문일 23.5.14.일 2023년 5월 14일 일요일 28번째 방문 인증 수단 영수증
23.5.13.토,찰떡 종류도 많고 1개만 먹어도 든든하고 진짜 맛있어요.
23.5.12.금,등산 갈 때 얼린 찰떡을 가지고 가서 먹었더니 정말 든든하고 먹기도 좋았네요.
23.4.23.일,반응 남기기 방문일 23.4.23.일 2023년 4월 23일 일요일 27번째 방문 인증 수단 영수증
23.4.19.수,반응 남기기 방문일 23.4.19.수 2023년 4월 19일 수요일 2번째 방문 인증 수단 영수증
23.4.9.일,반응 남기기 방문일 23.4.9.일 2023년 4월 9일 일요일 26번째 방문 인증 수단 영수증
23.3.25.토,반응 남기기 방문일 23.3.25.토 2023년 3월 25일 토요일 25번째 방문 인증 수단 영수증
23.3.19.일,반응 남기기 방문일 23.3.19.일 2023년 3월 19일 일요일 24번째 방문 인증 수단 영수증
23.3.7.화,반응 남기기 방문일 23.3.7.화 2023년 3월 7일 화요일 6번째 방문 인증 수단 영수증
23.2.26.일,반응 남기기 방문일 23.2.26.일 2023년 2월 26일 일요일 20번째 방문 인증 수단 영수증
23.2.26.일,반응 남기기 방문일 23.2.26.일 2023년 2월 26일 일요일 23번째 방문 인증 수단 영수증
23.2.18.토,반응 남기기 방문일 23.2.18.토 2023년 2월 18일 토요일 19번째 방문 인증 수단 영수증
23.2.18.토,반응 남기기 방문일 23.2.18.토 2023년 2월 18일 토요일 22번째 방문 인증 수단 영수증
23.2.8.수,반응 남기기 방문일 23.2.8.수 2023년 2월 8일 수요일 1번째 방문 인증 수단 영수증
23.2.5.일,반응 남기기 방문일 23.2.5.일 2023년 2월 5일 일요일 18번째 방문 인증 수단 영수증
23.2.5.일,반응 남기기 방문일 23.2.5.일 2023년 2월 5일 일요일 21번째 방문 인증 수단 영수증
23.1.21.토,반응 남기기 방문일 23.1.21.토 2023년 1월 21일 토요일 3번째 방문 인증 수단 영수증
23.1.21.토,반응 남기기 방문일 23.1.21.토 2023년 1월 21일 토요일 1번째 방문 인증 수단 영수증
23.1.12.목,반응 남기기 방문일 23.1.12.목 2023년 1월 12일 목요일 2번째 방문 인증 수단 영수증
23.1.10.화,반응 남기기 방문일 23.1.10.화 2023년 1월 10일 화요일 1번째 방문 인증 수단 영수증
23.1.3.화,반응 남기기 방문일 23.1.3.화 2023년 1월 3일 화요일 1번째 방문 인증 수단 영수증
22.12.27.화,반응 남기기 방문일 22.12.27.화 2022년 12월 27일 화요일 1번째 방문 인증 수단 결제내역
22.12.25.일,반응 남기기 방문일 22.12.25.일 2022년 12월 25일 일요일 17번째 방문 인증 수단 영수증
22.12.25.일,반응 남기기 방문일 22.12.25.일 2022년 12월 25일 일요일 20번째 방문 인증 수단 영수증
22.12.2.금,반응 남기기 방문일 22.12.2.금 2022년 12월 2일 금요일 1번째 방문 인증 수단 영수증
22.11.30.수,반응 남기기 방문일 22.11.30.수 2022년 11월 30일 수요일 1번째 방문 인증 수단 영수증
22.11.29.화,"맛있어요, 떡순이가 좋아하는곳^^"
22.11.26.토,반응 남기기 방문일 22.11.26.토 2022년 11월 26일 토요일 1번째 방문 인증 수단 영수증
22.11.15.화,반응 남기기 방문일 22.11.15.화 2022년 11월 15일 화요일 2번째 방문 인증 수단 영수증
22.11.13.일,반응 남기기 방문일 22.11.13.일 2022년 11월 13일 일요일 19번째 방문 인증 수단 영수증
22.11.10.목,반응 남기기 방문일 22.11.10.목 2022년 11월 10일 목요일 1번째 방문 인증 수단 영수증
