date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""매장이 넓어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
8.3.일,사장님이 친절하게 요구사항대로 조리해주셔서 감사합니다.
7.27.일,사장님이 친절하시고 맛있습니다.
3.3.월,음식맛도 좋고 친절하십니다.
1.6.월,치아 발치후 먹는 보양식 죽이 최고^^/
6.20.금,반응 남기기 방문일 6.20.금 2025년 6월 20일 금요일 7번째 방문 인증 수단 영수증
24.12.21.토,본죽은 신금호점이 제일 맛있어요. 단팥죽도 맛있었어요.
1.27.월,반응 남기기 방문일 1.27.월 2025년 1월 27일 월요일 5번째 방문 인증 수단 영수증
1.3.금,아이가 감기 몸살걸려서. 본죽으로 집에서 끼니 잘 떼우고 있습니다~~
5.15.목,반응 남기기 방문일 5.15.목 2025년 5월 15일 목요일 3번째 방문 인증 수단 영수증
1.31.금,반응 남기기 방문일 1.31.금 2025년 1월 31일 금요일 1번째 방문 인증 수단 포장주문
24.12.27.금,반응 남기기 방문일 24.12.27.금 2024년 12월 27일 금요일 1번째 방문 인증 수단 영수증
1.20.월,빠른 준비 감사합니다~
24.11.1.금,아이가 아파서 죽 먹었어요. 아플 땐 역시 본죽이죠. 두 개로 나눠 포장가능해서 좋아요.
24.12.30.월,반응 남기기 방문일 24.12.30.월 2024년 12월 30일 월요일 2번째 방문 인증 수단 영수증
24.12.9.월,반응 남기기 방문일 24.12.9.월 2024년 12월 9일 월요일 1번째 방문 인증 수단 영수증
24.11.5.화,자주 가요. 죽 맛있어요.
24.10.6.일,항상 친절하시고 맛납니다.
24.8.30.금,항상 친절하시고 맛있습니다.
24.8.27.화,항상 만족합니다! 낙지젓갈도 추가로 사서 함께 먹으니 남편이 감기로 잃었던 입맛이 다시 돈다네요
24.11.21.목,반응 남기기 방문일 24.11.21.목 2024년 11월 21일 목요일 8번째 방문 인증 수단 포장주문
24.9.11.수,아이들도 좋아해서 가끔 함께 먹고있어요 반빤쮹 맛있어요!!!!
2.12.수,반응 남기기 방문일 2.12.수 2025년 2월 12일 수요일 2번째 방문 인증 수단 영수증
24.8.18.일,사장님이 항상 친전하시고 매장이 깔끔해보입니다.
24.11.20.수,반응 남기기 방문일 24.11.20.수 2024년 11월 20일 수요일 2번째 방문 인증 수단 포장주문
5.23.금,반응 남기기 방문일 5.23.금 2025년 5월 23일 금요일 17번째 방문 인증 수단 영수증
4.30.수,반응 남기기 방문일 4.30.수 2025년 4월 30일 수요일 16번째 방문 인증 수단 영수증
4.28.월,반응 남기기 방문일 4.28.월 2025년 4월 28일 월요일 15번째 방문 인증 수단 영수증
24.8.11.일,사장님이 매우 친절하십니다.
24.8.2.금,능이삼계탕 좋아해서 주문해봤는데 집근처에서 쉽게 접할 수 있는 보양식 같습니다.
4.1.화,반응 남기기 방문일 4.1.화 2025년 4월 1일 화요일 14번째 방문 인증 수단 영수증
24.1.30.화,"원래 죽이라는 음식 자체를 잘 안 먹는 편인데 간만에 너무 아파서 동생에게 부탁해 죽을 사다 먹었네요 와...근데 일단 포장 깔끔하고, 반찬 정갈하고 죽도 너무너무 맛있더라고요🥹🥹🥹 본죽먹고 기운차려서 감기 똑 떨어졌네요! 그리고 또 생각나게 맛있더라고요! 다음에 또 주문해서 먹겠습니다!!😀😀😀"
24.5.30.목,반응 남기기 방문일 24.5.30.목 2024년 5월 30일 목요일 3번째 방문 인증 수단 포장주문
24.5.8.수,늘 그렇듯 맛있습니다 소분해주시는것도 좋구
24.8.8.목,반응 남기기 방문일 24.8.8.목 2024년 8월 8일 목요일 1번째 방문 인증 수단 영수증
1.3.금,반응 남기기 방문일 1.3.금 2025년 1월 3일 금요일 13번째 방문 인증 수단 영수증
24.4.8.월,깔끔하고 아플때 먹기 좋아요
24.3.22.금,원하는 양으로 소분포장 해줘서 너무 좋아요~
24.3.27.수,미리 주문하고 픽업갔어요~ 맛도 좋고 따뜻하고 또갈께요
24.4.23.화,본죽 맛있어요 !!
24.4.1.월,죽은 늘 여기서 먹습니다~
24.4.12.금,맛있게 잘 먹었습니다!!
24.3.10.일,넘 맛있어요~^^ 아이가 좋아해요~^^
24.4.29.월,반응 남기기 방문일 24.4.29.월 2024년 4월 29일 월요일 1번째 방문 인증 수단 영수증
24.9.27.금,반응 남기기 방문일 24.9.27.금 2024년 9월 27일 금요일 12번째 방문 인증 수단 영수증
24.9.24.화,반응 남기기 방문일 24.9.24.화 2024년 9월 24일 화요일 11번째 방문 인증 수단 영수증
24.9.22.일,반응 남기기 방문일 24.9.22.일 2024년 9월 22일 일요일 10번째 방문 인증 수단 영수증
24.1.2.화,속이 안 좋아서 소화 잘 되는 단호박죽 사서 먹었습니다 맛있네용 2개로 나눠 포장했는데 옹심이?떡? 3개씩 들어있어요
24.2.16.금,죽 맛 굿~!
24.3.4.월,반응 남기기 방문일 24.3.4.월 2024년 3월 4일 월요일 1번째 방문 인증 수단 포장주문
23.12.5.화,반응 남기기 방문일 23.12.5.화 2023년 12월 5일 화요일 1번째 방문 인증 수단 포장주문
23.11.27.월,불친절. 다시는 안감
23.10.20.금,아프고 몸보신 필요할땐 본죽^^♡
23.12.18.월,반응 남기기 방문일 23.12.18.월 2023년 12월 18일 월요일 1번째 방문 인증 수단 영수증
24.2.8.목,반응 남기기 방문일 24.2.8.목 2024년 2월 8일 목요일 2번째 방문 인증 수단 영수증
23.11.22.수,반응 남기기 방문일 23.11.22.수 2023년 11월 22일 수요일 10번째 방문 인증 수단 영수증
24.2.5.월,반응 남기기 방문일 24.2.5.월 2024년 2월 5일 월요일 1번째 방문 인증 수단 영수증
23.11.5.일,사장님도친절하고 다른 곳보다 맛있어요
23.12.31.일,반응 남기기 방문일 23.12.31.일 2023년 12월 31일 일요일 14번째 방문 인증 수단 영수증
23.10.11.수,전화 받으시는 젊은 여성분 전화 주문시 친절하게 받으시면 좋겠어요 죽은 맛있는데 전화응대가 별로에요
23.8.31.목,죽은 혼밥하기 좋고 포장해서 집에서 편하게 먹을 수 있어 좋아요
23.12.18.월,반응 남기기 방문일 23.12.18.월 2023년 12월 18일 월요일 12번째 방문 인증 수단 영수증
23.12.11.월,반응 남기기 방문일 23.12.11.월 2023년 12월 11일 월요일 13번째 방문 인증 수단 영수증
23.6.27.화,아이 장염 걸리면 와서 항상 죽 먹는 곳인데 양도 많고 아이가 잘 먹어요
23.7.7.금,"쿠팡으로 주문했는데 빨리 왔어요 쇠고기야채죽, 단호박죽 모두 맛있게 먹었어요~"
