date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
7.5.토,반응 남기기 방문일 7.5.토 2025년 7월 5일 토요일 43번째 방문 인증 수단 영수증
6.4.수,근처 다른 지점보다 금호점이 젤 맛있는 거 같아요 !
5.8.목,반응 남기기 방문일 5.8.목 2025년 5월 8일 목요일 42번째 방문 인증 수단 영수증
4.29.화,반응 남기기 방문일 4.29.화 2025년 4월 29일 화요일 41번째 방문 인증 수단 영수증
24.11.28.목,"신랑이 새벽에 구토하고 열나고 너무 아파서 오늘 아침에 바로 병원 가서 링거 맞고 죽 먹으러 갔어요~ 근처에 죽집이 여기 본죽만 보이더라구요~ 자리가 없어서 포장해가려고 주문하고 기다리다가 자리가 나서 먹고갔어요~ 전복죽이랑 소고기야채죽 먹었는데, 반절만 먹고 나머지 반절은 죽만 포장해서 집에 반찬이랑 함께 먹었네요~ 맛있어요~"
1.10.금,아이가 아파서 본죽의 동네에 있는건 다가본듯싶은데 금호점이 최고에요. 잠깐 정차하고 후딱들어가서 포장했는데 따또하고 맛있어요. 아이가 맛있게 먹고 기운차리겠다고 하네요~~ 감사합니다
3.10.월,반응 남기기 방문일 3.10.월 2025년 3월 10일 월요일 40번째 방문 인증 수단 영수증
2.19.수,반응 남기기 방문일 2.19.수 2025년 2월 19일 수요일 39번째 방문 인증 수단 영수증
24.12.9.월,반응 남기기 방문일 24.12.9.월 2024년 12월 9일 월요일 1번째 방문 인증 수단 영수증
1.7.화,반응 남기기 방문일 1.7.화 2025년 1월 7일 화요일 38번째 방문 인증 수단 영수증
24.11.29.금,반응 남기기 방문일 24.11.29.금 2024년 11월 29일 금요일 3번째 방문 인증 수단 포장주문
24.10.15.화,매번 이용하는집이지만 참 친절해요 맛도 보장되고 안심맛집입니다
24.12.12.목,반응 남기기 방문일 24.12.12.목 2024년 12월 12일 목요일 37번째 방문 인증 수단 영수증
24.12.7.토,반응 남기기 방문일 24.12.7.토 2024년 12월 7일 토요일 36번째 방문 인증 수단 영수증
24.10.7.월,날이 쌀쌀해 지니 따뜻한 단팥죽이 먹고 싶어서 주문했습니다. 달달하니 맛있습니다.
24.12.21.토,친절하고 음식도 맛있어요
24.10.22.화,반응 남기기 방문일 24.10.22.화 2024년 10월 22일 화요일 35번째 방문 인증 수단 영수증
24.8.22.목,매장에서 근무 하시는 분들이 친절하고 음식도 맛있게 만들어 주셔서 감사 합니다.
24.11.13.수,반응 남기기 방문일 24.11.13.수 2024년 11월 13일 수요일 1번째 방문 인증 수단 영수증
24.7.15.월,아이가 아파서 바로 먹이려고 구입하였습니다
24.4.4.목,깔끔하고 맛있게 잘 먹었어요~
24.6.1.토,미나리꼬막비빔밥 상큼한 미나리와 싱싱한 꼬막을 김에 싸먹으니 삼위일체 궁합 최고!👍🏻
24.6.12.수,가끔 들려서 먹어요 친절하고 맛납니디
24.6.28.금,반응 남기기 방문일 24.6.28.금 2024년 6월 28일 금요일 34번째 방문 인증 수단 영수증
24.4.10.수,혼밥하기좋아 자주 가네요
24.3.5.화,치과 갔다가 오면서 포장했는데 맛있었어요.🥹 두개로 나눠 포장한걸 하나는 남편이 먹었는데 남편도 맛있다구 ㅋㅋ 그리고 죽 포장은 처음이라 제가 몰랐는지 네이버 옵션에 너무 자세하게 세심한 옵션이 많아서 좋았어요.😍
24.6.10.월,밥 대신 드시는 죽 좋아요
24.4.23.화,반응 남기기 방문일 24.4.23.화 2024년 4월 23일 화요일 33번째 방문 인증 수단 영수증
23.12.26.화,전화 주문 후 바로 포장해 주셨어요. 아이가 죽 잘 안먹는데 닭죽이 너무 맛있다네요. 먹을만큼 2개 나눠서 포장해주니 좋아요
23.10.4.수,아플때마다 들리는곳. 다른 지점보다 청결하고 사장님도 친절하셔요 죽도 반반 나눠서 포장해주시고 맛있게 잘먹었습니다!!
24.1.20.토,반응 남기기 방문일 24.1.20.토 2024년 1월 20일 토요일 2번째 방문 인증 수단 영수증
24.3.23.토,반응 남기기 방문일 24.3.23.토 2024년 3월 23일 토요일 1번째 방문 인증 수단 영수증
24.1.2.화,반응 남기기 방문일 24.1.2.화 2024년 1월 2일 화요일 2번째 방문 인증 수단 영수증
23.11.25.토,아파 입맛이 없어 잘 못 먹는데 이렇게 소분해서 3번 먹을 수 있게 포장해주셨어요
23.12.16.토,죽이 먹고플때 이용해요.
24.1.26.금,이렇게 죽만 드시는 엄마때문ㅠ
24.2.6.화,반응 남기기 방문일 24.2.6.화 2024년 2월 6일 화요일 32번째 방문 인증 수단 영수증
24.1.29.월,반응 남기기 방문일 24.1.29.월 2024년 1월 29일 월요일 1번째 방문 인증 수단 영수증
24.1.30.화,팥죽 야채죽 좋아요
23.12.13.수,반응 남기기 방문일 23.12.13.수 2023년 12월 13일 수요일 2번째 방문 인증 수단 영수증
23.11.21.화,아이가 배아파서 죽먹을려고 병원 근처 본죽을 갔는데 맛있다고하네요~
24.1.12.금,늘 엄마때문에 가는곳
23.12.29.금,드시는 음식이 죽ㅠ
23.12.4.월,반응 남기기 방문일 23.12.4.월 2023년 12월 4일 월요일 3번째 방문 인증 수단 영수증
23.11.13.월,반응 남기기 방문일 23.11.13.월 2023년 11월 13일 월요일 3번째 방문 인증 수단 영수증
23.5.9.화,주문하고 바로왔는데. 빠른포장 항상즐겨찾기하는곳이예요~~ 죽만먹어봤는데 돈불백비빔밥~최고네요 딸아이가배고파해 집에도착하자마자 쓱삭해버려서. 비빔밥사진이~없네요 입짧은딸~정말맛있게 먹었어요 조만간 즐겨찾기할거같아요 돈불백비빔밥!!!짱이네요
23.9.4.월,반응 남기기 방문일 23.9.4.월 2023년 9월 4일 월요일 2번째 방문 인증 수단 영수증
23.10.4.수,반응 남기기 방문일 23.10.4.수 2023년 10월 4일 수요일 31번째 방문 인증 수단 영수증
23.7.14.금,흑임자죽 맛있게 먹었어요
23.5.25.목,사장님 너무 친절하시네요~!! 처음 방문인데 다음주 식사도 여기서^^ 잘 먹겠습니다☺️
23.4.24.월,건널목 앞이라 방문 편하고 맛은 기본으로 좋구 친절한 곳이라 자주 애용 합니다
23.8.26.토,반응 남기기 방문일 23.8.26.토 2023년 8월 26일 토요일 30번째 방문 인증 수단 영수증
23.9.11.월,반응 남기기 방문일 23.9.11.월 2023년 9월 11일 월요일 2번째 방문 인증 수단 영수증
23.9.2.토,반응 남기기 방문일 23.9.2.토 2023년 9월 2일 토요일 1번째 방문 인증 수단 영수증
23.9.2.토,반응 남기기 방문일 23.9.2.토 2023년 9월 2일 토요일 1번째 방문 인증 수단 영수증
23.5.31.수,상장님도 친철 하시고 매장도 청결하고 좋아요 추천 합니다.
23.5.31.수,딸아이가 너무 좋아합니다.
23.5.31.수,너무 친절하시고 항상 맛있습니당❤️
23.8.19.토,반응 남기기 방문일 23.8.19.토 2023년 8월 19일 토요일 1번째 방문 인증 수단 영수증
23.5.9.화,친절하시고 포장도 깔끔하게 잘해주세요. 물론 죽도 아주 맛있어서 아프지 않아도 식사로 괜찮아요 ㅎ
23.8.11.금,반응 남기기 방문일 23.8.11.금 2023년 8월 11일 금요일 30번째 방문 인증 수단 영수증
23.12.8.금,반응 남기기 방문일 23.12.8.금 2023년 12월 8일 금요일 3번째 방문 인증 수단 결제내역
23.8.4.금,반응 남기기 방문일 23.8.4.금 2023년 8월 4일 금요일 29번째 방문 인증 수단 영수증
23.5.23.화,항상 죽먹고싶을때 들러요~
