date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""코스요리가 알차요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
9.23.화,어렸을때 맛있게 먹던 돈까스 맛입니다. 사장님 친절하시고 양도 많고 세트메뉴가 있어 우동이나 메밀과 같이 먹기 좋습니다. 잘 먹었습니다.
9.2.화,모밀돈가스 세트 든든하고 가성비 좋네요!
6.26.목,너무 맛있어요 . 한양대 맛집 인정 사장님이 너무 좋아요 . 아담하고 맛있어요 ㄱ돈까스도 맛잇고 우동도 메일도 너무 맛잇어요 ^^
7.3.목,찐맛집입니다. 학교 앞이라 그런지 양도 많아요. 가격대비 양도 많고 깔끔해요! 나중에 또 놀러올게요
24.11.25.월,진짜진짜 푸짐한 양!! 바삭바삭한 돈까스에 라면의 조합도 최고고!! 시원한 냉모밀도 완전 맛있는!!!! 싸장님도 완전 친절하시고~ 가성비 짱짱!!!!
5.31.토,반응 남기기 방문일 5.31.토 2025년 5월 31일 토요일 1번째 방문 인증 수단 영수증
1.9.목,반응 남기기 방문일 1.9.목 2025년 1월 9일 목요일 1번째 방문 인증 수단 영수증
24.10.16.수,가성비 좋은 돈까스 한 끼
24.10.21.월,반응 남기기 방문일 24.10.21.월 2024년 10월 21일 월요일 2번째 방문 인증 수단 영수증
24.7.8.월,맛있습니다👍🏻 양도 꽤 많았어요
24.9.9.월,반응 남기기 방문일 24.9.9.월 2024년 9월 9일 월요일 1번째 방문 인증 수단 결제내역
24.10.21.월,반응 남기기 방문일 24.10.21.월 2024년 10월 21일 월요일 2번째 방문 인증 수단 영수증
24.2.22.목,돈라_맛있는데... 비싸여... ㅎ
24.2.16.금,반응 남기기 방문일 24.2.16.금 2024년 2월 16일 금요일 2번째 방문 인증 수단 영수증
24.1.3.수,반응 남기기 방문일 24.1.3.수 2024년 1월 3일 수요일 1번째 방문 인증 수단 영수증
23.8.29.화,한양대학교 앞에서 오랫동안 학생들에게 사랑받는 조그만 음식점 가성비 최고
23.8.17.목,처음 가봤는데 너무 맛있어요 ! 돈가스도 바삭하고 사장님도 친절하세요 평범하지만 또 가고싶은 곳 :))
23.9.1.금,한양대앞 깔끔한 음식
23.3.14.화,라면이랑 돈까스를 돈까스 가격에 먹을 수 있는 학교 앞 식당!…. 너무 맛있게 잘먹었습니다. 라면은 너구리 라면 같아요! 돈까스 바삭하고 소스가 맛있어서 좋아요! 학생들이 먹기에 좋은 가격이라 부담도 적어요
24.3.29.금,반응 남기기 방문일 24.3.29.금 2024년 3월 29일 금요일 1번째 방문 인증 수단 영수증
23.3.10.금,돈까스랑 우동 세트로 가성비 좋은 점심이네요~^^
23.4.3.월,세트로 먹어야 배불러요
22.10.17.월,모밀돈가스세트 8500원이구 딱 가격에 맞는 양이예요! 따님과 주인아주머니 두분 계셨는데 친절한 느낌은 아니였습니다 식사 때이고 바쁜 시간 지나샤 지치신? 거 같은데 전체적으로 귀찮다는 에티튜드 였던거 같아요 일반 돈가스 맛이구 양도 그냥 적당해요 푸짐하고 많지는 않은듯
23.3.21.화,반응 남기기 방문일 23.3.21.화 2023년 3월 21일 화요일 1번째 방문 인증 수단 영수증
22.10.27.목,언제나 좋은 퀄리티😀
23.1.31.화,반응 남기기 방문일 23.1.31.화 2023년 1월 31일 화요일 1번째 방문 인증 수단 결제내역
22.12.30.금,맛있고 사장님이 친절해서 좋았어요
23.1.19.목,반응 남기기 방문일 23.1.19.목 2023년 1월 19일 목요일 1번째 방문 인증 수단 영수증
22.10.12.수,가격이 오르긴 했지만 가성비 좋아요:)~ 면 + 돈가스 1개로 세트 따로 있으면 좋겠어요 ㅠㅠ
22.11.29.화,반응 남기기 방문일 22.11.29.화 2022년 11월 29일 화요일 2번째 방문 인증 수단 영수증
22.11.26.토,잘 먹구 갑니다
22.10.1.토,반응 남기기 방문일 22.10.1.토 2022년 10월 1일 토요일 1번째 방문 인증 수단 영수증
22.11.26.토,반응 남기기 방문일 22.11.26.토 2022년 11월 26일 토요일 1번째 방문 인증 수단 영수증
22.9.30.금,반응 남기기 방문일 22.9.30.금 2022년 9월 30일 금요일 1번째 방문 인증 수단 영수증
22.10.20.목,반응 남기기 방문일 22.10.20.목 2022년 10월 20일 목요일 1번째 방문 인증 수단 영수증
